iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,iteration_wall_s
39,0.00253572481415,75415,75415,0.680002524706,-0.00186133182567,0.0483362901927,1.17507131878e-11,6.14499466539e-12,2497,1,0,13887.6819162,11.8293337822,13752,0,0,0.378424798424,0.999869437544,0,0.1,0,0,19473.4440118,1,1,0,0,0,17,-48,5,70,30,0,168,0,2,14.0324049997
40,0.00253522278256,75415,75415,0.680002524706,0.0012358472079,0.0483362901927,9.62617096095e-12,6.11876387323e-12,2488,1,0,14076.4894161,12.0737500191,13883,0,0,0.349801101404,0.99542477872,0,0.1,0,0,19601.5945465,1,1,0,0,0,15,-48,5,68,31,0,170,2,-2,24.5372400829
41,0.00253618291332,75415,75415,0.680002524706,0.00459338857035,0.0483362901927,1.14369931456e-11,6.19033332123e-12,2491,1,0,13913.9633746,11.8980841637,13559,0,0,0.350803481358,0.995351966736,0,0.1,0,0,19235.4370142,1,1,0,0,0,16,-40,4,60,32,0,174,4,0,14.2168336669
42,0.00253527505139,75415,75415,0.680002524706,0.000562512888478,0.0483362901927,1.21162874056e-11,6.13279483865e-12,2485,1,0,13798.1464171,11.8171248436,13626,0,0,0.351180471349,0.995344469779,0,0.1,0,0,19417.1278038,1,1,0,0,0,13,-43,4,60,33,0,175,1,-3,14.0544408332
43,0.00253406281543,75415,75415,0.680002524706,-0.00126745516148,0.0483362901927,1.15235996462e-11,6.05106167718e-12,2487,1,0,14030.6930828,12.4875841141,13762,0,0,0.351561685686,0.995348552785,0,0.1,0,0,19518.1755706,1,1,0,0,0,16,-50,4,70,34,0,179,3,2,14.313711667
44,0.00253364672483,75415,75415,0.680002524706,0.000799074293057,0.0483362901927,1.14458266771e-11,6.05779131438e-12,2483,1,0,14322.1618748,12.6656250954,13868,0,0,0.352007390153,0.995338844891,0,0.1,0,0,19651.4821186,1,1,0,0,0,16,-44,4,64,34,0,179,0,0,14.5645421669
45,0.00253290497111,75414,75414,0.679993507899,-0.00102974297424,0.0483362901927,1.20764898126e-11,5.99494229892e-12,2486,1,0,13878.585,12.2315001488,14047,0,0,0.336713131783,0.996951124694,0,0.1,0,0,19734.7984995,1,1,0,0,0,16,-50,4,70,35,0,180,1,0,24.8558794581
46,0.00253517984487,75415,75415,0.680002524706,0.00953515574501,0.0483362901927,1.14483503584e-11,6.19408539271e-12,2481,1,0,14099.9006252,11.986374855,13613,0,0,0.337653701153,0.996951124694,0,0.1,0,0,19428.9668752,1,1,0,0,0,15,-41,3,59,36,0,186,6,-1,14.4126617918
47,0.00253337641099,75414,75414,0.679993507899,-0.00199906055274,0.0483362901927,1.04860461165e-11,6.0152581527e-12,2497,1,0,13815.507875,11.6481671333,13687,0,0,0.337997702552,0.996951124694,0,0.1,0,0,19520.0012184,1,1,0,0,0,14,-44,3,61,37,0,189,3,0,14.0728533329
48,0.00253276926867,75414,75414,0.679993507899,0.000765717804472,0.0483362901927,9.15147197774e-12,6.02097870453e-12,2492,1,0,13915.317708,12.912209034,13863,0,0,0.338430452275,0.996951124694,0,0.1,0,0,19702.2968986,1,1,0,0,0,11,-44,3,58,37,0,189,0,-3,14.1307554999
49,0.00253242852428,75415,75415,0.680002524706,0.000531176165189,0.0483362901927,9.26573520953e-12,5.98013508475e-12,2491,1,0,13920.7136669,11.9041671753,13893,0,0,0.33888529427,0.996951124694,0,0.1,0,0,19698.6318335,1,1,0,0,0,13,-45,3,61,38,0,194,3,2,14.182586167
50,0.00253194894693,75414,75414,0.679993507899,0.000381022537312,0.0483362901927,6.68948030017e-12,5.99696811427e-12,2489,1,0,13553.8699999,11.7599167824,13999,0,0,0.306761798009,0.99463976138,0,0.1,0,0,19784.2765145,1,1,0,0,0,12,-44,3,59,39,0,198,3,-3,24.1801753342
51,0.00253203317452,75415,75415,0.680002524706,0.00254353029766,0.0483362901927,9.78895352467e-12,5.99394596691e-12,2476,1,0,13809.1314998,11.8038330078,13802,0,0,0.307554556468,0.99463976138,0,0.1,0,0,19584.0664144,1,1,0,0,0,16,-43,3,62,39,0,198,0,4,14.0451898333
52,0.00253216501813,75415,75415,0.680002524706,0.00273529408117,0.0483362901927,9.48509355399e-12,6.00501075745e-12,2478,1,0,14181.24825,11.6702919006,13909,0,0,0.308486260862,0.99463976138,0,0.1,0,0,19751.2033868,1,1,0,0,0,12,-40,3,55,40,0,203,4,-4,14.4437642088
53,0.00253092339833,75415,75415,0.680002524706,-0.00220031687105,0.0483362901927,7.44384988897e-12,5.92376028066e-12,2472,1,0,13725.0548329,12.22016716,14097,0,0,0.308978906607,0.99463976138,0,0.1,0,0,19852.5863831,1,1,0,0,0,14,-45,3,62,40,0,203,0,2,13.8764033751
54,0.00253084359645,75414,75414,0.679993507899,0.00168735658475,0.0483362901927,5.48909520306e-12,5.94459897057e-12,2487,1,0,13726.6628327,12.5412502289,14161,0,0,0.309845032141,0.99463976138,0,0.1,0,0,19940.1617866,1,1,0,0,0,13,-42,2,57,41,0,206,3,0,14.0518735
55,0.00253014902247,75415,75415,0.680002524706,-0.000816401936011,0.0483362901927,6.61729631294e-12,5.90347683637e-12,2482,1,0,13701.8158751,11.625207901,14266,0,0,0.251558405527,0.995974961922,0,0.1,0,0,19990.800198,1,1,0,0,0,14,-45,2,61,42,0,207,1,1,24.2635109592
56,0.00253160371989,75415,75415,0.680002524706,0.00591041392437,0.0483362901927,8.80279804896e-12,6.03706140628e-12,2473,1,0,13662.5812922,11.6782078743,13961,0,0,0.253190001222,0.995974961922,0,0.1,0,0,19804.0076543,1,1,0,0,0,16,-42,2,60,43,0,210,3,2,13.9196143332
57,0.00253058208485,75414,75414,0.679993507899,-0.00089546065756,0.0483362901927,1.13980197887e-11,5.92865323387e-12,2486,1,0,13693.716958,11.9992079735,14000,0,0,0.253995033972,0.995974961922,0,0.1,0,0,19923.8411458,1,1,0,0,0,17,-40,2,59,44,0,213,3,0,13.9498504591
58,0.00253055854984,75415,75415,0.680002524706,0.00199628668152,0.0483362901927,8.22323240493e-12,5.98490141772e-12,2493,1,0,14191.0346251,12.4569158554,14124,0,0,0.25551615063,0.995974961922,0,0.1,0,0,20071.5531512,1,1,0,0,0,14,-38,2,54,45,0,218,5,-3,14.4783664998
59,0.00252951804705,75414,75414,0.679993507899,-0.00163275456181,0.0483362901927,9.22998614306e-12,5.88392518822e-12,2493,1,0,13834.4772081,11.7294168472,14213,0,0,0.256259035496,0.995974961922,0,0.1,0,0,20092.6923226,1,1,0,0,0,15,-43,2,60,46,0,222,3,1,14.094628125
60,0.00253079927246,75414,75414,0.679993507899,0.00510175514963,0.0483362901927,9.15390451161e-12,6.00395422513e-12,2481,1,0,13694.7267499,11.8051671982,14322,0,0,0.228311839825,0.989285875713,0,0.1,0,0,20134.0248434,1,1,0,0,0,14,-40,2,56,47,0,227,3,-1,24.6747839581
