voxel,f,nx,ny,nz,W_voigt,W_lam,ratio
21636,0.890625,-0.918369623745,0.208805511351,0.336150996743,3.85244017172e-13,3.8522120382e-13,0.999940782074
21655,0.25,0.993843444334,0.099529812923,0.0486726257131,1.27119914895e-13,1.22583250736e-13,0.964311932068
21657,0.265625,-0.977949083554,0.18475310855,-0.0973749395716,2.05307430144e-13,2.03981378785e-13,0.993541142869
21660,0.828125,0.803928173654,0.57002366959,0.169624608219,3.58715305206e-13,3.41516332983e-13,0.952053977141
21661,0.015625,0.884132801252,0.467005972137,-0.0146496327401,1.6811879562e-14,9.73897262865e-15,0.579291125226
21668,0.796875,-0.916506790509,0.328078700585,-0.228866050725,3.03978012772e-13,2.67274271154e-13,0.879255274802
21671,0.15625,0.976563335466,0.197947080284,-0.0845044687003,1.94342752921e-13,1.92381628461e-13,0.989908939587
21673,0.046875,-0.71048291387,0.200460099358,-0.674558950474,6.8916166465e-15,4.28493366426e-16,0.0621760304446
21674,0.453125,-0.19266485673,0.262898369209,-0.945391294887,2.59958107816e-15,9.82061910262e-16,0.37777698819
21675,0.15625,0.429433543397,0.30833068957,-0.848833916426,3.67954509368e-15,6.87167182068e-16,0.186753298186
21677,0.890625,-0.942470338828,0.334057183735,-0.012468296748,5.3179584883e-13,5.30808195889e-13,0.99814279682
21679,0.453125,0.955784882182,0.279783108818,-0.0905354682553,4.55723252637e-13,4.46301499889e-13,0.979325714249
21681,0.46875,-0.950739516044,0.296325138187,-0.0910262880206,3.73624360336e-13,3.72187158324e-13,0.996153350358
21683,0.546875,0.932914757022,0.320223981656,-0.164701723433,4.44322742851e-13,4.19622514149e-13,0.944409263088
21685,0.53125,-0.95019547259,0.274753932492,-0.14710146311,3.99929728737e-13,3.91774222281e-13,0.979607651371
21687,0.46875,0.961638270984,0.26882279769,-0.0546455782452,4.49148966905e-13,4.46012529657e-13,0.993016933181
21689,0.46875,-0.959006710238,0.269183631087,-0.0885793569252,3.8910928728e-13,3.87384620552e-13,0.995567654682
21691,0.546875,0.945739851067,0.295035907162,-0.136124750101,4.66274948201e-13,4.45979124969e-13,0.956472413305
21693,0.515625,-0.973773673003,0.19961389113,-0.109174760056,4.40544902661e-13,4.33353619457e-13,0.983676389942
21695,0.5,0.983888489684,0.177858458751,-0.0181606309912,4.99081606244e-13,4.98056297451e-13,0.997945608933
21697,0.484375,-0.976309043045,0.214750911651,-0.0265084592703,4.55796366885e-13,4.55747882121e-13,0.999893626261
21699,0.53125,0.97061817856,0.238164455656,-0.0343226384537,5.71373205097e-13,5.68103950317e-13,0.994278249748
21701,0.5,-0.993345460307,-0.100529872915,-0.0562008998049,4.92111198655e-13,4.90524997036e-13,0.996776741469
21703,0.5,0.993049950402,-0.117469188875,-0.00726537488878,6.07114882969e-13,6.05824220137e-13,0.997874104443
21705,0.5,-0.953126914562,0.286821936122,0.0963444948984,5.10125416919e-13,5.00201085092e-13,0.980545310038
21707,0.671875,0.91978518157,0.32301727348,0.222834155366,6.89676428231e-13,6.44643088696e-13,0.934703670168
21709,0.625,-0.997063603365,-0.019187052207,0.0741351999517,4.89607726162e-13,4.82947361637e-13,0.986396528958
21711,0.71875,0.997626497499,-0.0209602336489,0.0655899389658,6.61542357959e-13,6.60166816289e-13,0.997920705071
21713,0.8125,-0.952775769069,0.224237024779,0.204783032972,5.76205853466e-13,5.14318581981e-13,0.892595205147
21715,0.6875,0.982968724992,0.174235309395,0.0584340880612,5.96558901422e-13,5.96063623918e-13,0.999169776022
21717,0.75,-0.999073382604,0.0421394164431,-0.00875475608478,5.00306282169e-13,4.9936882643e-13,0.998126236324
21719,0.703125,0.999288377212,0.0337079231787,-0.016926756473,5.34939296633e-13,5.31828172486e-13,0.994184154789
21721,0.65625,-0.971829685291,0.234866127758,-0.0196205203581,4.28571284449e-13,4.28243487968e-13,0.999235141289
21723,0.640625,0.966836930338,0.254135045867,-0.0253323626284,4.736102134e-13,4.70818685094e-13,0.994105852817
21725,0.671875,-0.992710277252,0.110550156735,-0.0480100852389,3.98321000294e-13,3.98266034373e-13,0.999862005967
21727,0.65625,0.988950497465,0.113072678704,-0.0958722217059,4.63485594311e-13,4.51265119168e-13,0.973633538362
21729,0.640625,-0.954794341123,0.27774968894,-0.105938078391,3.76385288375e-13,3.72116367182e-13,0.988658108259
21731,0.65625,0.957952321318,0.264735518025,-0.11064563063,4.12394206694e-13,3.96861218899e-13,0.962334612021
21733,0.6875,-0.979848213687,0.163660284018,-0.11451108929,3.55987800719e-13,3.52689377491e-13,0.990734448704
21735,0.640625,0.977068720229,0.176794606853,-0.118660789382,4.13294198154e-13,3.98876894338e-13,0.96511612338
21737,0.609375,-0.95459211116,0.281346614324,-0.0979693009017,3.20919222882e-13,3.19466082862e-13,0.9954719446
21739,0.6875,0.930895489702,0.339897946933,-0.133801991478,4.2573721648e-13,4.02434489117e-13,0.945264998076
21741,0.65625,-0.971889491767,0.175472662364,-0.156971846378,3.16188927734e-13,3.11707275612e-13,0.985826030801
21743,0.65625,0.980356782332,0.152827668682,-0.124676714027,4.21242213697e-13,4.0333466637e-13,0.957488716123
21745,0.296875,-0.97249753626,0.16997272481,-0.159241372729,1.793958183e-13,1.7866229152e-13,0.995911126652
21748,0.6875,0.87431849749,0.484290214782,-0.0320959937173,2.4994536425e-13,2.48009531998e-13,0.99225497837
21753,0.03125,-0.924314983745,0.358578819594,-0.130625575453,3.20130627168e-15,2.58795044124e-15,0.808404514162
