iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
32,0.00368276323687,58590,58590,0.528294741398,-0.00142588327845,0.0483362901927,1.32328569975e-10,3.65035278639e-11,2689,1,0,23043.8106251,12.3561248779,8592,0,0,0.283001474983,0.999591581195,0,0.1,0.329520687427,1,12454.8931811,1,1,0,0,0,6,-12,0,18,16,0,0,1,0,0,0,0,0,0,0,23.2077349587
33,0.00366970375954,58590,58590,0.528294741398,-0.00153312666039,0.0483362901927,1.3223632511e-10,3.59446821558e-11,2693,1,0,27996.9881668,12.232375145,8508,0,0,0.286727589043,0.999591581195,0,0.1,0.324132409116,1,12488.0434158,1,1,0,0,0,6,-8,0,14,16,0,0,0,0,0,0,0,0,0,0,28.1510880832
34,0.00365631990643,58591,58591,0.528303758205,-0.00265976371408,0.0483362901927,1.24361228657e-10,3.53530301975e-11,2697,1,0,31934.6088343,12.2438750267,8399,0,0,0.293561292394,0.999591581195,0,0.1,0.31960420636,1,12512.0947599,1,1,0,0,0,5,-8,0,13,16,0,0,0,-1,0,0,0,0,0,0,32.090593542
35,0.00364679681634,58590,58590,0.528294741398,-0.000968932558481,0.0483362901927,1.10231113033e-10,3.49984568394e-11,2700,1,0,38831.2787919,16.5179157257,8345,0,0,0.293502516079,0.999165270305,0,0.1,0.314833218116,1,12530.1234686,1,1,0,0,0,6,-6,0,12,16,0,0,0,1,0,0,0,0,0,0,62.6372226658
36,0.00364569575283,58590,58590,0.528294741398,0.00304877964215,0.0483362901927,1.02960139821e-10,3.46747953659e-11,2709,1,0,55883.414875,13.021958828,8446,0,0,0.288522698674,0.999165270305,0,0.1,0.3008597175,1,12289.6751605,1,1,0,0,0,3,-7,0,10,16,0,0,0,-3,0,0,0,0,0,0,56.0444593332
37,0.00362877396443,58590,58590,0.528294741398,-0.00491465598827,0.0483362901927,1.42167962293e-10,3.42250722067e-11,2719,1,0,56225.8235831,12.3773751259,8489,0,0,0.297505251001,0.999165270305,0,0.1,0.299371119228,1,12374.6574873,1,1,0,0,0,5,-8,0,13,16,0,0,0,2,0,0,0,0,0,0,56.413364708
38,0.00362245098458,58591,58591,0.528303758205,0.00141551206238,0.0483362901927,1.58915880944e-10,3.41667787846e-11,2742,1,0,56858.6090841,16.8025827408,8451,0,0,0.295631099754,0.999165270305,0,0.1,0.295462211903,1,12379.9031844,1,1,0,0,0,5,-6,0,11,16,0,0,0,0,0,0,0,0,0,0,57.0374196251
39,0.00361424167824,58591,58591,0.528303758205,-1.39977042823e-05,0.0483362901927,1.45497340136e-10,3.39548875267e-11,2754,1,0,66115.1929998,14.9239172935,8444,0,0,0.295924506007,0.999165270305,0,0.1,0.292004987317,1,12439.5358363,1,1,0,0,0,4,-7,0,11,16,0,0,0,-1,0,0,0,0,0,0,66.32564425
40,0.00360657225127,58590,58590,0.528294741398,-0.00023102650015,0.0483362901927,1.53155256556e-10,3.3635126854e-11,2772,1,0,62589.8208752,13.1745839119,8496,0,0,0.282152439037,0.999687630974,0,0.1,0.286936227597,1,12433.9909277,1,1,0,0,0,3,-6,0,9,16,0,0,0,-1,0,0,0,0,0,0,88.3918196252
41,0.00360542086646,58591,58591,0.528303758205,0.00117402590762,0.0483362901927,1.34531365105e-10,3.33185357724e-11,2727,1,0,63538.7981672,12.7833747864,8441,0,0,0.280206991703,0.999687630974,0,0.1,0.275760056207,1,12351.2995032,1,1,0,0,0,5,-4,0,9,16,0,0,0,2,0,0,0,0,0,0,63.7379141669
42,0.00359838190924,58590,58590,0.528294741398,0.000768780763179,0.0483362901927,1.34731879546e-10,3.31827956039e-11,2725,1,0,62420.2554998,14.0611248016,8553,0,0,0.278659702496,0.999687630974,0,0.1,0.274270907802,1,12411.8265796,1,1,0,0,0,3,-5,0,8,16,0,0,0,-2,0,0,0,0,0,0,62.6170462919
43,0.0035911456025,58591,58591,0.528303758205,-0.000194052343171,0.0483362901927,1.21609974354e-10,3.27963746999e-11,2725,1,0,60598.787334,18.5657501221,8651,0,0,0.279497885082,0.999687630974,0,0.1,0.27120170311,1,12432.6014507,1,1,0,0,0,5,-3,0,8,16,0,0,0,2,0,0,0,0,0,0,60.7852570829
44,0.00358449963908,58591,58591,0.528303758205,-4.18144139962e-05,0.0483362901927,1.00117242093e-10,3.263038857e-11,2725,1,0,60547.6369576,12.8072080612,8750,0,0,0.279959549378,0.999687630974,0,0.1,0.26933281271,1,12483.2003102,1,1,0,0,0,3,-5,0,8,16,0,0,0,-2,0,0,0,0,0,0,60.7260801657
45,0.00357714745466,58591,58591,0.528303758205,-0.000960263037127,0.0483362901927,7.50794103861e-11,3.22959454893e-11,2724,1,0,59342.7032499,15.5205831528,8883,0,0,0.283362838718,0.999766035425,0,0.1,0.26654697736,1,12522.3355066,1,1,0,0,0,5,-3,0,8,16,0,0,0,2,0,0,0,0,0,0,85.0458698752
