posture,rung,iter,penalty,beta,cg,carried_mg,hier_built,cycles,compliance,change,achieved_vf
S1 Peetz literal 20it-per-val,1,33,1.0000,2.0000,37,1,1,37,12.7609976263,0.1998,0.0585227634
S1 Peetz literal 20it-per-val,1,34,1.0000,2.0000,42,1,1,42,8.76077051812,0.1998,0.0490669158
S1 Peetz literal 20it-per-val,1,35,1.0000,2.0000,77,1,1,77,45.7010312876,0.1998,0.0375239722
S1 Peetz literal 20it-per-val,1,36,1.0000,2.0000,63,1,1,63,28.6832120027,0.1998,0.0438217202
S1 Peetz literal 20it-per-val,1,37,1.0000,2.0000,46,1,1,46,23.1822406053,0.1998,0.0411464824
S1 Peetz literal 20it-per-val,1,38,1.0000,2.0000,73,1,1,73,13.8385919721,0.1998,0.0475955053
S1 Peetz literal 20it-per-val,1,39,1.0000,2.0000,34,1,1,34,10.7677625558,0.1998,0.0521830464
S1 Peetz literal 20it-per-val,1,40,1.0000,2.0000,42,1,1,42,6.57918159807,0.1998,0.0584238147
S2 Peetz values 1it-per-val,0,1,1.0000,0.0000,45,1,1,45,12.1397664609,0.1998,0.0410043414
S2 Peetz values 1it-per-val,0,2,1.2500,0.0000,40,1,1,40,129.425149502,0.1998,0.0371239569
S2 Peetz values 1it-per-val,0,3,1.5000,0.0000,111,1,1,111,776.025996159,0.1998,0.0312285304
S2 Peetz values 1it-per-val,0,4,1.7500,0.0000,144,1,1,144,87051.4225925,0.1998,0.0285129747
S2 Peetz values 1it-per-val,0,5,2.0000,0.0000,68,1,1,68,38541.7566236,0.1998,0.0281888321
S2 Peetz values 1it-per-val,0,6,2.2500,0.0000,781,0,1,300,2960655.84165,0.1998,0.0159414482
S2 Peetz values 1it-per-val,0,7,2.5000,0.0000,55,1,1,55,1230458.3614,0.1998,0.0324052732
S2 Peetz values 1it-per-val,0,8,2.7500,0.0000,172,1,1,172,179426.741416,0.1998,0.0158081601
S2 Peetz values 1it-per-val,0,9,3.0000,0.0000,127,1,1,127,21903571.9697,0.1998,0.0316781469
S2 Peetz values 1it-per-val,0,10,3.2500,0.0000,957,0,1,300,7742381.23669,0.1998,0.0182115709
S2 Peetz values 1it-per-val,0,11,3.5000,0.0000,212,1,1,212,5152981.34807,0.1998,0.0287618222
S2 Peetz values 1it-per-val,0,12,3.7500,0.0000,165,1,1,165,1004856.90362,0.1998,0.0216100136
S2 Peetz values 1it-per-val,0,13,4.0000,0.0000,120,1,1,120,146882.544583,0.186804155991,0.0311513812
S2 Peetz values 1it-per-val,0,14,4.0000,0.0000,40,1,1,40,36893.9653911,0.111225255006,0.0408138872
S2 Peetz values 1it-per-val,0,15,4.0000,0.0000,58,1,1,58,11140.9071945,0.112028171362,0.0483406415
S2 Peetz values 1it-per-val,0,16,4.0000,0.0000,54,1,1,54,4306.26970301,0.103634302649,0.0531052732
S2 Peetz values 1it-per-val,0,17,4.0000,0.0000,49,1,1,49,2117.03006825,0.0848690703842,0.055367228
S2 Peetz values 1it-per-val,0,18,4.0000,0.0000,48,1,1,48,1252.33258019,0.0899113059021,0.0561465493
S2 Peetz values 1it-per-val,0,19,4.0000,0.0000,48,1,1,48,821.197762136,0.0987841183135,0.0564685673
S2 Peetz values 1it-per-val,0,20,4.0000,0.0000,47,1,1,47,562.948224052,0.110289451174,0.0566316856
S2 Peetz values 1it-per-val,0,21,1.0000,1.0000,32,1,1,32,4.76519660266,0.1998,0.057758309
