SIMP penalization-continuation probe — big stagnation fixture, 20-iteration rung budget, margin_stop 1.5, ladder 0.68 0.52 0.38
part 24x6x24 @ 1.00 mm; design box [-4.2 -4.5 -4.2]-[28.2 10.6 28.2] (pad scale 0.35) gives the dilute regime the V-cycle stagnates on.
EXPECTED, stated before the numbers: with p ramped from 1, the early high-contrast solves are softer, so the multigrid V-cycle should carry MORE early iterations -> FEWER stagnating iterations and (if the CG saved exceeds the ramp's cost) less wall. The design WILL differ; the certified compliance is the test of whether it is better.

### S0 OFF (shipped p=3) — schedule: (empty = OFF, constant p = 3)

===== S0 OFF (shipped p=3) =====
 rung iter |    p  | beta |    CG | carried | built | cycles | compliance
    2   25 |  3.00 |  1.0 |    31 |   MG    |   Y   |     31 | 242.497
    2   26 |  3.00 |  1.0 |    26 |   MG    |   Y   |     26 | 111.397
    2   27 |  3.00 |  1.0 |    26 |   MG    |   Y   |     26 | 76.2355
    2   28 |  3.00 |  1.0 |    36 |   MG    |   Y   |     36 | 64.669
    2   29 |  3.00 |  1.0 |    38 |   MG    |   Y   |     38 | 58.9387
    2   30 |  3.00 |  1.0 |    45 |   MG    |   Y   |     45 | 54.7585
    2   31 |  3.00 |  1.0 |    38 |   MG    |   Y   |     38 | 50.9869
    2   32 |  3.00 |  1.0 |    34 |   MG    |   Y   |     34 | 47.5377
    2   33 |  3.00 |  1.0 |    43 |   MG    |   Y   |     43 | 44.4536
    2   34 |  3.00 |  1.0 |    41 |   MG    |   Y   |     41 | 41.7218
    2   35 |  3.00 |  1.0 |    37 |   MG    |   Y   |     37 | 39.2525
    2   36 |  3.00 |  1.0 |    30 |   MG    |   Y   |     30 | 37.1841
    2   37 |  3.00 |  1.0 |    30 |   MG    |   Y   |     30 | 35.4513
    2   38 |  3.00 |  1.0 |    33 |   MG    |   Y   |     33 | 34.0811
    2   39 |  3.00 |  1.0 |    33 |   MG    |   Y   |     33 | 33.0283
    2   40 |  3.00 |  1.0 |    33 |   MG    |   Y   |     33 | 32.22

### S1 Peetz literal 20/val — schedule: 1.00x20 1.25x20 1.50x20 1.75x20 2.00x20 2.25x20 2.50x20 2.75x20 3.00x20 3.25x20 3.50x20 3.75x20 4.00x20  (last value HELD past the end)

===== S1 Peetz literal 20/val =====
 rung iter |    p  | beta |    CG | carried | built | cycles | compliance
    0    1 |  1.00 |  0.0 |    45 |   MG    |   Y   |     45 | 12.1398
    0    2 |  1.00 |  0.0 |    40 |   MG    |   Y   |     40 | 27.0046
    0    3 |  1.00 |  0.0 |    71 |   MG    |   Y   |     71 | 41.6996
    0    4 |  1.00 |  0.0 |    76 |   MG    |   Y   |     76 | 272.75
    0    5 |  1.00 |  0.0 |    46 |   MG    |   Y   |     46 | 45.6211
    0    6 |  1.00 |  0.0 |    73 |   MG    |   Y   |     73 | 271.994
    0    7 |  1.00 |  0.0 |    51 |   MG    |   Y   |     51 | 40.47
    0    8 |  1.00 |  0.0 |    44 |   MG    |   Y   |     44 | 17.6124
    0    9 |  1.00 |  0.0 |    57 |   MG    |   Y   |     57 | 12.3717
    0   10 |  1.00 |  0.0 |    50 |   MG    |   Y   |     50 | 9.03846
    0   11 |  1.00 |  0.0 |    38 |   MG    |   Y   |     38 | 7.93111
    0   12 |  1.00 |  0.0 |    45 |   MG    |   Y   |     45 | 6.08137
    0   13 |  1.00 |  0.0 |    36 |   MG    |   Y   |     36 | 5.03046
    0   14 |  1.00 |  0.0 |    34 |   MG    |   Y   |     34 | 4.22096
    0   15 |  1.00 |  0.0 |    34 |   MG    |   Y   |     34 | 3.78324
    0   16 |  1.00 |  0.0 |    37 |   MG    |   Y   |     37 | 3.5945
    0   17 |  1.00 |  0.0 |    41 |   MG    |   Y   |     41 | 3.49207
    0   18 |  1.00 |  0.0 |    42 |   MG    |   Y   |     42 | 3.40567
    0   19 |  1.00 |  0.0 |    39 |   MG    |   Y   |     39 | 3.33695
    0   20 |  1.00 |  0.0 |    36 |   MG    |   Y   |     36 | 3.28118
    0   21 |  1.00 |  1.0 |    25 |   MG    |   Y   |     25 | 3.65498
    0   22 |  1.00 |  1.0 |    29 |   MG    |   Y   |     29 | 3.3503
    0   23 |  1.00 |  1.0 |    47 |   MG    |   Y   |     47 | 3.57196
    0   24 |  1.00 |  1.0 |    38 |   MG    |   Y   |     38 | 8.95566
    0   25 |  1.00 |  1.0 |    68 |   MG    |   Y   |     68 | 9.72359
    0   26 |  1.00 |  1.0 |    45 |   MG    |   Y   |     45 | 17.8029
    0   27 |  1.00 |  1.0 |    55 |   MG    |   Y   |     55 | 29.928
    0   28 |  1.00 |  1.0 |    51 |   MG    |   Y   |     51 | 66.9623
    0   29 |  1.00 |  1.0 |    42 |   MG    |   Y   |     42 | 24.227
    0   30 |  1.00 |  1.0 |    52 |   MG    |   Y   |     52 | 33.5823
    0   31 |  1.00 |  1.0 |    32 |   MG    |   Y   |     32 | 9.38073
    0   32 |  1.00 |  1.0 |    45 |   MG    |   Y   |     45 | 5.9744
    0   33 |  1.00 |  2.0 |    33 |   MG    |   Y   |     33 | 5.47706
    0   34 |  1.00 |  2.0 |    24 |   MG    |   Y   |     24 | 3.80543
    0   35 |  1.00 |  2.0 |    47 |   MG    |   Y   |     47 | 4.55863
    0   36 |  1.00 |  2.0 |    34 |   MG    |   Y   |     34 | 5.1959
    0   37 |  1.00 |  2.0 |    45 |   MG    |   Y   |     45 | 5.5757
    0   38 |  1.00 |  2.0 |    31 |   MG    |   Y   |     31 | 4.37457
    0   39 |  1.00 |  2.0 |    34 |   MG    |   Y   |     34 | 3.78997
    0   40 |  1.00 |  2.0 |    33 |   MG    |   Y   |     33 | 3.40858
    1    1 |  1.00 |  0.0 |    45 |   MG    |   Y   |     45 | 16.073
    1    2 |  1.00 |  0.0 |    41 |   MG    |   Y   |     41 | 38.2085
    1    3 |  1.00 |  0.0 |    71 |   MG    |   Y   |     71 | 48.8144
    1    4 |  1.00 |  0.0 |    71 |   MG    |   Y   |     71 | 201.2
    1    5 |  1.00 |  0.0 |    49 |   MG    |   Y   |     49 | 53.0052
    1    6 |  1.00 |  0.0 |    68 |   MG    |   Y   |     68 | 217.394
    1    7 |  1.00 |  0.0 |    47 |   MG    |   Y   |     47 | 45.9353
    1    8 |  1.00 |  0.0 |    49 |   MG    |   Y   |     49 | 30.0617
    1    9 |  1.00 |  0.0 |    72 |   MG    |   Y   |     72 | 36.9976
    1   10 |  1.00 |  0.0 |    47 |   MG    |   Y   |     47 | 17.5802
    1   11 |  1.00 |  0.0 |    58 |   MG    |   Y   |     58 | 15.6295
    1   12 |  1.00 |  0.0 |    48 |   MG    |   Y   |     48 | 10.7023
    1   13 |  1.00 |  0.0 |    39 |   MG    |   Y   |     39 | 9.21036
    1   14 |  1.00 |  0.0 |    41 |   MG    |   Y   |     41 | 7.08631
    1   15 |  1.00 |  0.0 |    33 |   MG    |   Y   |     33 | 5.80106
    1   16 |  1.00 |  0.0 |    39 |   MG    |   Y   |     39 | 5.04547
    1   17 |  1.00 |  0.0 |    40 |   MG    |   Y   |     40 | 4.69641
    1   18 |  1.00 |  0.0 |    37 |   MG    |   Y   |     37 | 4.55573
    1   19 |  1.00 |  0.0 |    35 |   MG    |   Y   |     35 | 4.42031
    1   20 |  1.00 |  0.0 |    39 |   MG    |   Y   |     39 | 4.3342
