rung,operator,iterations,wall_s,cut_max_mm,cut_rms_mm,cut_moved,cad_moved_bitwise,dihedral_before,dihedral_after,vol_before_mm3,vol_after_mm3,vol_drift_pct,mass_added_g,cad_dev_rms_before,cad_dev_rms_after,cad_removed_pct,active_first,active_last,converged,inward_vertices,worst_inward_mm,max_outward_mm,c1_clamped,min_section_mm2,min_section_fine_mm2,worst_aspect_before,worst_aspect_after
0.52,Taubin_pairs_160,160,0.138959,0.753675,0.197162,36384,0,8.54775,8.11358,403600,403411,-0.0468365,-0.234399,0.345949,0.345949,0,0,0,1,0,0,0,0,84.3313,141.037,0,0
0.38,Close_r0.50_expl_C1on,40,4.12833,0.432203,0.00960729,31,0,8.75405,8.88647,330293,330294,0.000363195,0.00148752,0.358224,0.358224,0,30,31,0,0,0,0.42632,1208,84.3313,149.761,18153.8,18153.8
0.38,Close_r0.50_expl_C1off,40,4.29384,16.8458,0.206075,135,0,8.75405,9.52748,330293,330484,0.0577013,0.236324,0.358224,0.358224,0,30,10,0,1,-2.21022,15.8922,0,84.3313,149.761,18153.8,18153.8
0.38,Close_r0.50_expl_dt.025,40,4.1194,0.432203,0.00960729,31,0,8.75405,8.88647,330293,330294,0.000363195,0.00148752,0.358224,0.358224,0,30,31,0,0,0,0.42632,1148,84.3313,149.761,18153.8,18153.8
0.38,Close_r0.50_COUPLED,40,4.11725,0,0,0,0,8.75405,8.75405,330293,330293,0,0,0.358224,0.358224,0,30,30,0,0,0,0,0,84.3313,149.761,18153.8,18153.8
0.38,Close_r1.00_expl_C1on,40,4.10805,0.583914,0.0503379,857,0,8.75405,10.0247,330293,330442,0.044972,0.184189,0.358224,0.358224,0,236,830,0,0,0,0.42632,26849,84.3313,149.761,18153.8,18153.8
0.38,Close_r1.00_expl_C1off,40,4.38388,9.79932,0.761947,4379,0,8.75405,22.3883,330293,340135,2.97984,12.2044,0.358224,0.358224,0,236,2061,0,467,-5.20732,9.21,0,17.4479,7.99694,18153.8,18153.8
0.38,Close_r1.00_expl_dt.025,40,4.0983,0.468182,0.0449335,709,0,8.75405,9.89614,330293,330407,0.0345362,0.141448,0.358224,0.358224,0,236,685,0,0,0,0.42632,16184,84.3313,149.761,18153.8,18153.8
0.38,Close_r1.00_COUPLED,40,4.1211,0.0873142,0.00049534,4,0,8.75405,8.7543,330293,330293,3.87851e-05,0.00015885,0.358224,0.358224,0,236,235,0,0,0,0.0873142,0,84.3313,149.761,18153.8,18153.8
0.38,Close_r1.71_expl_C1on,40,4.09585,0.532802,0.118729,4782,0,8.75405,14.3484,330293,331200,0.274509,1.12429,0.358224,0.358224,0,2356,4560,0,0,0,0.42632,156725,84.3313,149.761,18153.8,18153.8
0.38,Close_r1.71_expl_C1off,40,4.12199,10.3491,1.70458,16284,0,8.75405,38.6395,330293,397466,20.3372,83.2937,0.358224,0.358224,0,2356,13283,0,2928,-6.23909,9.19263,0,17.4479,20.3558,18153.8,1868
0.38,Close_r1.71_expl_dt.025,40,4.13171,0.474546,0.110263,4324,0,8.75405,13.6733,330293,331086,0.240141,0.983531,0.358224,0.358224,0,2356,4183,0,0,0,0.42632,94872,84.3313,149.761,18153.8,18153.8
0.38,Close_r1.71_COUPLED,40,4.13167,0.181113,0.00343078,190,0,8.75405,8.80881,330293,330297,0.0012919,0.00529117,0.358224,0.358224,0,2356,2354,0,0,0,0.181111,0,84.3313,149.761,18153.8,18153.8
0.38,Close_r3.41_expl_C1on,40,4.13736,0.604463,0.174037,13412,0,8.75405,18.4161,330293,332596,0.69717,2.85535,0.358224,0.358224,0,8629,9715,0,0,0,0.42632,293331,84.3313,149.761,18153.8,1868
0.38,Close_r3.41_expl_C1off,40,4.15357,10.753,2.13772,27935,0,8.75405,45.8798,330293,457679,38.5675,157.958,0.358224,0.358224,0,8629,23989,0,5096,-6.31273,9.6479,0,31.9878,26.1718,18153.8,1057.25
0.38,Close_r3.41_expl_dt.025,40,4.11005,0.485465,0.142638,11306,0,8.75405,16.0891,330293,331791,0.453403,1.85698,0.358224,0.358224,0,8629,7457,0,0,0,0.42632,137182,84.3313,149.761,18153.8,1868
0.38,Close_r3.41_COUPLED,40,4.12455,0.383121,0.0105295,1156,0,8.75405,8.97568,330293,330322,0.00885308,0.036259,0.358224,0.358224,0,8629,8529,0,0,0,0.38089,0,84.3313,149.761,18153.8,18153.8
0.38,Taubin_pairs_20,20,0.042392,0.535103,0.138963,59590,0,8.75405,8.60898,330293,330244,-0.0148715,-0.0609081,0.358224,0.358224,0,0,0,1,0,0,0,0,84.3313,148.307,0,0
0.38,Taubin_pairs_160,160,0.186856,0.804459,0.206346,61097,0,8.75405,8.06198,330293,329879,-0.12532,-0.513264,0.358224,0.358224,0,0,0,1,0,0,0,0,84.3313,149.761,0,0
