strategy,phase,iter,compliance,vol_frac,cg_iters,n_void,n_lower_gap,n_band,n_upper_gap,n_solid,change
s2_gappen,0,7,2.41955368e+02,0.35000,274,120,308,5756,324,404,0.20000
s2_gappen,0,8,2.37819641e+02,0.35000,280,180,288,5812,272,360,0.20000
s2_gappen,0,9,2.33628725e+02,0.35000,283,252,268,5708,212,472,0.20000
s2_gappen,0,10,2.30845255e+02,0.35000,289,340,260,5664,228,420,0.20000
s2_gappen,0,11,2.28874710e+02,0.35000,290,372,248,5616,184,492,0.20000
s2_gappen,0,12,2.27616091e+02,0.35000,292,408,260,5572,188,484,0.20000
s2_gappen,0,13,2.26791037e+02,0.35000,288,452,200,5580,180,500,0.20000
s2_gappen,0,14,2.26000202e+02,0.35000,291,480,248,5496,204,484,0.20000
s2_gappen,0,15,2.25470431e+02,0.35000,291,504,188,5536,180,504,0.20000
s2_gappen,0,16,2.24711066e+02,0.35000,292,512,224,5496,184,496,0.20000
s2_gappen,0,17,2.23989983e+02,0.35000,292,516,200,5520,172,504,0.20000
s2_gappen,0,18,2.23220588e+02,0.35000,296,524,264,5436,184,504,0.20000
s2_gappen,0,19,2.21691945e+02,0.35000,291,536,176,5532,164,504,0.18161
s2_gappen,0,20,2.19880405e+02,0.35000,296,544,372,5336,156,504,0.20000
s2_gappen,0,21,2.17402117e+02,0.35000,302,552,216,5468,172,504,0.20000
s2_gappen,0,22,2.14279851e+02,0.35000,305,556,508,5148,196,504,0.20000
s2_gappen,0,23,2.11817884e+02,0.35000,306,564,424,5196,220,508,0.18958
s2_gappen,0,24,2.09684297e+02,0.35000,311,564,496,5108,236,508,0.16616
s2_gappen,0,25,2.07769566e+02,0.35000,316,564,752,4816,264,516,0.20000
s2_gappen,0,26,2.06095567e+02,0.35000,320,564,744,4832,252,520,0.18383
s2_gappen,0,27,2.04236926e+02,0.35000,325,564,996,4552,264,536,0.16838
s2_gappen,0,28,2.02971433e+02,0.35000,328,568,880,4688,252,524,0.13992
s2_gappen,0,29,2.01583860e+02,0.35000,332,568,1068,4460,276,540,0.18850
s2_gappen,0,30,2.00355077e+02,0.35000,343,568,1116,4436,248,544,0.18850
s2_gappen,0,31,1.99022519e+02,0.35000,344,568,1256,4276,268,544,0.13220
s2_gappen,0,32,1.98003473e+02,0.35000,337,568,1272,4272,252,548,0.16115
s2_gappen,0,33,1.97019093e+02,0.35000,351,572,1404,4120,264,552,0.20000
s2_gappen,0,34,1.96374540e+02,0.35000,356,572,1188,4340,260,552,0.20000
s2_gappen,0,35,1.95581057e+02,0.35000,360,580,1460,4036,284,552,0.20000
s2_gappen,0,36,1.95053886e+02,0.35000,360,616,1388,4072,280,556,0.20000
s2_gappen,0,37,1.94364620e+02,0.35000,361,652,1376,4036,292,556,0.20000
s2_gappen,0,38,1.94090579e+02,0.35000,360,688,1328,4068,276,552,0.20000
s2_gappen,0,39,1.93521501e+02,0.35000,355,740,1316,4008,292,556,0.20000
s2_gappen,0,40,1.93276627e+02,0.35000,355,788,1276,4004,288,556,0.20000
s2_gappen,0,41,1.92846134e+02,0.35000,359,804,1336,3940,276,556,0.06481
s2_gappen,0,42,1.92543152e+02,0.35000,360,852,1292,3932,280,556,0.06520
s2_gappen,0,43,1.92264324e+02,0.35000,363,884,1272,3912,288,556,0.09365
s2_gappen,0,44,1.92051605e+02,0.35000,368,928,1224,3928,284,548,0.18002
s2_gappen,0,45,1.91695837e+02,0.35000,453,960,1240,3868,288,556,0.09713
s2_gappen,0,46,1.91419814e+02,0.35000,453,988,1148,3936,276,564,0.08367
s2_gappen,0,47,1.91235724e+02,0.35000,480,1020,1236,3820,276,560,0.10025
s2_gappen,0,48,1.90992703e+02,0.35000,484,1056,1160,3860,272,564,0.08334
s2_gappen,0,49,1.90780279e+02,0.35000,487,1068,1152,3860,268,564,0.07884
s2_gappen,0,50,1.90628362e+02,0.35000,505,1084,1168,3812,284,564,0.07432
s2_gappen,0,51,1.90433063e+02,0.35000,521,1140,1136,3776,292,568,0.07973
s2_gappen,0,52,1.90292574e+02,0.35000,523,1140,1144,3780,280,568,0.09005
s2_gappen,0,53,1.90093225e+02,0.35000,442,1162,1134,3746,298,572,0.06820
s2_gappen,0,54,1.89934511e+02,0.35000,526,1198,1102,3758,282,572,0.15921
s2_gappen,0,55,1.89720759e+02,0.35000,524,1244,1088,3724,284,572,0.09988
s2_gappen,0,56,1.89445556e+02,0.35000,460,1284,1030,3738,288,572,0.07884
s2_gappen,0,57,1.89169079e+02,0.35000,486,1330,1028,3682,300,572,0.08574
s2_gappen,0,58,1.88957654e+02,0.35000,503,1556,764,3724,300,568,0.10012
s2_gappen,0,59,1.88807527e+02,0.35000,521,1658,724,3674,284,572,0.09290
s2_gappen,0,60,1.88698702e+02,0.35000,524,1704,628,3716,292,572,0.10270
