strategy,bin_lo,bin_hi,count
s2_gappen,0.67,0.68,28
s2_gappen,0.68,0.69,10
s2_gappen,0.69,0.70,15
s2_gappen,0.70,0.71,21
s2_gappen,0.71,0.72,28
s2_gappen,0.72,0.73,48
s2_gappen,0.73,0.74,22
s2_gappen,0.74,0.75,38
s2_gappen,0.75,0.76,30
s2_gappen,0.76,0.77,65
s2_gappen,0.77,0.78,16
s2_gappen,0.78,0.79,34
s2_gappen,0.79,0.80,12
s2_gappen,0.80,0.81,35
s2_gappen,0.81,0.82,24
s2_gappen,0.82,0.83,348
s2_gappen,0.83,0.84,58
s2_gappen,0.84,0.85,138
s2_gappen,0.85,0.86,100
s2_gappen,0.86,0.87,82
s2_gappen,0.87,0.88,36
s2_gappen,0.88,0.89,46
s2_gappen,0.89,0.90,61
s2_gappen,0.90,0.91,27
s2_gappen,0.91,0.92,4
s2_gappen,0.92,0.93,2
s2_gappen,0.93,0.94,4
s2_gappen,0.94,0.95,12
s2_gappen,0.95,0.96,28
s2_gappen,0.96,0.97,72
s2_gappen,0.97,0.98,22
s2_gappen,0.98,0.99,84
s2_gappen,0.99,1.00,580
s3_contin,0.00,0.01,2141
s3_contin,0.01,0.02,113
s3_contin,0.02,0.03,61
s3_contin,0.03,0.04,41
s3_contin,0.04,0.05,53
s3_contin,0.05,0.06,283
s3_contin,0.06,0.07,145
s3_contin,0.07,0.08,50
s3_contin,0.08,0.09,40
s3_contin,0.09,0.10,49
s3_contin,0.10,0.11,20
s3_contin,0.11,0.12,20
s3_contin,0.12,0.13,72
s3_contin,0.13,0.14,93
s3_contin,0.14,0.15,106
s3_contin,0.15,0.16,369
s3_contin,0.16,0.17,40
s3_contin,0.17,0.18,44
s3_contin,0.18,0.19,36
s3_contin,0.19,0.20,56
s3_contin,0.20,0.21,29
s3_contin,0.21,0.22,21
s3_contin,0.22,0.23,14
s3_contin,0.23,0.24,29
s3_contin,0.24,0.25,23
s3_contin,0.25,0.26,38
s3_contin,0.26,0.27,50
s3_contin,0.27,0.28,23
s3_contin,0.28,0.29,53
s3_contin,0.29,0.30,40
s3_contin,0.30,0.31,34
s3_contin,0.31,0.32,31
s3_contin,0.32,0.33,43
s3_contin,0.33,0.34,18
s3_contin,0.34,0.35,34
s3_contin,0.35,0.36,22
s3_contin,0.36,0.37,36
s3_contin,0.37,0.38,14
s3_contin,0.38,0.39,20
s3_contin,0.39,0.40,20
s3_contin,0.40,0.41,22
s3_contin,0.41,0.42,16
s3_contin,0.42,0.43,8
s3_contin,0.43,0.44,20
s3_contin,0.44,0.45,36
s3_contin,0.45,0.46,16
s3_contin,0.46,0.47,10
s3_contin,0.47,0.48,8
s3_contin,0.48,0.49,10
s3_contin,0.49,0.50,16
s3_contin,0.50,0.51,28
s3_contin,0.51,0.52,14
s3_contin,0.52,0.53,20
s3_contin,0.53,0.54,6
s3_contin,0.54,0.55,6
s3_contin,0.55,0.56,0
s3_contin,0.56,0.57,0
s3_contin,0.57,0.58,8
s3_contin,0.58,0.59,0
s3_contin,0.59,0.60,8
s3_contin,0.60,0.61,8
s3_contin,0.61,0.62,20
s3_contin,0.62,0.63,12
s3_contin,0.63,0.64,22
s3_contin,0.64,0.65,34
s3_contin,0.65,0.66,38
s3_contin,0.66,0.67,22
s3_contin,0.67,0.68,20
s3_contin,0.68,0.69,20
s3_contin,0.69,0.70,12
s3_contin,0.70,0.71,8
s3_contin,0.71,0.72,20
s3_contin,0.72,0.73,42
s3_contin,0.73,0.74,46
s3_contin,0.74,0.75,44
s3_contin,0.75,0.76,39
s3_contin,0.76,0.77,57
s3_contin,0.77,0.78,28
s3_contin,0.78,0.79,20
s3_contin,0.79,0.80,25
s3_contin,0.80,0.81,43
s3_contin,0.81,0.82,56
s3_contin,0.82,0.83,188
s3_contin,0.83,0.84,68
s3_contin,0.84,0.85,135
s3_contin,0.85,0.86,77
s3_contin,0.86,0.87,76
s3_contin,0.87,0.88,48
s3_contin,0.88,0.89,40
s3_contin,0.89,0.90,45
s3_contin,0.90,0.91,39
s3_contin,0.91,0.92,11
s3_contin,0.92,0.93,5
s3_contin,0.93,0.94,0
s3_contin,0.94,0.95,8
s3_contin,0.95,0.96,36
s3_contin,0.96,0.97,64
s3_contin,0.97,0.98,38
s3_contin,0.98,0.99,94
s3_contin,0.99,1.00,628
