iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,iteration_wall_s
12,0.00265217337999,75415,75415,0.680002524706,0.00275318819549,0.0483362901927,4.52249437649e-11,8.23654729195e-12,2207,1,0,19932.4763746,12.4604582787,61877,0,0,0.386725339513,0.999847178376,0,0.1,0,0,38705.1408318,1,1,20.0571496668
13,0.00263220934347,75415,75415,0.680002524706,0.00721045632679,0.0483362901927,4.08196756367e-11,7.87862089702e-12,2305,1,0,21496.956708,15.1444578171,58341,0,0,0.385193264257,0.999847178376,0,0.1,0,0,36826.6498445,1,1,21.7313753334
14,0.00260334231623,75414,75414,0.679993507899,-0.0069736016121,0.0483362901927,3.52766929918e-11,7.24510975528e-12,2371,1,0,21711.0854173,14.7006249428,52265,0,0,0.384532876933,0.999847178376,0,0.1,0,0,34905.3763867,1,1,21.9099096246
15,0.00257995714907,75415,75415,0.680002524706,-0.00573460512741,0.0483362901927,3.00747227684e-11,6.73516145901e-12,2378,1,0,21553.0436249,12.474583149,50246,0,0,0.391818008553,0.999946086462,0,0.1,0,0,32933.0124305,1,1,38.961471417
16,0.00255645918824,75415,75415,0.680002524706,-0.0154034947041,0.0483362901927,2.54989073143e-11,6.78794475033e-12,2785,1,0,25403.0755,12.9483752251,41048,0,0,0.391979835918,0.999946086462,0,0.1,0,0,25839.9024745,1,1,25.5705999592
17,0.0025507100044,75415,75415,0.680002524706,0.0106847489787,0.0483362901927,2.31824279897e-11,6.51197860953e-12,2782,1,0,25064.315167,11.8288750648,39223,0,0,0.392914537276,0.999946086462,0,0.1,0,0,25305.4112541,1,1,25.1818514168
18,0.00254212081193,75415,75415,0.680002524706,0.000924975370778,0.0483362901927,2.02833953683e-11,6.17877599087e-12,2777,1,0,25373.0415831,19.8567090034,37189,0,0,0.393499025284,0.999946086462,0,0.1,0,0,24646.5897298,1,1,25.7361710421
19,0.00253238350235,75414,75414,0.679993507899,-0.00524295071564,0.0483362901927,1.70548573126e-11,5.85233530496e-12,2782,1,0,24829.2133327,15.8427500725,36058,0,0,0.394057352499,0.999946086462,0,0.1,0,0,23871.1958661,1,1,24.9849169999
20,0.00252465885935,75414,75414,0.679993507899,-0.00408932243237,0.0483362901927,1.398270124e-11,5.59988468672e-12,2793,1,0,24969.050375,12.13245821,35264,0,0,0.391694903593,0.999882996535,0,0.1,0,0,23110.2293634,1,1,42.7916109581
21,0.00252182997653,75415,75415,0.680002524706,-0.0154055531273,0.0483362901927,6.65543769487e-12,5.96316234142e-12,2707,1,0,25085.157125,12.8177499771,28198,0,0,0.388383468841,0.999882996535,0,0.1,0,0,19847.5801152,1,1,25.243118084
22,0.00251865008868,75415,75415,0.680002524706,0.00301060731249,0.0483362901927,5.48471996985e-12,5.67976579211e-12,2709,1,0,26344.5778751,12.9307079315,28214,0,0,0.388738273308,0.999882996535,0,0.1,0,0,20145.2684298,1,1,26.6557227923
23,0.00251578097288,75414,75414,0.679993507899,0.000163827262015,0.0483362901927,4.67673849063e-12,5.53220629464e-12,2714,1,0,25730.6260409,12.6145000458,28087,0,0,0.388916011334,0.999882996535,0,0.1,0,0,20217.027903,1,1,25.8996988339
