schedule,cg_tol,rung,iter,compliance,change_design,max_dphys,mean_dphys,class_frac,class_count,solid,cg_iters,mg_used,hier_built,mg_levels,cycles,active_frac,beta,plateau,infeasible,vf,mnd,mfv,mnd_proj,mfv_proj,draft,traj_tol
start4,1e-08,0,58,17.610426,0.148486,0.0812606,0.0232818,0.0119048,8,672,31,1,1,2,31,1.0000,4,0,0,0.64609,0.501057,178,0.284692,178,0,1.00e-08
start4,1e-08,0,59,16.904543,0.154592,0.0799821,0.0192399,0.00595238,4,672,31,1,1,2,31,1.0000,4,0,0,0.65211,0.47396,182,0.25993,182,0,1.00e-08
start4,1e-08,0,60,16.569133,0.105933,0.0497594,0.0112,0.00892857,6,672,30,1,1,2,30,1.0000,4,0,0,0.65525,0.458308,172,0.247536,172,0,1.00e-08
start4,1e-08,0,61,16.405269,0.108834,0.0516048,0.00889087,0.014881,10,672,30,1,1,2,30,1.0000,4,0,0,0.65717,0.446899,178,0.238573,178,0,1.00e-08
start4,1e-08,0,62,16.30217,0.125679,0.055147,0.00755356,0.0208333,14,672,30,1,1,2,30,1.0000,4,0,0,0.65860,0.439821,192,0.231508,192,0,1.00e-08
start4,1e-08,0,63,16.226555,0.141351,0.0616209,0.00728769,0.00297619,2,672,30,1,1,2,30,1.0000,4,0,0,0.65959,0.434882,194,0.224635,194,0,1.00e-08
start4,1e-08,0,64,16.165528,0.144473,0.0532036,0.00526157,0.00297619,2,672,31,1,1,2,31,1.0000,4,0,0,0.66037,0.431825,200,0.219889,200,0,1.00e-08
start4,1e-08,0,65,16.125276,0.159213,0.0517927,0.00446123,0.00595238,4,672,32,1,1,2,32,1.0000,4,0,0,0.66082,0.430297,208,0.217374,208,0,1.00e-08
start4,1e-08,0,66,16.100655,0.116885,0.0549478,0.00396095,0.00595238,4,672,33,1,1,2,33,1.0000,4,0,0,0.66129,0.428707,212,0.214981,212,0,1.00e-08
start4,1e-08,0,67,16.079629,0.14563,0.057748,0.0034735,0.00297619,2,672,33,1,1,2,33,1.0000,4,0,0,0.66160,0.427701,226,0.213139,226,0,1.00e-08
start4,1e-08,0,68,16.062826,0.137856,0.0551998,0.00323952,0,0,672,33,1,1,2,33,1.0000,4,0,0,0.66195,0.426758,226,0.211426,226,0,1.00e-08
start4,1e-08,0,69,16.049412,0.159624,0.0642087,0.00253124,0.00297619,2,672,33,1,1,2,33,1.0000,4,0,0,0.66225,0.426084,240,0.210636,240,0,1.00e-08
start4,1e-08,0,70,16.039751,0.104043,0.0376323,0.00202083,0.00892857,6,672,33,1,1,2,33,1.0000,4,0,0,0.66256,0.426027,246,0.210119,246,0,1.00e-08
start4,1e-08,0,71,16.031987,0.134153,0.044607,0.00256502,0.00892857,6,672,33,1,1,2,33,1.0000,4,0,0,0.66280,0.425954,244,0.20885,244,0,1.00e-08
start4,1e-08,0,72,16.023728,0.130803,0.0517164,0.00305171,0,0,672,33,1,1,2,33,1.0000,4,0,0,0.66321,0.426063,244,0.207361,244,0,1.00e-08
start4,1e-08,0,73,16.013759,0.121717,0.047682,0.00304153,0,0,672,33,1,1,2,33,1.0000,4,0,0,0.66361,0.426186,244,0.205797,244,0,1.00e-08
start4,1e-08,0,74,16.005208,0.135401,0.0533696,0.00270424,0,0,672,33,1,1,2,33,1.0000,4,0,0,0.66397,0.426076,244,0.204435,244,0,1.00e-08
start4,1e-08,0,75,15.999008,0.122075,0.0488569,0.00243991,0.00892857,6,672,33,1,1,2,33,1.0000,4,0,0,0.66444,0.42551,262,0.203108,262,0,1.00e-08
start4,1e-08,0,76,15.993783,0.136165,0.0458087,0.00234359,0,0,672,32,1,1,2,32,1.0000,4,0,0,0.66496,0.425446,262,0.202866,262,0,1.00e-08
start4,1e-08,0,77,15.988908,0.109265,0.0295624,0.00162512,0.00297619,2,672,33,1,1,2,33,1.0000,4,0,0,0.66529,0.424658,268,0.201992,268,0,1.00e-08
start4,1e-08,0,78,15.985768,0.118129,0.0320455,0.00124907,0,0,672,32,1,1,2,32,1.0000,4,0,0,0.66551,0.424521,268,0.201887,268,0,1.00e-08
start4,1e-08,0,79,15.983825,0.167954,0.0455619,0.00133774,0,0,672,32,1,1,2,32,1.0000,4,0,0,0.66563,0.424728,268,0.201793,268,0,1.00e-08
start4,1e-08,0,80,15.981367,0.077906,0.0249364,0.000887231,0,0,672,33,1,1,2,33,1.0000,4,0,0,0.66564,0.424582,268,0.201425,268,0,1.00e-08
start4,1e-08,0,81,15.97966,0.114802,0.0367461,0.00098146,0,0,672,34,1,1,2,34,1.0000,4,0,0,0.66563,0.424571,268,0.20093,268,0,1.00e-08
start4,1e-08,0,82,15.978213,0.163005,0.0521749,0.00121465,0.00297619,2,672,34,1,1,2,34,1.0000,4,0,0,0.66554,0.424599,270,0.200477,270,0,1.00e-08
start4,1e-08,0,83,15.976133,0.182377,0.0583758,0.00126015,0,0,672,34,1,1,2,34,1.0000,4,0,0,0.66536,0.424778,270,0.199974,270,0,1.00e-08
start4,1e-08,0,84,15.974594,0.0948877,0.0303719,0.000903622,0,0,672,33,1,1,2,33,1.0000,4,0,0,0.66534,0.425396,270,0.200363,270,0,1.00e-08
start4,1e-08,0,85,15.973695,0.0463899,0.0183011,0.000455861,0,0,672,33,1,1,2,33,1.0000,4,0,0,0.66536,0.425448,270,0.200416,270,0,1.00e-08
start4,1e-08,0,86,15.973373,0.0567428,0.0246492,0.000630178,0,0,672,33,1,1,2,33,1.0000,4,0,0,0.66536,0.425413,270,0.200437,270,0,1.00e-08
start4,1e-08,0,87,15.973333,0.0747898,0.0311771,0.000673637,0,0,672,33,1,1,2,33,1.0000,4,1,0,0.66537,0.425612,270,0.200617,270,0,1.00e-08
start4,1e-08,0,88,14.871203,0.145186,0.100651,0.0080109,0.00297619,2,672,37,1,1,2,37,1.0000,8,0,0,0.67078,0.438887,264,0.0583154,264,0,1.00e-08
start4,1e-08,0,89,14.851641,0.0802223,0.0345531,0.00286529,0,0,672,39,1,1,2,39,1.0000,8,0,0,0.67099,0.440977,264,0.0580104,264,0,1.00e-08
start4,1e-08,0,90,14.84733,0.0526505,0.0215808,0.0017753,0,0,672,38,1,1,2,38,1.0000,8,0,0,0.67087,0.443246,264,0.0577476,264,0,1.00e-08
start4,1e-08,0,91,14.845946,0.0379133,0.0116077,0.0011474,0,0,672,38,1,1,2,38,1.0000,8,0,0,0.67100,0.444633,264,0.0577728,264,0,1.00e-08
start4,1e-08,0,92,14.845465,0.0229686,0.0068019,0.000678993,0,0,672,38,1,1,2,38,1.0000,8,0,0,0.67103,0.445331,264,0.057771,264,0,1.00e-08
start4,1e-08,0,93,14.845277,0.0190099,0.00538509,0.000467562,0,0,672,38,1,1,2,38,1.0000,8,0,0,0.67105,0.445699,264,0.0577936,264,0,1.00e-08
start4,1e-08,0,94,14.845187,0.0176866,0.00489056,0.000330889,0,0,672,38,1,1,2,38,1.0000,8,0,0,0.67104,0.445827,264,0.0577877,264,0,1.00e-08
start4,1e-08,0,95,14.845139,0.0141927,0.00383761,0.000250841,0,0,672,38,1,1,2,38,1.0000,8,0,0,0.67105,0.445907,264,0.0577931,264,0,1.00e-08
start4,1e-08,0,96,14.845115,0.0111291,0.00331135,0.000174598,0,0,672,38,1,1,2,38,1.0000,8,0,0,0.67104,0.445944,264,0.057784,264,0,1.00e-08
start4,1e-08,0,97,14.845105,0.00755298,0.00363755,0.000146533,0,0,672,38,1,1,2,38,1.0000,8,0,0,0.67103,0.445953,264,0.0577903,264,0,1.00e-08
start4,1e-08,0,98,14.8451,0.00897661,0.00466466,0.000190082,0,0,672,38,1,1,2,38,1.0000,8,0,0,0.67102,0.445953,264,0.0577664,264,0,1.00e-08
start4,1e-08,0,99,14.845098,0.0124272,0.00733102,0.000353089,0,0,672,38,1,1,2,38,1.0000,8,1,0,0.67101,0.446114,264,0.057807,264,0,1.00e-08
start4,1e-08,0,100,14.713989,0.0999,0.0983501,0.0325016,0,0,672,42,1,1,2,42,1.0000,16,0,0,0.70602,0.460044,264,0.0373999,264,0,1.00e-08
start4,1e-08,0,101,14.698255,0.0999,0.0996188,0.0409931,0.00297619,2,672,39,1,1,2,39,1.0000,16,0,0,0.66519,0.480973,250,0.0265015,250,0,1.00e-08
start4,1e-08,0,102,14.686242,0.0999,0.0960007,0.0278831,0,0,672,42,1,1,2,42,1.0000,16,0,0,0.66834,0.478581,250,0.0174313,250,0,1.00e-08
start4,1e-08,0,103,14.684194,0.0999,0.0860628,0.0234114,0,0,672,42,1,1,2,42,1.0000,16,0,0,0.66856,0.477009,250,0.0151641,250,0,1.00e-08
start4,1e-08,0,104,14.677661,0.0999,0.0783511,0.0180908,0.00297619,2,672,39,1,1,2,39,1.0000,16,0,0,0.66477,0.477411,244,0.00919226,244,0,1.00e-08
start4,1e-08,0,105,14.668946,0.0999,0.0840035,0.0155357,0,0,672,39,1,1,2,39,1.0000,16,0,0,0.65719,0.487084,244,0.00463941,244,0,1.00e-08
start4,1e-08,0,106,14.663907,0.0999,0.0695655,0.0111037,0,0,672,39,1,1,2,39,1.0000,16,0,0,0.65788,0.479732,244,0.00358099,244,0,1.00e-08
start4,1e-08,0,107,14.661868,0.0999,0.0534291,0.00757807,0,0,672,39,1,1,2,39,1.0000,16,0,0,0.65826,0.478109,244,0.00325986,244,0,1.00e-08
start4,1e-08,0,108,14.660924,0.0999,0.0460916,0.00543102,0,0,672,39,1,1,2,39,1.0000,16,0,0,0.66053,0.471093,244,0.00312327,244,0,1.00e-08
start4,1e-08,0,109,14.660181,0.0999,0.046949,0.00345398,0,0,672,39,1,1,2,39,1.0000,16,0,0,0.66145,0.469509,244,0.00300057,244,0,1.00e-08
start4,1e-08,0,110,14.659987,0.0999,0.0427034,0.00234762,0,0,672,39,1,1,2,39,1.0000,16,0,0,0.66195,0.467645,244,0.00300224,244,0,1.00e-08
start4,1e-08,0,111,14.659872,0.0999,0.0380521,0.00180978,0,0,672,39,1,1,2,39,1.0000,16,0,0,0.66239,0.466668,244,0.00294346,244,0,1.00e-08
start4,1e-08,0,112,14.659808,0.0768753,0.0316268,0.00143082,0,0,672,39,1,1,2,39,1.0000,16,0,0,0.66217,0.466544,244,0.00294961,244,0,1.00e-08
start4,1e-08,0,113,14.659771,0.0999,0.0332858,0.00146093,0,0,672,39,1,1,2,39,1.0000,16,0,0,0.66282,0.465466,244,0.00293399,244,0,1.00e-08
start4,1e-08,0,114,14.659749,0.0573614,0.0196109,0.00155101,0,0,672,39,1,1,2,39,1.0000,16,0,0,0.66221,0.465916,244,0.00291433,244,0,1.00e-08
start4,1e-08,0,115,14.659728,0.0542819,0.0198561,0.00154654,0,0,672,39,1,1,2,39,1.0000,16,1,0,0.66285,0.465395,244,0.00293218,244,0,1.00e-08
start4,1e-08,1,1,84.541595,0.1998,-1,-1,-1,-1,672,26,1,1,2,26,1.0000,0,0,0,0.49756,0.8913,82,0.8913,82,0,1.00e-08
start4,1e-08,1,2,67.652725,0.172127,0.131888,0.0355752,0.107143,72,672,25,1,1,2,25,1.0000,0,0,0,0.51133,0.86672,158,0.86672,158,0,1.00e-08
start4,1e-08,1,3,54.387148,0.153765,0.116499,0.0354474,0.116071,78,672,27,1,1,2,27,1.0000,0,0,0,0.51269,0.837506,234,0.837506,234,0,1.00e-08
start4,1e-08,1,4,47.216126,0.158579,0.109532,0.0371209,0.0416667,28,672,28,1,1,2,28,1.0000,0,0,0,0.51221,0.796336,262,0.796336,262,0,1.00e-08
start4,1e-08,1,5,41.145061,0.193007,0.132979,0.0426076,0.00595238,4,672,36,1,1,2,36,1.0000,0,0,0,0.51137,0.739708,266,0.739708,266,0,1.00e-08
start4,1e-08,1,6,35.650428,0.144385,0.0992019,0.0321252,0.0119048,8,672,49,1,1,2,49,1.0000,0,0,0,0.51548,0.701961,270,0.701961,270,0,1.00e-08
start4,1e-08,1,7,32.6485,0.119592,0.0757195,0.0234841,0.014881,10,672,54,1,1,2,54,1.0000,0,0,0,0.51766,0.673703,284,0.673703,284,0,1.00e-08
start4,1e-08,1,8,31.341982,0.126875,0.0740969,0.0110999,0.0267857,18,672,58,1,1,2,58,1.0000,0,0,0,0.51918,0.658805,290,0.658805,290,0,1.00e-08
start4,1e-08,1,9,30.78848,0.117805,0.072203,0.0110747,0.0119048,8,672,60,1,1,2,60,1.0000,0,0,0,0.51916,0.646155,298,0.646155,298,0,1.00e-08
start4,1e-08,1,10,30.374386,0.161813,0.10477,0.0125053,0.014881,10,672,62,1,1,2,62,1.0000,0,0,0,0.51878,0.629958,296,0.629958,296,0,1.00e-08
