iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,iteration_wall_s
29,0.00257784237862,75414,75414,0.679993507899,0.000399723649025,0.0483362901927,1.28761129179e-11,7.38361619384e-12,2651,1,0,19069.5291252,12.4555830956,18842,0,0,0.328657817021,0.999890403106,0,0.1,0.403281811987,1,28155.3123586,1,1,0,0,0,22.6725192079
30,0.00257774467627,75414,75414,0.679993507899,0.000819191336632,0.0483362901927,1.33397012571e-11,7.31609523906e-12,2657,1,0,18957.2522922,11.773832798,18654,0,0,0.320929511335,0.999878118093,0,0.1,0.400547839823,1,28122.3849937,1,1,0,0,0,38.9462653748
31,0.00257719647581,75414,75414,0.679993507899,-0.00226534903049,0.0483362901927,1.1747104491e-11,7.20176398767e-12,2658,1,0,24217.5022092,15.4060406685,18665,0,0,0.321060833072,0.999878118093,0,0.1,0.388972774392,1,27451.835774,1,1,0,0,0,28.3923457908
32,0.00257707644812,75415,75415,0.680002524706,0.00224821269512,0.0483362901927,1.02958903983e-11,7.1762633476e-12,2658,1,0,23303.0908751,13.2167077065,18613,0,0,0.321372463605,0.999878118093,0,0.1,0.386468193412,1,27563.2656429,1,1,0,0,0,27.1174834999
33,0.00257815311414,75414,75414,0.679993507899,0.00223480165005,0.0483362901927,1.0848726503e-11,7.28146922832e-12,2657,1,0,20106.9623747,13.5770001411,18550,0,0,0.321766043102,0.999878118093,0,0.1,0.38405359912,1,27534.9911904,1,1,0,0,0,23.8382524159
34,0.00257793231545,75414,75414,0.679993507899,0.00136531889439,0.0483362901927,9.83067780447e-12,7.20092906984e-12,2660,1,0,20684.1537919,12.9688754082,18519,0,0,0.322069115519,0.999878118093,0,0.1,0.381209529884,1,27564.4002663,1,1,0,0,0,24.4840225
35,0.00257801959651,75414,75414,0.679993507899,-0.000330433249474,0.0483362901927,9.97498968222e-12,7.22683772994e-12,2658,1,0,21086.400084,13.4722499847,18488,0,0,0.314520807558,0.99974051464,0,0.1,0.378700912891,1,27460.3232982,1,1,0,0,0,41.9963391661
36,0.00257708569471,75415,75415,0.680002524706,-0.00430457293987,0.0483362901927,1.15463762756e-11,7.03727425603e-12,2663,1,0,53870.0076671,15.9069581032,18255,0,0,0.314693946033,0.99974051464,0,0.1,0.36847306375,1,26846.2022392,1,1,0,0,0,57.8169273338
37,0.00257764817672,75415,75415,0.680002524706,0.00157840549946,0.0483362901927,1.19532105201e-11,7.13955551085e-12,2661,1,0,21925.1664591,12.3468327522,18224,0,0,0.314895698974,0.99974051464,0,0.1,0.366733514353,1,26891.0981043,1,1,0,0,0,26.1432348336
38,0.00257823155924,75414,75414,0.679993507899,0.0037457793951,0.0483362901927,1.1054401037e-11,7.15184619051e-12,2664,1,0,20102.9495831,12.31995821,18282,0,0,0.315308929069,0.99974051464,0,0.1,0.364580532491,1,27071.8051946,1,1,0,0,0,23.8409527503
