fixture,rho_target,rho_lib,N,vpc,state,ci,cj,ck,class,n_solid,cellavg_vm,cell_peak_vm,K_cell,K_far
sandwich,0.10000,0.09505,4,16,biax_xy,1,1,1,interior,488,100.3052,4337.8026,43.246,107.066
sandwich,0.10000,0.09505,4,16,biax_xy,2,1,1,interior,488,100.3062,4337.7771,43.245,107.065
sandwich,0.10000,0.09505,4,16,biax_xy,3,1,1,grip,488,80.3833,4165.3532,51.819,102.809
sandwich,0.10000,0.09505,4,16,biax_xy,0,2,1,grip,488,80.3831,4165.3310,51.819,102.809
sandwich,0.10000,0.09505,4,16,biax_xy,1,2,1,interior,488,100.3055,4337.8130,43.246,107.066
sandwich,0.10000,0.09505,4,16,biax_xy,2,2,1,interior,488,100.3065,4337.7874,43.245,107.065
sandwich,0.10000,0.09505,4,16,biax_xy,3,2,1,grip,488,80.3835,4165.3672,51.819,102.810
sandwich,0.10000,0.09505,4,16,biax_xy,0,3,1,grip,488,113.1215,5344.5259,47.246,131.914
sandwich,0.10000,0.09505,4,16,biax_xy,1,3,1,free_surface,488,84.2120,3529.1472,41.908,87.106
sandwich,0.10000,0.09505,4,16,biax_xy,2,3,1,free_surface,488,84.2127,3529.1825,41.908,87.107
sandwich,0.10000,0.09505,4,16,biax_xy,3,3,1,grip,488,113.1224,5344.5838,47.246,131.915
sandwich,0.10000,0.09505,4,16,biax_xy,0,0,2,grip,488,113.1214,5344.5340,47.246,131.914
sandwich,0.10000,0.09505,4,16,biax_xy,1,0,2,free_surface,488,84.2116,3529.1333,41.908,87.106
sandwich,0.10000,0.09505,4,16,biax_xy,2,0,2,free_surface,488,84.2123,3529.1685,41.908,87.107
sandwich,0.10000,0.09505,4,16,biax_xy,3,0,2,grip,488,113.1223,5344.5919,47.246,131.915
sandwich,0.10000,0.09505,4,16,biax_xy,0,1,2,grip,488,80.3829,4165.3171,51.818,102.808
sandwich,0.10000,0.09505,4,16,biax_xy,1,1,2,interior,488,100.3052,4337.8026,43.246,107.066
sandwich,0.10000,0.09505,4,16,biax_xy,2,1,2,interior,488,100.3062,4337.7771,43.245,107.065
sandwich,0.10000,0.09505,4,16,biax_xy,3,1,2,grip,488,80.3833,4165.3532,51.819,102.809
sandwich,0.10000,0.09505,4,16,biax_xy,0,2,2,grip,488,80.3831,4165.3310,51.819,102.809
sandwich,0.10000,0.09505,4,16,biax_xy,1,2,2,interior,488,100.3055,4337.8130,43.246,107.066
sandwich,0.10000,0.09505,4,16,biax_xy,2,2,2,interior,488,100.3065,4337.7874,43.245,107.065
sandwich,0.10000,0.09505,4,16,biax_xy,3,2,2,grip,488,80.3835,4165.3672,51.819,102.810
sandwich,0.10000,0.09505,4,16,biax_xy,0,3,2,grip,488,113.1215,5344.5259,47.246,131.914
sandwich,0.10000,0.09505,4,16,biax_xy,1,3,2,free_surface,488,84.2120,3529.1472,41.908,87.106
