fixture,rho_target,r_unit,rho_lib,rho_meas,N,vpc,population,state,n_vox,macro_vm,macro_p,macro_il_z,peak_vm,p99_vm,p999_vm,K_peak,K_p99,peak_il_z,K_il
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,grip,uni_x,78336,930.18108,769.60342,459.54306,7199.7690,5230.1909,6916.3821,7.740,5.623,2536.0601,5.519
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,grip,uni_z,78336,930.18108,769.60342,1389.72414,7012.5310,4651.4444,6290.6810,7.539,5.001,6901.8721,4.966
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,grip,biax_xy,78336,930.18108,1539.20684,919.08612,11062.6921,7158.9359,9378.2086,11.893,7.696,5648.8634,6.146
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,grip,shear_xy,78336,699.90559,0.00000,0.00000,4386.6071,2816.3168,3881.4366,6.267,4.024,1929.3461,-1.000
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,grip,shear_diag,78336,1611.12088,0.00000,0.00000,7496.4292,6150.0102,7190.5489,4.653,3.817,1857.4921,-1.000
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,grip,uni_111,78336,808.18137,769.60342,769.60342,13114.3748,5526.4124,7836.1364,16.227,6.838,5637.4778,7.325
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,grip,hydro,78336,0.00000,2308.81026,2308.81026,16427.8645,8641.5088,11008.2128,-1.000,-1.000,8966.7086,3.884
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,free_surface,uni_x,58752,930.18108,769.60342,459.54306,7135.4061,5195.9058,7088.5733,7.671,5.586,1532.7913,3.335
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,free_surface,uni_z,58752,930.18108,769.60342,1389.72414,1956.0471,1058.9555,1533.2436,2.103,1.138,2201.0147,1.584
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,free_surface,biax_xy,58752,930.18108,1539.20684,919.08612,8409.4889,5834.0127,8046.6610,9.041,6.272,1690.1793,1.839
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,free_surface,shear_xy,58752,699.90559,0.00000,0.00000,3459.2407,2943.7736,3395.1052,4.942,4.206,619.5830,-1.000
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,free_surface,shear_diag,58752,1611.12088,0.00000,0.00000,7526.0041,5375.4459,7457.6854,4.671,3.336,1749.2376,-1.000
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,free_surface,uni_111,58752,808.18137,769.60342,769.60342,5540.2496,3267.4463,4363.4710,6.855,4.043,2468.6072,3.208
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,free_surface,hydro,58752,0.00000,2308.81026,2308.81026,9247.3993,6319.3000,9011.3635,-1.000,-1.000,2242.8183,0.971
sandwich,0.75000,0.230818,0.75210,0.75195,4,16,interior,uni_x,24640,1508.97676,1345.34760,842.35535,6888.9637,5748.0233,6857.1461,4.565,3.809,1130.9774,1.343
sandwich,0.75000,0.230818,0.75210,0.75195,4,16,interior,uni_z,24640,1508.97676,1345.34760,2351.33211,1997.9093,1294.7375,1722.7809,1.324,0.858,2171.6544,0.924
sandwich,0.75000,0.230818,0.75210,0.75195,4,16,interior,biax_xy,24640,1508.97676,2690.69521,1684.71070,8225.5075,6739.0849,8105.4846,5.451,4.466,1335.8325,0.793
sandwich,0.75000,0.230818,0.75210,0.75195,4,16,interior,shear_xy,24640,1127.12770,0.00000,0.00000,3454.0274,3055.7193,3423.6850,3.064,2.711,622.7333,-1.000
sandwich,0.75000,0.230818,0.75210,0.75195,4,16,interior,shear_diag,24640,2613.62441,0.00000,0.00000,5813.0817,4829.3307,5751.4449,2.224,1.848,1015.3760,-1.000
sandwich,0.75000,0.230818,0.75210,0.75195,4,16,interior,uni_111,24640,1301.49496,1345.34760,1345.34760,5874.1240,3988.9004,5048.1295,4.513,3.065,2941.2654,2.186
sandwich,0.75000,0.230818,0.75210,0.75195,4,16,interior,hydro,24640,0.00000,4036.04281,4036.04281,9538.7005,7607.2964,9380.8164,-1.000,-1.000,2754.2595,0.682
sandwich,0.75000,0.230818,0.75210,0.75195,4,16,grip,uni_x,98560,1508.97676,1345.34760,842.35535,6746.7029,5422.6558,6528.1094,4.471,3.594,2759.0010,3.275
sandwich,0.75000,0.230818,0.75210,0.75195,4,16,grip,uni_z,98560,1508.97676,1345.34760,2351.33211,7743.7001,4873.5903,6896.5576,5.132,3.230,6401.9322,2.723
sandwich,0.75000,0.230818,0.75210,0.75195,4,16,grip,biax_xy,98560,1508.97676,2690.69521,1684.71070,13014.1167,7541.3599,10733.8881,8.624,4.998,6303.5631,3.742
sandwich,0.75000,0.230818,0.75210,0.75195,4,16,grip,shear_xy,98560,1127.12770,0.00000,0.00000,4123.9205,2969.8459,3784.9656,3.659,2.635,2160.9232,-1.000
sandwich,0.75000,0.230818,0.75210,0.75195,4,16,grip,shear_diag,98560,2613.62441,0.00000,0.00000,7153.5816,6102.5908,6675.8850,2.737,2.335,1498.2608,-1.000
sandwich,0.75000,0.230818,0.75210,0.75195,4,16,grip,uni_111,98560,1301.49496,1345.34760,1345.34760,15561.6783,5903.6285,8585.2241,11.957,4.536,6281.5164,4.669
sandwich,0.75000,0.230818,0.75210,0.75195,4,16,grip,hydro,98560,0.00000,4036.04281,4036.04281,19273.3183,9239.0566,12425.2096,-1.000,-1.000,9573.5226,2.372
