iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,iteration_wall_s
11,0.00254500593606,75414.72,75159,0.67769422203,-0.0477790732325,3.43166756453e+12,4.96924387507e-14,6.32800292155e-12,2714,1,0,20867.7459579,11.7475833893,24508,338,9.98097462695e-13,0.164906670395,0.976297922682,24,0.1,21.8827067087
12,0.00255534787106,75414.72,75232,0.678352448965,0.0191287524096,343676767010,4.96186960053e-13,7.13608650803e-12,2686,1,0,20621.1160002,11.6468338966,23931,346,9.74948224196e-13,0.166111489291,0.989290031726,24,0.1,21.6475842916
13,0.00254539790802,75414.72,75219,0.67823523047,-0.0260400586223,1.60039181134e+12,1.06553863282e-13,6.45887957645e-12,2620,1,0,20029.0186248,11.7521252632,24171,347,9.97257431451e-13,0.170222397839,0.987479590884,24,0.1,21.056197708
14,0.00254301085431,75414.72,75169,0.677784390103,-0.0602437392203,4.00201995015e+12,4.26104648122e-14,6.22291490836e-12,2695,1,0,21020.9604998,12.6002078056,24425,334,9.88562120984e-13,0.164090718038,0.959657869451,24,0.1,22.03259025
15,0.00255513138223,75414.72,75240,0.678424583424,0.00722705990819,346021576656,4.92824557103e-13,7.1261876697e-12,2655,1,0,20461.1393332,11.7948746681,23927,346,9.56474334728e-13,0.166014189685,0.991996410118,24,0.1,21.5056167077
16,0.00254335363665,75414.72,75276,0.678749188487,-0.0268833990983,1.25852641598e+12,1.01623570291e-13,6.33213583222e-12,2656,1,0,20396.0539579,11.7461671829,24202,347,9.95914930651e-13,0.170604747149,0.981129324316,24,0.075,21.4232877078
17,0.00254064843492,75414.72,75144,0.67755896992,-0.0425286269402,4.97241535799e+12,2.57210909567e-14,6.13260293971e-12,2691,1,0,20877.3918328,11.904624939,24544,336,9.29101489819e-13,0.16653585244,0.995980563623,24,0.075,21.888625334
18,0.0025484527323,75414.72,75270,0.678695087643,-0.00542184187124,343762500134,3.72047409615e-13,6.78580310187e-12,2626,1,0,20071.9821248,11.5939998627,24124,344,9.40241462324e-13,0.168139091974,0.991783053632,24,0.075,21.0921962922
19,0.00254121256328,75414.72,75263,0.678631969992,-0.0130636737054,1.61477077548e+12,7.92037790376e-14,6.26134860988e-12,2624,1,0,20235.5890837,12.1827082634,24325,349,9.86923669306e-13,0.170461630171,0.976169957532,24,0.075,21.2678549998
20,0.00253971992055,75414.72,75158,0.677685205223,-0.0272277564841,3.50429577647e+12,3.64969043299e-14,6.07003692222e-12,2673,1,0,20715.4178333,12.0847086906,24655,337,9.62953207779e-13,0.16886145095,0.987190213853,24,0.075,21.7565118331
21,0.00254375353991,75414.72,75216,0.678208180048,0.0167717814487,555538124451,2.30219929234e-13,6.46616500009e-12,2643,1,0,20209.7550001,12.0881252289,24479,347,9.55064422154e-13,0.170366172467,0.984465848425,24,0.075,21.2535177916
22,0.00253840037573,75414.72,75276,0.678749188487,-0.02526798788,2.8673490456e+12,3.34531859385e-14,6.06062991199e-12,2677,1,0,20472.490375,11.9113340378,24734,336,9.71870869982e-13,0.173614916148,0.98134884323,24,0.05625,21.4821585841
23,0.00253810798461,75414.72,75144,0.67755896992,-0.0557431126051,1.97776450881e+12,4.85001931958e-14,6.05040718251e-12,2723,1,0,20827.014792,12.0286250114,24935,348,9.58327750896e-13,0.169541451548,0.987547322264,24,0.05625,21.8667529593
24,0.00253840968792,75414.72,75272,0.678713121258,0.0331772310853,1.7478747547e+12,5.48791957291e-14,6.05763346443e-12,2629,1,0,20188.0707922,11.7766666412,24772,336,9.2860820374e-13,0.173711257292,0.985046991229,24,0.05625,21.2176785832
