==============================================================================
M3 — THE TOPOLOGY CURVES
==============================================================================

★ PER ARM — the whole run in one row

arm             it  b0 first  b0 last  b0 max  NEW tot  SPLIT tot  viol  revert  chi last  b1 last  cav
-------------------------------------------------------------------------------------------------------
MN_nucleating   60        87       41     518      263       -309    52       0       -89      135    5
MA_holes8       60        87       11     522      152        -72    52       0       -96      109    2
MC_stress       60         8        4       8      256         -2    57       0        -3        7    0
MB_gyr12        60        15       10     166       91        -10    45       0       -37       47    0
MB_gyr20        60        15        6      40       71          6    43       0       -15       21    0
MA_poor12       60       490        9     490      130       -479    53       0       -83       93    1
MA_rich6        60      1268       14    1268      207      -1235    47       0       -40       56    2
MA_phase        60        95       15     525      179        -72    53       0      -110      127    2

★ b0 = void components. NEW = components sharing no voxel with any
  previous void. SPLIT = the rest of the change in b0, i.e. existing void
  fragmenting as solid bridges across it. b1 = tunnels = b0 + b2 - chi.

==============================================================================
MN_nucleating — per iteration
==============================================================================
 it     b0  d(b0)   NEW  SPLIT     chi     b1  cav  viol  rev    compliance
  3      3     +0     5     -1       1      2    0     2    0  0.0045441188
  4      4     +1     5      1       1      3    0     3    0  0.0044850176
  5      3     -1     8     -1       0      3    0     4    0  0.0044227648
  6      4     +1     8      0       0      4    0     5    0  0.0043637522
  7      3     -1     2     -1       1      2    0     6    0  0.0043023741
  8      2     -1    10     -1       1      1    0     7    0  0.0042444502
  9      2     +0     4      0       2      0    0     8    0  0.0041907622
 10      3     +1     6      1       3      0    0     9    0  0.0041392523
 11      3     +0     3      0       2      1    0    10    0  0.0040945590
 12      3     +0    10      0       2      1    0    11    0  0.0040493720
 13      4     +1     8      1       3      1    0    12    0  0.0040013954
 14      2     -2     2     -2       1      1    0    13    0  0.0039593192
 15      3     +1     8      1       0      3    0    14    0  0.0039084951
 16      3     +0     6      0       2      1    0    15    0  0.0038572824
 17      2     -1     5     -1       2      0    0    16    0  0.0038155807
 18      3     +1     3      1       2      1    0    17    0  0.0037759916
 19      3     +0     1      0       2      1    0    18    0  0.0037339447
 20      3     +0     4      0       2      1    0    19    0  0.0036970263
 21      3     +0     4     -1       2      1    0    20    0  0.0036515871
 22      3     +0     5      0       2      1    0    21    0  0.0036178633
 23      3     +0     3      0       2      1    0    22    0  0.0035785675
 24      3     +0     2      0       2      1    0    23    0  0.0035429199
 25      2     -1     4      0       1      1    0    24    0  0.0035082970
 26      2     +0     2      0       1      1    0    25    0  0.0034719518
 27      2     +0     2      0       1      1    0    26    0  0.0034396694
 28      2     +0     3      0       0      2    0    27    0  0.0034079323
 29      2     +0     3      0       2      0    0    28    0  0.0033767934
 30      2     +0     3      0       2      0    0    29    0  0.0033483066
 31      2     +0     0      0       2      0    0    29    0  0.0033181051
 32      2     +0     2      0       2      0    0    30    0  0.0032902350
 33      2     +0     2      0       2      0    0    31    0  0.0032614138
 34      2     +0     3      0       3     -1    0    32    0  0.0032329874
 35      2     +0     2      0       2      0    0    33    0  0.0032065453
 36      3     +1     5      1       2      1    0    34    0  0.0031813671
 37      2     -1     2     -1       2      0    0    35    0  0.0031593367
 38      2     +0     6      0       2      0    0    36    0  0.0031362282
 39      2     +0     1      0       2      0    0    37    0  0.0031143797
 40      2     +0     5      0       2      0    0    38    0  0.0030928256
 41      3     +1     4      1       3      0    0    39    0  0.0030713208
 42      2     -1     2     -1       2      0    0    40    0  0.0030530338
 43      2     +0     3      0       2      0    0    41    0  0.0030340852
 44      2     +0    10      0       2      0    0    42    0  0.0030163209
 45      2     +0     3      0       2      0    0    43    0  0.0030004801
 46      2     +0     9      0       2      0    0    44    0  0.0029829103
 47      3     +1     5      0       2      1    0    45    0  0.0029663890
 48      2     -1     6     -1       2      0    0    46    0  0.0029525143
 49      3     +1     1      1       3      0    0    47    0  0.0029344101
 50      2     -1     2     -1      -1      3    0    48    0  0.0029209667
 51      4     +2     3      2       3      1    0    49    0  0.0029044817
 52      3     -1     9      0      -1      4    0    50    0  0.0028920008
 53      4     +1     4      3       1      3    0    51    0  0.0028785155
 54      4     +0     7     -1      -1      5    0    52    0  0.0028668319
 55      4     +0     0      0      -2      6    0    52    0  0.0028535439
 56      3     -1     9     -1      -1      4    0    53    0  0.0028422174
 57      5     +2     3      2      -2      7    0    54    0  0.0028312679
 58      5     +0     4      0       0      5    0    55    0  0.0028196357
 59      4     -1     4     -1      -4      8    0    56    0  0.0028086231
