iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,iteration_wall_s
29,0.00253568729016,75414,75414,0.679993507899,0.000389911515158,0.0483362901927,8.94004360334e-12,6.24181799459e-12,3082,1,0,27212.0510826,12.7975001335,18241,0,0,0.370966147417,0.999881478278,0,0.1,0,0,24175.1768086,1,1,0,115244.373269,0.3,27.4439707077
30,0.0025335266233,75414,75414,0.679993507899,-0.00216282567015,0.0483362901927,8.229505824e-12,6.19971198407e-12,3097,1,0,27865.399416,16.5829591751,18340,0,0,0.328615427413,0.99984889241,0,0.1,0,0,24084.5356911,1,1,0,110502.567568,0.3,45.8014858337
31,0.00253436422109,75414,75414,0.679993507899,-0.00335172124481,0.0483362901927,8.89160509781e-12,6.33821999544e-12,2976,1,0,29861.513,16.4090828896,17328,0,0,0.318821501717,0.99984889241,0,0.1,0,0,23687.6168334,1,1,0,125992.506555,0.3,30.1859010421
32,0.00253239491583,75415,75415,0.680002524706,-5.36475949436e-05,0.0483362901927,7.19479150588e-12,6.20596918641e-12,3062,1,0,34784.9876671,14.6859169006,17615,0,0,0.319076257816,0.99984889241,0,0.1,0,0,23796.7313044,1,1,0,120955.089786,0.3,35.0733817499
33,0.00253196537706,75414,75414,0.679993507899,0.0029086739523,0.0483362901927,7.44057363001e-12,6.09093318623e-12,3012,1,0,35808.1299577,15.508834362,17874,0,0,0.325737033844,0.99984889241,0,0.1,0,0,23989.5512192,1,1,0,116422.422118,0.3,36.1601624996
34,0.00253113275244,75415,75415,0.680002524706,-0.000325255554155,0.0483362901927,7.22988942595e-12,6.08951259922e-12,3045,1,0,32647.7967086,13.9990000725,18108,0,0,0.324373284107,0.99984889241,0,0.1,0,0,24000.9010712,1,1,0,111897.166348,0.3,32.9688154999
35,0.00253067609713,75414,75414,0.679993507899,0.00111768536073,0.0483362901927,7.57281834033e-12,6.05333037979e-12,3030,1,0,33059.9213753,14.4417500496,18364,0,0,0.311520014546,0.999825012096,0,0.1,0,0,24027.987667,1,1,0,107433.072534,0.3,53.132133917
36,0.00253141883166,75414,75414,0.679993507899,-0.00619170205109,0.0483362901927,9.46743029379e-12,6.23925390401e-12,2956,1,0,33240.6252913,14.0843338966,17208,0,0,0.311716631769,0.999825012096,0,0.1,0,0,23671.7346346,1,1,0,123363.44407,0.3,33.4870329173
37,0.00253032322802,75415,75415,0.680002524706,0.0018491396662,0.0483362901927,9.37673551474e-12,6.07964598387e-12,3020,1,0,35227.0120831,13.1605415344,17612,0,0,0.311802940847,0.999825012096,0,0.1,0,0,23924.7004971,1,1,0,118819.920808,0.3,35.5303652077
38,0.00252956869998,75414,75414,0.679993507899,0.000468892284953,0.0483362901927,8.19915649515e-12,6.01185557881e-12,3026,1,0,32929.622458,14.9084587097,17909,0,0,0.31224414503,0.999825012096,0,0.1,0,0,24003.8584019,1,1,0,114464.868062,0.3,33.2759206672
