rung,iter,cg_iters,cg_multigrid,hier_built,mg_mode,traj_tol,compliance,change,achieved_vf
1,1,79,1,1,carried,1.000e-03,339841.9557,0.1998,0.007855
1,2,164,1,1,carried,9.886e-04,47863866.18,0.1998,0.007394
1,3,125,1,1,carried,9.886e-04,11046628.56,0.1998,0.006725
1,4,203,1,1,carried,9.886e-04,36174349.99,0.1998,0.006572
1,5,182,1,1,carried,9.886e-04,452191685.4,0.1998,0.005987
1,6,161,1,1,carried,9.886e-04,46666013.63,0.1998,0.007036
1,7,199,1,1,carried,9.886e-04,418357993.1,0.195225,0.005151
1,8,136,1,1,carried,7.597e-04,47318937.5,0.185035,0.007216
1,9,200,1,1,carried,4.225e-04,31715931.2,0.1998,0.006291
1,10,275,1,1,carried,9.886e-04,35284695.89,0.1998,0.007398
1,11,266,1,1,carried,9.886e-04,49949615.77,0.187634,0.005759
1,12,1339,0,1,stagnated,4.907e-04,15631052.5,0.185035,0.007294
1,13,291,1,1,carried,4.225e-04,13756626.78,0.165632,0.006349
1,14,1253,0,1,stagnated,1.383e-04,4645555.481,0.165632,0.006909
1,15,229,1,1,carried,1.383e-04,1848820.417,0.136234,0.006879
1,16,226,1,1,carried,2.546e-05,302149.5055,0.136234,0.007082
1,17,153,1,1,carried,2.546e-05,57066.5864,0.117387,0.008051
1,18,103,1,1,carried,8.603e-06,18443.53356,0.031087,0.009504
1,19,94,1,1,carried,5.987e-08,8022.254264,0.0225639,0.010312
1,20,81,1,1,carried,3.665e-08,4352.94121,0.0199968,0.010739
1,21,77,1,1,carried,3.162e-08,2765.660729,0.0277696,0.010908
1,22,74,1,1,carried,4.946e-08,1935.115851,0.0314138,0.011001
1,23,66,1,1,carried,6.100e-08,1425.993088,0.0365219,0.011091
1,24,62,1,1,carried,8.186e-08,1098.882537,0.0458285,0.011148
1,25,60,1,1,carried,1.399e-07,878.1846488,0.0319109,0.011171
1,26,57,1,1,carried,6.277e-08,715.5691107,0.0488676,0.011180
