frame,azimuth_deg,id,anchor_x,anchor_y,center_x,center_y,leader,hidden
32,66.60,c2,566.58,527.00,568.03,527.71,0,0
32,66.60,c3,674.24,430.27,672.44,457.84,0,0
33,67.28,c0,649.56,410.34,652.16,410.02,0,0
33,67.28,c1,612.98,322.01,610.90,322.13,0,0
33,67.28,c2,565.83,526.60,567.26,527.33,0,0
33,67.28,c3,675.20,430.58,673.40,458.02,0,0
34,67.95,c0,648.14,410.49,650.76,410.18,0,0
34,67.95,c1,614.10,321.97,612.02,322.07,0,0
34,67.95,c2,565.08,526.20,566.50,526.93,0,0
34,67.95,c3,676.15,430.90,674.36,458.18,0,0
35,68.62,c0,646.72,410.63,649.34,410.34,0,0
35,68.62,c1,615.22,321.92,613.14,322.02,0,0
35,68.62,c2,564.35,525.79,565.75,526.53,0,0
35,68.62,c3,677.09,431.22,675.32,458.34,0,0
36,69.30,c0,645.30,410.77,647.93,410.49,0,0
36,69.30,c1,616.34,321.89,614.26,321.97,0,0
36,69.30,c2,563.62,525.38,565.00,526.13,0,0
36,69.30,c3,678.03,431.55,676.27,458.49,0,0
37,69.97,c0,643.87,410.89,646.51,410.63,0,0
37,69.97,c1,617.46,321.86,615.38,321.93,0,0
37,69.97,c2,562.91,524.96,564.27,525.72,0,0
37,69.97,c3,678.96,431.89,677.21,458.63,0,0
38,70.65,c0,642.44,411.01,645.08,410.76,0,0
38,70.65,c1,618.59,321.83,616.50,321.90,0,0
38,70.65,c2,562.20,524.54,563.55,525.31,0,0
38,70.65,c3,679.89,432.23,678.15,458.76,0,0
39,71.32,c0,641.00,411.12,643.65,410.89,0,0
39,71.32,c1,619.71,321.82,617.63,321.87,0,0
39,71.32,c2,561.50,524.12,562.83,524.89,0,0
39,71.32,c3,680.81,432.57,679.08,458.89,0,0
40,72.00,c0,639.56,411.22,642.22,411.01,0,0
40,72.00,c1,620.83,321.80,618.75,321.85,0,0
40,72.00,c2,560.82,523.68,562.12,524.47,0,0
40,72.00,c3,681.73,432.93,680.01,459.01,0,0
41,72.67,c0,638.12,411.31,640.79,411.11,0,0
41,72.67,c1,621.96,321.79,619.87,321.83,0,0
41,72.67,c2,560.14,523.25,561.43,524.04,0,0
41,72.67,c3,682.63,433.28,680.93,459.11,0,0
42,73.35,c0,636.67,411.40,639.35,411.21,0,0
42,73.35,c1,623.08,321.79,621.00,321.81,0,0
42,73.35,c2,559.47,522.81,560.74,523.61,0,0
42,73.35,c3,683.53,433.65,681.84,459.21,0,0
43,74.03,c0,635.23,411.47,637.90,411.30,0,0
43,74.03,c1,624.21,321.79,622.12,321.81,0,0
43,74.03,c2,558.81,522.36,560.07,523.17,0,0
43,74.03,c3,684.43,434.02,682.74,459.30,0,0
44,74.70,c0,633.78,411.54,636.46,411.39,0,0
44,74.70,c1,625.33,321.80,623.24,321.81,0,0
44,74.70,c2,558.17,521.91,559.40,522.73,0,0
44,74.70,c3,685.31,434.39,683.64,459.39,0,0
45,75.38,c0,632.32,411.60,635.01,411.46,0,0
45,75.38,c1,626.45,321.82,624.37,321.81,0,0
45,75.38,c2,557.53,521.46,558.75,522.29,0,0
45,75.38,c3,686.19,434.77,689.52,453.96,0,0
46,76.05,c0,630.87,411.65,633.56,411.53,0,0
46,76.05,c1,627.58,321.84,625.49,321.82,0,0
46,76.05,c2,556.90,521.00,558.10,521.84,0,0
46,76.05,c3,687.07,435.16,695.26,448.39,0,0
47,76.72,c0,629.41,411.69,632.11,411.58,0,0
47,76.72,c1,628.70,321.86,626.61,321.83,0,0
47,76.72,c2,556.29,520.54,557.47,521.39,0,0
47,76.72,c3,687.93,435.55,699.51,443.89,0,0
48,77.40,c0,627.96,411.72,630.66,411.63,0,0
48,77.40,c1,629.82,321.89,627.74,321.86,0,0
48,77.40,c2,555.68,520.08,556.84,520.93,0,0
48,77.40,c3,688.79,435.95,701.77,441.11,0,0
49,78.07,c0,626.50,411.75,629.20,411.67,0,0
49,78.07,c1,630.94,321.93,628.86,321.88,0,0
49,78.07,c2,555.09,519.61,556.23,520.47,0,0
49,78.07,c3,689.64,436.35,702.73,439.45,0,0
50,78.75,c0,625.04,411.77,627.75,411.71,0,0
50,78.75,c1,632.07,321.97,629.98,321.91,0,0
50,78.75,c2,554.50,519.14,555.62,520.00,0,0
50,78.75,c3,690.49,436.76,702.84,438.51,0,0
51,79.42,c0,623.58,411.77,626.29,411.73,0,0
51,79.42,c1,633.19,322.02,631.10,321.95,0,0
51,79.42,c2,553.93,518.66,555.03,519.53,0,0
51,79.42,c3,691.32,437.17,702.40,438.04,0,0
52,80.10,c0,622.13,411.77,624.83,411.74,0,0
52,80.10,c1,634.30,322.07,632.22,321.99,0,0
52,80.10,c2,553.37,518.18,554.45,519.06,0,0
52,80.10,c3,692.15,437.59,701.60,437.88,0,0
53,80.77,c0,620.67,411.76,623.37,411.75,0,0
53,80.77,c1,635.42,322.13,633.34,322.04,0,0
53,80.77,c2,552.82,517.70,553.88,518.58,0,0
53,80.77,c3,692.97,438.02,700.58,437.93,0,0
54,81.45,c0,619.21,411.74,621.92,411.75,0,0
54,81.45,c1,636.54,322.19,634.46,322.09,0,0
54,81.45,c2,552.27,517.21,553.32,518.10,0,0
54,81.45,c3,693.78,438.45,699.40,438.11,0,0
55,82.12,c0,617.75,411.72,620.46,411.74,0,0
55,82.12,c1,637.65,322.26,635.58,322.15,0,0
55,82.12,c2,551.74,516.72,552.77,517.62,0,0
55,82.12,c3,694.59,438.88,698.12,438.38,0,0
56,82.80,c0,616.30,411.68,619.00,411.72,0,0
56,82.80,c1,638.77,322.34,636.69,322.22,0,0
56,82.80,c2,551.23,516.23,552.23,517.13,0,0
56,82.80,c3,695.38,439.32,697.16,438.71,0,0
57,83.47,c0,614.84,411.64,617.55,411.69,0,0
57,83.47,c1,639.88,322.42,637.81,322.29,0,0
57,83.47,c2,550.72,515.73,551.70,516.64,0,0
57,83.47,c3,696.17,439.77,696.81,439.08,0,0
58,84.15,c0,613.39,411.59,616.09,411.66,0,0
58,84.15,c1,640.99,322.51,638.92,322.36,0,0
58,84.15,c2,550.22,515.23,551.18,516.15,0,0
58,84.15,c3,696.95,440.22,696.86,439.48,0,0
59,84.82,c0,611.94,411.53,614.64,411.61,0,0
59,84.82,c1,642.10,322.60,640.03,322.45,0,0
59,84.82,c2,549.74,514.73,550.68,515.65,0,0
59,84.82,c3,697.72,440.67,697.16,439.90,0,0
60,85.50,c0,610.49,411.46,613.18,411.56,0,0
60,85.50,c1,643.20,322.69,641.14,322.53,0,0
60,85.50,c2,549.26,514.22,550.18,515.15,0,0
60,85.50,c3,698.48,441.13,697.62,440.33,0,0
61,86.17,c0,609.04,411.38,611.73,411.50,0,0
61,86.17,c1,644.31,322.80,642.25,322.63,0,0
61,86.17,c2,548.80,513.72,549.70,514.65,0,0
61,86.17,c3,699.23,441.60,698.19,440.77,0,0
62,86.85,c0,607.59,411.30,610.28,411.43,0,0
62,86.85,c1,645.41,322.90,643.36,322.72,0,0
62,86.85,c2,548.35,513.20,549.23,514.14,0,0
62,86.85,c3,699.98,442.07,698.81,441.23,0,0
63,87.53,c0,606.15,411.20,608.84,411.35,0,0
63,87.53,c1,646.51,323.02,644.46,322.83,0,0
63,87.53,c2,547.91,512.69,548.77,513.63,0,0
63,87.53,c3,700.71,442.55,699.48,441.69,0,0
64,88.20,c0,604.71,411.10,607.39,411.26,0,0
64,88.20,c1,647.60,323.14,645.56,322.93,0,0
64,88.20,c2,547.48,512.17,548.32,513.12,0,0
64,88.20,c3,701.44,443.03,700.16,442.16,0,0
65,88.88,c0,603.28,410.99,605.95,411.17,0,0
65,88.88,c1,648.70,323.26,646.66,323.05,0,0
65,88.88,c2,547.06,511.66,547.88,512.61,0,0
65,88.88,c3,702.15,443.51,700.86,442.63,0,0
66,89.55,c0,601.84,410.87,604.51,411.06,0,0
66,89.55,c1,649.79,323.39,647.75,323.17,0,0
66,89.55,c2,546.66,511.13,547.45,512.09,0,0
66,89.55,c3,702.86,444.00,701.56,443.11,0,0
67,90.23,c0,600.42,410.74,603.08,410.95,0,0
67,90.23,c1,650.88,323.53,648.85,323.29,0,0
67,90.23,c2,546.27,510.61,547.04,511.57,0,0
67,90.23,c3,703.56,444.50,702.26,443.60,0,0
68,90.90,c0,598.99,410.61,601.65,410.83,0,0
68,90.90,c1,651.96,323.67,649.94,323.42,0,0
68,90.90,c2,545.88,510.08,546.63,511.05,0,0
68,90.90,c3,704.25,445.00,702.96,444.09,0,0
69,91.58,c0,597.57,410.46,600.22,410.70,0,0
69,91.58,c1,653.05,323.81,651.03,323.56,0,0
69,91.58,c2,545.51,509.56,546.24,510.53,0,0
69,91.58,c3,704.93,445.50,703.64,444.58,0,0
70,92.25,c0,596.16,410.31,598.80,410.56,0,0
70,92.25,c1,654.13,323.96,652.11,323.70,0,0
70,92.25,c2,545.15,509.03,545.86,510.00,0,0
70,92.25,c3,705.59,446.01,704.33,445.08,0,0
71,92.93,c0,594.75,410.15,597.38,410.42,0,0
71,92.93,c1,655.20,324.12,653.19,323.85,0,0
71,92.93,c2,544.81,508.49,545.49,509.47,0,0
71,92.93,c3,706.25,446.52,705.00,445.58,0,0
72,93.60,c0,593.34,409.98,595.97,410.27,0,0
72,93.60,c1,656.28,324.28,654.27,324.00,0,0
72,93.60,c2,544.47,507.96,545.14,508.94,0,0
72,93.60,c3,706.90,447.04,705.67,446.09,0,0
