frame,azimuth_deg,id,anchor_x,anchor_y,center_x,center_y,leader,hidden
72,93.60,c3,706.90,447.04,706.90,447.04,0,0
73,94.28,c0,591.94,409.80,591.94,409.80,0,0
73,94.28,c1,657.35,324.45,657.35,324.45,0,0
73,94.28,c2,544.15,507.42,544.15,507.42,0,0
73,94.28,c3,707.54,447.56,707.54,447.56,0,0
74,94.95,c0,590.55,409.62,590.55,409.62,0,0
74,94.95,c1,658.41,324.62,658.41,324.62,0,0
74,94.95,c2,543.84,506.89,543.84,506.89,0,0
74,94.95,c3,708.17,448.09,708.17,448.09,0,0
75,95.62,c0,589.16,409.43,589.16,409.43,0,0
75,95.62,c1,659.47,324.80,659.47,324.80,0,0
75,95.62,c2,543.54,506.35,543.54,506.35,0,0
75,95.62,c3,708.79,448.62,708.79,448.62,0,0
76,96.30,c0,587.78,409.23,587.78,409.23,0,0
76,96.30,c1,660.53,324.98,660.53,324.98,0,0
76,96.30,c2,543.25,505.81,543.25,505.81,0,0
76,96.30,c3,709.40,449.15,709.40,449.15,0,0
77,96.98,c0,586.40,409.02,586.40,409.02,0,0
77,96.98,c1,661.58,325.17,661.58,325.17,0,0
77,96.98,c2,542.97,505.26,542.97,505.26,0,0
77,96.98,c3,710.00,449.69,710.00,449.69,0,0
78,97.65,c0,585.03,408.80,585.03,408.80,0,0
78,97.65,c1,662.63,325.37,662.63,325.37,0,0
78,97.65,c2,542.71,504.72,542.71,504.72,0,0
78,97.65,c3,710.58,450.23,710.58,450.23,0,0
79,98.33,c0,583.67,408.58,583.67,408.58,0,0
79,98.33,c1,663.68,325.57,663.68,325.57,0,0
79,98.33,c2,542.45,504.18,542.45,504.18,0,0
79,98.33,c3,711.16,450.78,711.16,450.78,0,0
80,99.00,c0,582.32,408.34,582.32,408.34,0,0
80,99.00,c1,664.72,325.77,664.72,325.77,0,0
80,99.00,c2,542.21,503.63,542.21,503.63,0,0
80,99.00,c3,711.72,451.33,711.72,451.33,0,0
81,99.67,c0,580.97,408.10,580.97,408.10,0,0
81,99.67,c1,665.76,325.98,665.76,325.98,0,0
81,99.67,c2,541.98,503.08,541.98,503.08,0,0
81,99.67,c3,712.28,451.89,712.28,451.89,0,0
82,100.35,c0,579.63,407.86,579.63,407.86,0,0
82,100.35,c1,666.79,326.20,666.79,326.20,0,0
82,100.35,c2,541.77,502.53,541.77,502.53,0,0
82,100.35,c3,712.82,452.45,712.82,452.45,0,0
83,101.02,c0,578.30,407.60,578.30,407.60,0,0
83,101.02,c1,667.82,326.42,667.82,326.42,0,0
83,101.02,c2,541.56,501.98,541.56,501.98,0,0
83,101.02,c3,713.36,453.01,713.36,453.01,0,0
84,101.70,c0,576.97,407.34,576.97,407.34,0,0
84,101.70,c1,668.84,326.64,668.84,326.64,0,0
84,101.70,c2,541.37,501.43,541.37,501.43,0,0
84,101.70,c3,713.88,453.58,713.88,453.58,0,0
85,102.37,c0,575.65,407.07,575.65,407.07,0,0
85,102.37,c1,669.86,326.87,669.86,326.87,0,0
85,102.37,c2,541.19,500.88,541.19,500.88,0,0
85,102.37,c3,714.39,454.15,714.39,454.15,0,0
86,103.05,c0,574.35,406.79,574.35,406.79,0,0
86,103.05,c1,670.87,327.11,670.87,327.11,0,0
86,103.05,c2,541.02,500.33,541.02,500.33,0,0
86,103.05,c3,714.89,454.72,714.89,454.72,0,0
87,103.73,c0,573.05,406.51,573.05,406.51,0,0
87,103.73,c1,671.88,327.35,671.88,327.35,0,0
87,103.73,c2,540.86,499.78,540.86,499.78,0,0
87,103.73,c3,715.38,455.30,715.38,455.30,0,0
88,104.40,c0,571.76,406.21,571.76,406.21,0,0
88,104.40,c1,672.88,327.59,672.88,327.59,0,0
88,104.40,c2,540.71,499.23,540.71,499.23,0,0
88,104.40,c3,715.85,455.88,715.85,455.88,0,0
89,105.08,c0,570.48,405.91,570.48,405.91,0,0
89,105.08,c1,673.88,327.85,673.88,327.85,0,0
89,105.08,c2,540.58,498.67,540.58,498.67,0,0
89,105.08,c3,716.32,456.47,716.32,456.47,0,0
90,105.75,c0,569.21,405.61,569.21,405.61,0,0
90,105.75,c1,674.87,328.10,674.87,328.10,0,0
90,105.75,c2,540.45,498.12,540.45,498.12,0,0
90,105.75,c3,716.77,457.06,716.77,457.06,0,0
91,106.43,c0,567.94,405.29,567.94,405.29,0,0
91,106.43,c1,675.85,328.36,675.85,328.36,0,0
91,106.43,c2,540.34,497.56,540.34,497.56,0,0
91,106.43,c3,717.21,457.65,717.21,457.65,0,0
92,107.10,c0,566.69,404.97,566.69,404.97,0,0
92,107.10,c1,676.83,328.63,676.83,328.63,0,0
92,107.10,c2,540.24,497.01,540.24,497.01,0,0
92,107.10,c3,717.64,458.25,717.64,458.25,0,0
93,107.78,c0,565.45,404.64,565.45,404.64,0,0
93,107.78,c1,677.81,328.90,677.81,328.90,0,0
93,107.78,c2,540.16,496.45,540.16,496.45,0,0
93,107.78,c3,718.05,458.84,718.05,458.84,0,0
94,108.45,c0,564.22,404.31,564.22,404.31,0,0
94,108.45,c1,678.77,329.18,678.77,329.18,0,0
94,108.45,c2,540.08,495.90,540.08,495.90,0,0
94,108.45,c3,718.46,459.45,718.46,459.45,0,0
95,109.13,c0,562.99,403.96,562.99,403.96,0,0
95,109.13,c1,679.74,329.46,679.74,329.46,0,0
95,109.13,c2,540.02,495.35,540.02,495.35,0,0
95,109.13,c3,718.85,460.05,718.85,460.05,0,0
96,109.80,c0,561.78,403.62,561.78,403.62,0,0
96,109.80,c1,680.69,329.74,680.69,329.74,0,0
96,109.80,c2,539.97,494.79,539.97,494.79,0,0
96,109.80,c3,719.23,460.66,719.23,460.66,0,0
97,110.47,c0,560.58,403.26,560.58,403.26,0,0
97,110.47,c1,681.64,330.04,681.64,330.04,0,0
97,110.47,c2,539.93,494.24,539.93,494.24,0,0
97,110.47,c3,719.60,461.27,719.60,461.27,0,0
98,111.15,c0,559.39,402.90,559.39,402.90,0,0
98,111.15,c1,682.58,330.33,682.58,330.33,0,0
98,111.15,c2,539.90,493.68,539.90,493.68,0,0
98,111.15,c3,719.96,461.88,719.96,461.88,0,0
99,111.82,c0,558.21,402.53,558.21,402.53,0,0
99,111.82,c1,683.52,330.63,683.52,330.63,0,0
99,111.82,c2,539.88,493.13,539.88,493.13,0,0
99,111.82,c3,720.30,462.50,720.30,462.50,0,0
100,112.50,c0,557.05,402.15,557.05,402.15,0,0
100,112.50,c1,684.45,330.94,684.45,330.94,0,0
100,112.50,c2,539.87,492.57,539.87,492.57,0,0
100,112.50,c3,720.63,463.12,720.63,463.12,0,0
101,113.17,c0,555.89,401.77,555.89,401.77,0,0
101,113.17,c1,685.37,331.25,685.37,331.25,0,0
101,113.17,c2,539.88,492.02,539.88,492.02,0,0
101,113.17,c3,720.95,463.74,720.95,463.74,0,0
102,113.85,c0,554.75,401.38,554.75,401.38,0,0
102,113.85,c1,686.29,331.57,686.29,331.57,0,0
102,113.85,c2,539.90,491.47,539.90,491.47,0,0
102,113.85,c3,721.25,464.37,721.25,464.37,0,0
103,114.52,c0,553.62,400.99,553.62,400.99,0,0
103,114.52,c1,687.19,331.89,687.19,331.89,0,0
103,114.52,c2,539.93,490.92,539.93,490.92,0,0
103,114.52,c3,721.54,464.99,721.54,464.99,0,0
104,115.20,c0,552.50,400.59,552.50,400.59,0,0
104,115.20,c1,688.10,332.21,688.10,332.21,0,0
104,115.20,c2,539.97,490.37,539.97,490.37,0,0
104,115.20,c3,721.82,465.62,721.82,465.62,0,0
105,115.87,c0,551.39,400.18,551.39,400.18,0,0
105,115.87,c1,688.99,332.54,688.99,332.54,0,0
105,115.87,c2,540.02,489.82,540.02,489.82,0,0
105,115.87,c3,722.09,466.26,722.09,466.26,0,0
106,116.55,c0,550.29,399.77,550.29,399.77,0,0
106,116.55,c1,689.88,332.88,689.88,332.88,0,0
106,116.55,c2,540.08,489.27,540.08,489.27,0,0
106,116.55,c3,722.34,466.89,722.34,466.89,0,0
107,117.22,c0,549.21,399.35,549.21,399.35,0,0
107,117.22,c1,690.75,333.21,690.75,333.21,0,0
107,117.22,c2,540.16,488.72,540.16,488.72,0,0
107,117.22,c3,722.58,467.53,722.58,467.53,0,0
108,117.90,c0,548.14,398.93,548.14,398.93,0,0
108,117.90,c1,691.63,333.56,691.63,333.56,0,0
108,117.90,c2,540.25,488.17,540.25,488.17,0,0
108,117.90,c3,722.81,468.17,722.81,468.17,0,0
109,118.58,c0,547.08,398.50,547.08,398.50,0,0
109,118.58,c1,692.49,333.91,692.49,333.91,0,0
109,118.58,c2,540.34,487.62,540.34,487.62,0,0
109,118.58,c3,723.02,468.81,723.02,468.81,0,0
110,119.25,c0,546.04,398.06,546.04,398.06,0,0
110,119.25,c1,693.35,334.26,693.35,334.26,0,0
110,119.25,c2,540.45,487.08,540.45,487.08,0,0
110,119.25,c3,723.22,469.45,723.22,469.45,0,0
111,119.93,c0,545.01,397.62,545.01,397.62,0,0
111,119.93,c1,694.19,334.62,694.19,334.62,0,0
111,119.93,c2,540.57,486.53,540.57,486.53,0,0
111,119.93,c3,723.41,470.09,723.41,470.09,0,0
112,120.60,c0,543.99,397.17,543.99,397.17,0,0
112,120.60,c1,695.03,334.98,695.03,334.98,0,0
112,120.60,c2,540.70,485.99,540.70,485.99,0,0
112,120.60,c3,723.58,470.74,723.58,470.74,0,0
113,121.28,c0,542.99,396.72,542.99,396.72,0,0
113,121.28,c1,695.87,335.35,695.87,335.35,0,0
113,121.28,c2,540.85,485.45,540.85,485.45,0,0
113,121.28,c3,723.74,471.39,723.74,471.39,0,0
114,121.95,c0,541.99,396.26,541.99,396.26,0,0
