cg_tol,rung,iter,compliance,change_design,max_dphys,mean_dphys,class_frac,class_count,solid,cg_iters,mg_used,hier_built,mg_levels,cycles,active_frac,beta,plateau,infeasible,vf
1e-08,0,115,2.6158319,0.0366143,0.0117196,0.000122284,0.000493097,2,4056,134,1,1,3,134,0.5888,2,0,0,0.10365
1e-08,0,116,2.6152941,0.0430078,0.013766,0.000119722,0,0,4056,137,1,1,3,137,0.5888,2,0,0,0.10365
1e-08,0,117,2.6148618,0.0523755,0.0167645,0.000131337,0,0,4056,134,1,1,3,134,0.5888,2,0,0,0.10365
1e-08,0,118,2.6144288,0.0642105,0.0205526,0.00015484,0.000493097,2,4056,140,1,1,3,140,0.5888,2,0,0,0.10365
1e-08,0,119,2.6139497,0.0777198,0.0248768,0.000178147,0.000493097,2,4056,136,1,1,3,136,0.5888,2,0,0,0.10365
1e-08,0,120,2.6134045,0.0916193,0.0293257,0.000208469,0,0,4056,138,1,1,3,138,0.5888,2,0,0,0.10365
1e-08,0,121,2.6127779,0.106986,0.0342442,0.000211651,0,0,4056,135,1,1,3,135,0.5888,2,0,0,0.10365
1e-08,0,122,2.6121531,0.105906,0.0338987,0.000236377,0,0,4056,135,1,1,3,135,0.5888,2,0,0,0.10365
1e-08,0,123,2.6115311,0.0956278,0.0306088,0.000256929,0.000493097,2,4056,138,1,1,3,138,0.5888,2,0,0,0.10365
1e-08,0,124,2.6108867,0.130822,0.0418738,0.00028012,0,0,4056,136,1,1,3,136,0.5888,2,0,0,0.10365
1e-08,0,125,2.610181,0.157152,0.0503016,0.000277868,0,0,4056,138,1,1,3,138,0.5888,2,0,0,0.10365
1e-08,0,126,2.6094718,0.148737,0.0476082,0.000271102,0.000493097,2,4056,133,1,1,3,133,0.5902,2,0,0,0.10365
1e-08,0,127,2.6088339,0.148571,0.0403036,0.000258988,0.000986193,4,4056,136,1,1,3,136,0.5902,2,0,0,0.10364
1e-08,0,128,2.6082923,0.0489536,0.0147267,0.000166449,0.000493097,2,4056,136,1,1,3,136,0.5902,2,0,0,0.10364
1e-08,0,129,2.60806,0.0675393,0.0196449,0.000177213,0,0,4056,134,1,1,3,134,0.5917,2,0,0,0.10365
1e-08,0,130,2.6078494,0.0956346,0.026871,0.000197886,0,0,4056,132,1,1,3,132,0.5917,2,0,0,0.10364
1e-08,0,131,2.6075583,0.143043,0.0388041,0.000219533,0,0,4056,133,1,1,3,133,0.5917,2,0,0,0.10364
1e-08,0,132,2.607171,0.18294,0.0496271,0.0002655,0,0,4056,136,1,1,3,136,0.5917,2,0,0,0.10363
1e-08,0,133,2.6066564,0.121787,0.0408653,0.00024788,0,0,4056,133,1,1,3,133,0.5917,2,0,0,0.10363
1e-08,0,134,2.606364,0.0496172,0.0165651,0.00016699,0.000493097,2,4056,140,1,1,3,140,0.5917,2,0,0,0.10363
1e-08,0,135,2.6062688,0.0302715,0.0100333,7.09917e-05,0,0,4056,133,1,1,3,133,0.5917,2,0,0,0.10363
1e-08,0,136,2.6062315,0.0178308,0.00492847,3.93204e-05,0,0,4056,136,1,1,3,136,0.5917,2,0,0,0.10363
1e-08,0,137,2.6062197,0.014548,0.00398997,2.97946e-05,0,0,4056,138,1,1,3,138,0.5917,2,0,0,0.10363
1e-08,0,138,2.6062113,0.0100855,0.00272184,2.49534e-05,0,0,4056,136,1,1,3,136,0.5917,2,1,0,0.10363
1e-08,0,139,2.2521548,0.125437,0.0527681,0.00169833,0.000986193,4,4056,148,1,1,3,148,0.5902,4,0,0,0.10535
1e-08,0,140,2.2199734,0.0351887,0.01208,0.00034042,0.000493097,2,4056,139,1,1,3,139,0.5902,4,0,0,0.10545
1e-08,0,141,2.2165121,0.0275938,0.00899841,0.000200892,0,0,4056,146,1,1,3,146,0.5902,4,0,0,0.10541
1e-08,0,142,2.2159703,0.0271545,0.0087268,0.000168757,0,0,4056,142,1,1,3,142,0.5932,4,0,0,0.10538
1e-08,0,143,2.2156255,0.0272397,0.00865288,0.000138089,0,0,4056,150,1,1,3,150,0.5932,4,0,0,0.10535
1e-08,0,144,2.2153477,0.0318123,0.0101826,0.000133543,0,0,4056,150,1,1,3,150,0.5932,4,0,0,0.10533
1e-08,0,145,2.2151191,0.0373827,0.0119655,0.000129941,0,0,4056,150,1,1,3,150,0.5932,4,0,0,0.10530
1e-08,0,146,2.2148998,0.0428,0.0136995,0.000129674,0,0,4056,151,1,1,3,151,0.5932,4,0,0,0.10527
1e-08,0,147,2.2147094,0.0462083,0.0147905,0.000125258,0,0,4056,151,1,1,3,151,0.5932,4,0,0,0.10525
