tag,fixture,rung,contrast,core,sub,ndof,solved,nmodes,ncomp,solid_frac,lam6,lam7
G1,cantilever,0.52,1e+09,8,29,3630,1,6,1,0.989,1.5133e-02,2.0727e-02
G1,cantilever,0.52,1e+09,8,30,2970,1,5,1,0.125,1.4190e-02,1.7449e-02
G1,cantilever,0.52,1e+09,8,31,3630,1,6,1,0.460,1.1498e-02,1.5663e-02
G1,cantilever,0.52,1e+09,8,32,3630,1,6,1,0.511,1.1205e-02,1.5030e-02
G1,cantilever,0.52,1e+09,8,33,3630,1,6,1,0.270,3.1742e-03,9.2372e-03
G1,cantilever,0.52,1e+09,8,34,3630,1,6,1,0.529,3.3093e-03,5.2920e-03
G1,cantilever,0.52,1e+09,8,35,3300,1,6,1,0.988,1.6967e-02,2.1025e-02
G1,cantilever,0.52,1e+09,8,36,2970,1,0,0,0.000,2.5913e-02,3.4500e-02
G1,cantilever,0.52,1e+09,8,37,3630,1,6,1,0.012,2.2626e-03,2.5110e-03
G1,cantilever,0.52,1e+09,8,38,3630,1,6,1,0.301,4.1043e-03,7.3453e-03
G1,cantilever,0.52,1e+09,8,39,3630,1,6,1,0.759,8.3166e-03,1.2833e-02
G1,cantilever,0.52,1e+09,8,40,3630,1,6,1,0.972,1.5103e-02,1.8185e-02
G1,cantilever,0.52,1e+09,8,41,3300,1,6,1,0.670,1.0215e-02,1.6085e-02
G1,cantilever,0.52,1e+09,8,42,3267,1,0,0,0.000,2.3900e-02,3.2074e-02
G1,cantilever,0.52,1e+09,8,43,3993,1,6,1,0.044,4.6156e-03,4.9433e-03
G1,cantilever,0.52,1e+09,8,44,3993,1,6,1,0.602,5.9878e-03,8.0793e-03
G1,cantilever,0.52,1e+09,8,45,3993,1,6,1,1.000,1.5169e-02,1.5223e-02
G1,cantilever,0.52,1e+09,8,46,3993,1,6,1,1.000,1.5304e-02,1.5492e-02
G1,cantilever,0.52,1e+09,8,47,3630,1,6,1,0.629,8.1488e-03,1.4517e-02
G1,cantilever,0.52,1e+09,8,48,2970,1,0,0,0.000,2.5913e-02,3.4500e-02
G1,cantilever,0.52,1e+09,8,49,3630,1,6,1,0.012,2.2626e-03,2.5110e-03
G1,cantilever,0.52,1e+09,8,50,3630,1,6,1,0.301,4.1043e-03,7.3453e-03
G1,cantilever,0.52,1e+09,8,51,3630,1,6,1,0.759,8.3166e-03,1.2833e-02
G1,cantilever,0.52,1e+09,8,52,3630,1,6,1,0.972,1.5103e-02,1.8185e-02
G1,cantilever,0.52,1e+09,8,53,3300,1,6,1,0.670,1.0215e-02,1.6085e-02
G1,cantilever,0.52,1e+09,8,54,2970,1,6,0,0.000,5.1256e-03,5.8268e-03
G1,cantilever,0.52,1e+09,8,55,3630,1,6,1,0.171,1.0042e-02,1.0439e-02
G1,cantilever,0.52,1e+09,8,56,3630,1,6,1,0.700,1.0279e-02,1.4714e-02
G1,cantilever,0.52,1e+09,8,57,3630,1,6,1,0.993,1.5345e-02,1.9205e-02
