iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,iteration_wall_s
45,0.00253165851979,75415,75415,0.680002524706,-0.000652028112439,0.0483362901927,8.59573738771e-12,5.89060475839e-12,2700,1,0,14977.7972503,11.6076669693,14201,0,0,0.187880848216,0.992663562682,0,0.1,0,0,20115.530489,1,1,0,0,0,8,-32,0,40,32,0,69,0,0,25.5006866674
46,0.00253221117122,75414,75414,0.679993507899,0.00101998946437,0.0483362901927,8.71613777818e-12,5.91745271543e-12,2659,1,0,14979.190083,12.1182498932,13492,0,0,0.188716793844,0.970634465655,0,0.1,0,0,20120.8597426,1,1,0,0,0,8,-33,0,41,33,0,71,2,0,15.2779487921
47,0.00253155255359,75414,75414,0.679993507899,0.00100081025592,0.0483362901927,9.68937085412e-12,5.89122976962e-12,2680,1,0,14975.2610416,11.6749162674,13666,0,0,0.189600583413,0.968514304237,0,0.1,0,0,20163.5501897,1,1,0,0,0,9,-35,0,44,34,0,72,1,1,15.234620417
48,0.00253002605474,75414,75414,0.679993507899,-0.00153327813518,0.0483362901927,1.0673923689e-11,5.81469275896e-12,2651,1,0,14630.1880002,12.7739167213,13977,0,0,0.190816288062,0.963746887538,0,0.1,0,0,20358.8194284,1,1,0,0,0,6,-39,0,45,34,0,72,0,-3,14.7807636247
49,0.00252915076361,75415,75415,0.680002524706,-0.000267126069437,0.0483362901927,1.01124002031e-11,5.80307435116e-12,2699,1,0,14907.4942918,11.8582911491,14198,0,0,0.192773836066,0.963065814895,0,0.1,0,0,20345.050601,1,1,0,0,0,10,-40,0,50,34,0,72,0,4,15.0507523748
50,0.00252885556968,75415,75415,0.680002524706,0.00157120212856,0.0483362901927,8.96514825482e-12,5.78156050325e-12,2680,1,0,15437.7185411,13.0543751717,14507,0,0,0.188553584664,0.948544004051,0,0.1,0,0,20531.998905,1,1,0,0,0,9,-41,0,50,35,0,73,1,1,26.3489843337
51,0.00252999758929,75414,75414,0.679993507899,0.00178703121951,0.0483362901927,5.64373757632e-12,5.85891556516e-12,2660,1,0,15487.6417084,12.9701666832,13787,0,0,0.189457545532,0.97081668557,0,0.1,0,0,20352.3541483,1,1,0,0,0,11,-35,1,47,36,0,77,3,1,15.8617706667
52,0.00252921108887,75415,75415,0.680002524706,-0.000547844297304,0.0483362901927,5.58310006886e-12,5.80575566645e-12,2657,1,0,15077.073667,11.7981247902,13841,0,0,0.190221378883,0.962217273796,0,0.1,0,0,20530.654869,1,1,0,0,0,13,-38,0,51,37,0,83,5,1,15.335866
53,0.00252806803338,75415,75415,0.680002524706,-0.00116326663133,0.0483362901927,5.54257534613e-12,5.78261760694e-12,2662,1,0,14777.9954576,12.0810842514,14049,0,0,0.191712982584,0.955894374931,0,0.1,0,0,20477.319771,1,1,0,0,0,12,-34,0,46,38,0,86,1,0,15.0377353751
54,0.00252796049891,75414,75414,0.679993507899,0.00185854104133,0.0483362901927,1.32252534405e-11,5.79301059345e-12,2656,1,0,14827.6010003,12.1539578438,14231,0,0,0.19275266475,0.939473758414,0,0.1,0,0,20598.7378844,1,1,0,0,0,12,-36,0,48,39,0,88,2,-1,15.0928964997
55,0.00252702368182,75414,75414,0.679993507899,-0.00192186847819,0.0483362901927,4.62546730545e-12,5.75951916788e-12,2657,1,0,14707.761167,11.6760830879,14420,0,0,0.187459999741,0.947060678697,0,0.1,0,0,20566.508309,1,1,0,0,0,12,-35,0,47,40,0,90,2,0,25.450578792
56,0.00252886992338,75415,75415,0.680002524706,0.00370012912539,0.0483362901927,6.5709002502e-12,5.84818678057e-12,2652,1,0,15117.6487498,11.9066667557,13892,0,0,0.188142584665,0.936313839893,0,0.1,0,0,20637.0910103,1,1,0,0,0,11,-34,1,46,41,0,92,2,-2,15.3870472079
57,0.002527136515,75414,75414,0.679993507899,-0.00245787461223,0.0483362901927,6.03417488475e-12,5.75361199637e-12,2657,1,0,14823.072917,11.898999691,14092,0,0,0.189322523804,0.950366696862,0,0.1,0,0,20683.309107,1,1,0,0,0,13,-32,0,45,42,0,97,3,1,15.0799106671
58,0.00252733452089,75415,75415,0.680002524706,0.00152775281776,0.0483362901927,5.64334798376e-12,5.77347073827e-12,2651,1,0,14866.3504591,11.8367495537,14311,0,0,0.190361789312,0.950931505231,0,0.1,0,0,20752.6655586,1,1,0,0,0,9,-37,0,46,43,0,102,3,-4,15.1299194591
59,0.00252619533888,75415,75415,0.680002524706,-0.00106216252477,0.0483362901927,4.60859344903e-12,5.72376000635e-12,2659,1,0,14987.7732501,12.4929590225,14502,0,0,0.191963415471,0.950483040141,0,0.1,0,0,20736.0540492,1,1,0,0,0,13,-35,0,48,44,0,104,2,2,15.3192342501
60,0.00252623628365,75414,75414,0.679993507899,0.00153389607449,0.0483362901927,4.3384206321e-12,5.74972761731e-12,2653,1,0,15194.5550828,12.1906671524,14553,0,0,0.18831224522,0.966429890645,0,0.1,0,0,20711.2005618,1,1,0,0,0,10,-37,0,47,45,0,111,6,-4,25.9164928752
