mode,rung_vf,refine,resolution,nx,ny,nz,spacing_mm,dofs,peak_vm_mpa,max_interlayer_mpa,margin_in_plane,margin_interlayer,margin_worst_case,margin_effective,accepted,mass_g,compliance,printed_voxels,peak_vm_boundary_onlattice,peak_vm_interior_onlattice,boundary_cells_onlattice,interior_cells_onlattice,peak_vm_boundary_native,peak_vm_interior_native,peak_i,peak_j,peak_k,peak_tag,peak_dist_to_bc_mm,tag_repair_voxels,ceil_gap_printed,wall_s,matvecs,recorded_margin,recorded_peak_vm,load_resultant_z,load_path_ok,load_voxels,load_unprinted,fixture_voxels,fixture_unprinted,max_disp_mm,bc_dofs,nodal_loads,peak_vm_surface,surface_cells,surface_faces,surf_i,surf_j,surf_k
replicate,0.38,2,256,256,62,236,0.85263965131718067,11511801,0.029432547013051542,0.0074497228650389725,1868.6795939070732,4060.5537344162335,1868.6795939070732,386.93401483115525,1,412.46618824535221,0.0064432549050976546,536624,0.029432547013051542,0.021718809755239096,34881,32197,0.029432547013051542,0.023320388063140764,34,32,120,Surface,101.03959748290342,0,0,566.24501454178244,12406,2193.8768329098998,0.025069775647819512,-33.361701965335698,1,41320,0,26784,0,0.0015688944093187899,123255,27408,0.036268654746069703,151818,165936,253,13,32
replicate,0.26000000000000001,2,256,256,62,236,0.85263965131718067,11511801,0.032122954327837516,0.0085012720716450933,1712.1712853271845,3558.2910116351895,1712.1712853271845,354.52696742147441,1,360.3037702411583,0.0078955111845117002,468760,0.032122954327837516,0.02262398940083683,34969,23626,0.032122954327837516,0.025602225474273509,34,35,120,Surface,101.03959748290342,0,0,597.2830262077041,12953,2008.2783386128367,0.027386642051813268,-33.361701965335698,1,41320,0,26784,0,0.0020578549382680995,123255,27408,0.039444574996255581,153000,167888,34,35,120
replicate,0.68000000000000005,2,256,256,62,236,0.85263965131718067,11511801,0.035713383001647912,0.0092905282426294193,1540.0389259528326,3256.0043099808286,1540.0389259528326,318.88476042555999,1,543.73002617244515,0.005438604232526522,707400,0.035713383001647912,0.020249775489681685,31707,56718,0.035713383001647912,0.022939513549879494,253,13,32,Surface,26.040430166947104,0,0,494.60192537494004,11101,2169.6171706042742,0.025350094360048595,-33.361701965335698,1,41320,0,26784,0,0.0014176743963377873,123255,27408,0.045205306477978192,137245,149408,253,13,32
replicate,0.26000000000000001,2,256,256,62,236,0.85263965131718067,11511801,0.032122954327837516,0.0085012720716450933,1712.1712853271845,3558.2910116351895,1712.1712853271845,354.52696742147441,1,360.3037702411583,0.0078955111845117002,468760,0.032122954327837516,0.02262398940083683,34969,23626,0.032122954327837516,0.025602225474273509,34,35,120,Surface,101.03959748290342,0,0,593.18192191701382,12953,2008.2783386128367,0.027386642051813268,-33.361701965335698,1,41320,0,26784,0,0.0020578549382680995,123255,27408,0.039444574996255581,153000,167888,34,35,120
retag,0.68000000000000005,2,256,256,62,235,0.85263965131718067,11463228,0.031280733520326107,0.010147203232122514,1758.2707887671879,2981.1169943102186,1758.2707887671879,364.07245933240614,0,543.73002617244515,0.004690105781032611,707400,0.031280733520326107,0.020498523444234824,31707,56718,0.031280733520326107,0.023392043975853614,253,13,32,Surface,26.891962638110716,6788,0,539.46024216618389,11327,2169.6171706042742,0.025350094360048595,-33.361701965345773,0,20606,3446,13392,0,0.0014805869457903853,82170,28242,0.039505928638452155,137245,149408,253,13,32
retag,0.52000000000000002,2,256,256,62,235,0.85263965131718067,11463228,0.029427172647705838,0.0094445067344841108,1869.0208759925781,3202.9200518805451,1869.0208759925781,387.00468165277886,0,473.31721837260721,0.0049443548797784868,615792,0.029427172647705838,0.020354324430299671,34328,42646,0.029427172647705838,0.023233712317475366,34,30,120,Interior,101.89222208175038,6059,0,545.48794629238546,11737,2259.9528152616044,0.02433679129430558,-33.361701965345773,0,20606,3446,13392,0,0.0014707056839263944,82170,28242,0.036522969248820265,148935,162168,253,13,32
retag,0.38,2,256,256,62,235,0.85263965131718067,11463228,0.030371136808088291,0.0079464669766545724,1810.9299084699612,3806.7231750751098,1810.9299084699612,374.9762037038351,0,412.46618824535221,0.0056269468960060227,536624,0.030371136808088291,0.021092883817905243,34881,32197,0.030371136808088291,0.024060581441694755,34,33,120,Interior,101.89222208175038,5507,0,517.50156841613352,12421,2193.8768329098998,0.025069775647819512,-33.361701965345773,0,20606,3446,13392,0,0.0016591657082783682,82170,28242,0.037367556959313042,151818,165936,34,33,120
retag,0.26000000000000001,2,256,256,62,235,0.85263965131718067,11463228,0.033219744911259924,0.0078275089631338179,1655.6418523658681,3864.5755811295971,1655.6418523658681,342.82182517923587,0,360.3037702411583,0.0069299999700161439,468760,0.033219744911259924,0.023398522947667987,34969,23626,0.033219744911259924,0.026496040751225792,34,36,120,Interior,101.89222208175038,5292,0,525.04009141586721,13035,2008.2783386128367,0.027386642051813268,-33.361701965345773,0,20606,3446,13392,0,0.002194020482204954,82170,28242,0.040800563791470935,153000,167888,34,35,120
replicate,0.68000000000000005,2,256,256,62,236,0.85263965131718067,11511801,0.035713383001647912,0.0092905282426294193,1540.0389259528326,3256.0043099808286,1540.0389259528326,318.88476042555999,1,543.73002617244515,0.005438604232526522,707400,0.035713383001647912,0.020249775489681685,31707,56718,0.035713383001647912,0.022939513549879494,253,13,32,Surface,26.040430166947104,0,0,424.72390162525699,11101,2169.6171706042742,0.025350094360048595,-33.361701965335698,1,41320,0,26784,0,0.0014176743963377873,123255,27408,0.045205306477978192,137245,149408,253,13,32
replicate,0.68000000000000005,3,384,384,93,354,0.56842643421145378,38542350,0.042672813402201436,0.010588110122428114,1288.8768191028769,2856.978218985782,1288.8768191028769,266.87843323400944,1,543.73002617244504,0.0054500990028465857,2387475,0.042672813402201436,0.023583277605067381,31707,56718,0.042672813402201436,0.025864814813572067,380,20,48,Surface,25.903972825097995,0,0,2267.5678187082522,16193,2169.6171706042742,0.025350094360048595,-33.361701965381656,1,139455,0,90396,0,0.0014217127044213868,367032,60094,0.053555463590595057,317473,336168,380,20,48
