iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,iteration_wall_s
42,0.00238707008229,88423,88423,0.79729315444,0.00777819622385,0.0483362901927,5.83137732019e-12,1.65958323969e-12,2517,1,0,28437.2525411,14.6230840683,11984,0,0,0.257973981405,0.996972470188,0,0.1,0,0,16639.2578983,1,1,0,0,0,32,-10,1,43,29,0,0,0,-6,4,3856,28.7836202499
43,0.00238591769289,88424,88424,0.797302171247,0.00602184324139,0.0483362901927,4.69660211221e-12,1.57032333993e-12,2498,1,0,27732.7877078,14.2457079887,11991,0,0,0.260064432359,0.996972470188,0,0.1,0,0,16803.3680656,1,1,0,0,0,30,-5,1,36,30,0,0,3,-5,4,3856,28.1400490417
44,0.00238514462629,88424,88424,0.797302171247,0.00521663831165,0.0483362901927,3.50165347374e-12,1.51159045486e-12,2467,1,0,27350.1503329,35.1807498932,12037,0,0,0.262903792307,0.996972470188,0,0.1,0,0,16878.6444655,1,1,0,0,0,41,3,2,40,31,0,0,9,2,4,3856,27.7299171248
45,0.00238466306277,88423,88423,0.79729315444,0.00418857366353,0.0483362901927,2.40938281432e-12,1.47181465322e-12,2463,1,0,29027.7167501,13.146417141,12083,0,0,0.270363131734,0.999821188286,0,0.1,0,0,16909.5919937,1,1,0,0,0,43,4,2,41,32,0,0,4,-2,4,3856,47.732523208
46,0.00238457681453,88424,88424,0.797302171247,0.00737089541409,0.0483362901927,3.19245252357e-12,1.47942060064e-12,2471,1,0,29398.1795001,13.969124794,11880,0,0,0.271140109552,0.999821188286,0,0.1,0,0,16823.1959743,1,1,0,0,0,43,15,2,30,33,0,0,2,-2,4,3856,29.6584851248
47,0.00238431537374,88424,88424,0.797302171247,0.000882817425013,0.0483362901927,2.32052548006e-12,1.44829614864e-12,2470,1,0,40001.7546248,14.6807923317,11991,0,0,0.273824030935,0.999821188286,0,0.1,0,0,16872.8938672,1,1,0,0,0,44,12,1,33,34,0,0,3,-2,4,3856,40.2749187918
48,0.00238408132207,88424,88424,0.797302171247,0.00143442197548,0.0483362901927,1.5741946621e-12,1.43603013306e-12,2465,1,0,35596.118917,16.5212082863,12044,0,0,0.277202167739,0.999821188286,0,0.1,0,0,16841.962267,1,1,0,0,0,42,10,3,35,35,0,0,2,-4,4,3856,35.910814458
49,0.00238387903384,88423,88423,0.79729315444,-0.000639970271784,0.0483362901927,1.37343824234e-12,1.41657358207e-12,2467,1,0,28085.579916,12.4772090912,12218,0,0,0.281289818694,0.999821188286,0,0.1,0,0,16928.4109609,1,1,0,0,0,42,11,2,33,36,0,0,2,-2,4,3856,28.2698474578
50,0.002383700282,88423,88423,0.79729315444,0.00140749591678,0.0483362901927,3.4817203773e-12,1.40332161994e-12,2478,1,0,28163.4292502,13.6271657944,12707,0,0,0.226694982382,0.988320634259,0,0.1,0,0,17086.6138039,1,1,0,0,0,40,-18,1,59,36,0,0,0,-2,5,4820,46.0944766668
51,0.0023879109922,88423,88423,0.79729315444,-0.00101575094123,0.0483362901927,1.42113570838e-11,1.74381353917e-12,2524,1,0,28937.2350841,14.6427078247,12025,0,0,0.227351193728,0.988320634259,0,0.1,0,0,16649.4673474,1,1,0,0,0,42,-8,1,51,36,0,0,0,2,5,4820,29.2098433329
52,0.00238670706838,88423,88423,0.79729315444,0.0089989850024,0.0483362901927,1.05175287919e-11,1.64504591621e-12,2493,1,0,28097.861125,12.9416251183,12083,0,0,0.230307863658,0.988320634259,0,0.1,0,0,16892.0816363,1,1,0,0,0,33,-8,1,42,37,0,0,1,-10,5,4820,28.3617404168
53,0.00238561246411,88423,88423,0.79729315444,0.00466225577694,0.0483362901927,7.54120220263e-12,1.56360164391e-12,2469,1,0,28966.7566252,14.037624836,12145,0,0,0.23725681877,0.988320634259,0,0.1,0,0,17008.9983153,1,1,0,0,0,34,-11,1,46,38,0,0,5,-4,5,4820,29.2335075419
54,0.00238488153608,88424,88424,0.797302171247,0.00372863862002,0.0483362901927,5.2593195245e-12,1.51188382636e-12,2456,1,0,36171.9986248,13.9557499886,12153,0,0,0.244563410256,0.988320634259,0,0.1,0,0,17055.5065014,1,1,0,0,0,35,0,0,35,39,0,0,3,-2,5,4820,36.4870487922
55,0.00238423108408,88423,88423,0.79729315444,0.000212159842488,0.0483362901927,3.57167293205e-12,1.46105991315e-12,2455,1,0,27699.6417499,14.0835409164,12233,0,0,0.209253792418,0.975026055744,0,0.1,0,0,17106.517141,1,1,0,0,0,36,1,0,35,40,0,0,5,-4,5,4820,45.4418927911
56,0.00238419742062,88424,88424,0.797302171247,0.00692250775792,0.0483362901927,4.46968313246e-12,1.46993661506e-12,2465,1,0,31656.8469996,31.1781253815,12062,0,0,0.216098674374,0.988944784514,0,0.1,0,0,17117.2438899,1,1,0,0,0,40,1,2,41,41,0,0,2,2,5,4820,32.0362277078
57,0.00238377041931,88424,88424,0.797302171247,-0.00173213294165,0.0483362901927,2.94492309921e-12,1.42588827579e-12,2450,1,0,28085.9067917,14.9482922554,12233,0,0,0.222162349337,0.981280294213,0,0.1,0,0,17182.4271925,1,1,0,0,0,44,8,2,38,42,0,0,4,0,5,4820,28.393696791
58,0.00238362350412,88423,88423,0.79729315444,0.00192504742398,0.0483362901927,1.81697295979e-12,1.41026451468e-12,2456,1,0,27557.985208,12.8997917175,12318,0,0,0.230306670225,0.977580849865,0,0.1,0,0,17223.1261615,1,1,0,0,0,43,14,1,30,43,0,0,4,-5,5,4820,27.7408319172
59,0.00238342646772,88423,88423,0.79729315444,-0.00111776017104,0.0483362901927,1.41524141837e-12,1.39369304426e-12,2447,1,0,28229.4371252,13.6103749275,12478,0,0,0.236600177518,0.979389726058,0,0.1,0,0,17282.3475092,1,1,0,0,0,46,17,1,30,44,0,0,2,1,5,4820,28.556261166
60,0.00238337781789,88424,88424,0.797302171247,0.00186327890835,0.0483362901927,3.70985984989e-12,1.3765577861e-12,2458,1,0,29045.5206251,15.7211251259,12832,0,0,0.214804871372,0.973858558757,0,0.1,0,0,17302.4590429,1,1,0,0,0,35,-27,1,63,44,0,0,0,-11,6,5784,48.5601289584
