iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,sealed_pockets_manuf,sealed_voxels_manuf,sealed_mm3_manuf,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
31,0.00239011274844,88424,88424,0.797302171247,0.00423383808506,0.0483362901927,4.29312152114e-12,1.68655610983e-12,2413,1,0,31157.2465,16.4457912445,9307,0,0,0.219801358068,0.996529384126,0,0.1,0,0,13248.7223293,0,1.00158345268,0,0,0,47,39,4,12,12,0,0,0,-2,0,0,28,1954,9689.71764974,0,0,0,0,99.473528875
32,0.00238972212706,88423,88423,0.79729315444,-0.00112138729648,0.0483362901927,2.74758307214e-12,1.65997098668e-12,2416,1,0,26413.9506249,12.2522916794,9024,0,0,0.21916195284,0.996529384126,0,0.1,0,0,13178.0693499,0,1.00150652223,0,0,0,47,37,4,14,12,0,0,0,0,0,0,28,1992,9878.15637578,0,0,0,0,85.7466429593
33,0.00238947071996,88423,88423,0.79729315444,0.000488604502641,0.0483362901927,1.78930409448e-12,1.64901088727e-12,2421,1,0,28778.562458,12.8769168854,8674,0,0,0.221813067667,0.996529384126,0,0.1,0,0,13137.5699292,0,1.00144716867,0,0,0,46,37,1,10,13,0,0,1,-2,0,0,28,2002,9927.74551422,0,0,0,0,75.9868317503
34,0.00238919468548,88423,88423,0.79729315444,-0.000283296440052,0.0483362901927,1.56437369385e-12,1.63576528012e-12,2431,1,0,24648.082459,16.5658750534,8375,0,0,0.223351864323,0.996529384126,0,0.1,0,0,13085.2581989,0,1.00138981333,0,0,0,47,35,0,12,13,0,0,0,1,0,0,29,1997,9902.950945,0,0,0,0,74.4387172498
35,0.0023888835802,88423,88423,0.79729315444,-0.0014626430684,0.0483362901927,1.44235297127e-12,1.62408387768e-12,2438,1,0,20393.9015422,12.4370827675,8157,0,0,0.180542000645,0.99345029397,0,0.1,0,0,13007.837219,0,1.00133713775,0,0,0,47,38,0,9,13,0,0,0,0,0,0,29,1995,9893.03311731,0,0,0,0,119.655601166
36,0.00238933806831,88424,88424,0.797302171247,0.00585263113481,0.0483362901927,2.54402508798e-12,1.66573489928e-12,2404,1,0,46141.8354998,181.251083851,9047,0,0,0.193192544977,0.995108813341,0,0.1,0,0,12905.5020679,0,1.00150622375,0,0,0,47,40,13,20,13,0,0,0,0,0,0,29,1988,9858.32072041,0,0,0,0,88.5349577921
37,0.00238902444318,88424,88424,0.797302171247,-0.00108316477408,0.0483362901927,1.43570444416e-12,1.64179186355e-12,2402,1,0,17813.076292,12.7845420837,8751,0,0,0.190189842685,0.995108813341,0,0.1,0,0,12869.5768674,0,1.00143491585,0,0,0,45,40,12,17,13,0,0,0,-2,0,0,29,2022,10026.9237911,0,0,0,0,53.5858300827
38,0.00238870950346,88423,88423,0.79729315444,-0.00128597762349,0.0483362901927,1.35916522138e-12,1.62677982465e-12,2399,1,0,16756.4829578,12.4219589233,8373,0,0,0.188361247498,0.995108813341,0,0.1,0,0,12836.0996983,0,1.00136984747,0,0,0,46,38,11,19,14,0,0,1,0,0,0,30,2093,10379.006674,0,0,0,0,62.0798363327
39,0.00238844422754,88423,88423,0.79729315444,-0.00138397086243,0.0483362901927,1.55179109357e-12,1.60995216255e-12,2399,1,0,16870.5749593,12.39320755,8059,0,0,0.190109888234,0.994341603918,0,0.1,0,0,12801.026202,0,1.00131160725,0,0,0,44,35,12,21,14,0,0,0,-2,0,0,30,2109,10458.3492954,0,0,0,0,50.840020292
40,0.002388226829,88424,88424,0.797302171247,-0.000195809298591,0.0483362901927,1.63484908895e-12,1.60305153525e-12,2400,1,0,16821.946208,12.3197088242,7804,0,0,0.182346523372,0.99480821503,0,0.1,0,0,12754.2612717,0,1.00125990101,0,0,0,42,37,11,16,15,0,0,1,-3,0,0,30,2097,10398.8423293,0,0,0,0,67.179870375
