iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,iteration_wall_s
48,0.00239071870667,88424,88424,0.797302171247,0.000963844643393,0.0483362901927,3.42569840909e-11,1.88957007077e-12,2902,1,0,31151.153666,13.3272919655,9317,0,0,0.157062737408,0.980718490837,0,0.1,0,0,13738.1466796,1,1,0,0,0,35,30,2,7,22,0,0,0,-3,4,3856,31.4225375829
49,0.00238946207826,88423,88423,0.79729315444,-0.00148857625373,0.0483362901927,2.45953784248e-11,1.76804161006e-12,2906,1,0,31439.6062083,13.071041584,9502,0,0,0.160001018588,0.96497958313,0,0.1,0,0,13682.3403281,1,1,0,0,0,34,28,2,8,23,0,0,1,-2,4,3856,31.7513365834
50,0.002388585051,88423,88423,0.79729315444,0.000860904105132,0.0483362901927,1.44434675527e-11,1.65341619419e-12,2915,1,0,31849.1682501,12.9481248856,10029,0,0,0.144615316455,0.92793604041,0,0.1,0,0,13705.7240084,1,1,0,0,0,38,31,4,11,24,0,0,1,3,5,4820,50.592042625
51,0.0023871126442,88424,88424,0.797302171247,0.00200637415907,0.0483362901927,1.19376434795e-11,1.52793938002e-12,2948,1,0,32833.2166667,16.3310832977,8961,0,0,0.145618837827,0.936150709121,0,0.1,0,0,13372.0473823,1,1,0,0,0,27,21,1,7,25,0,0,3,-14,5,4820,33.1157755419
52,0.00238675511343,88423,88423,0.79729315444,3.79882866363e-05,0.0483362901927,1.08291320038e-11,1.50366199781e-12,2944,1,0,38652.5162907,15.2116250992,9038,0,0,0.147384311902,0.935263538199,0,0.1,0,0,13331.3651414,1,1,0,0,0,23,19,0,4,26,0,0,1,-5,5,4820,38.9816629589
53,0.00238654438168,88423,88423,0.79729315444,0.00174339256557,0.0483362901927,9.10429788207e-12,1.48776925449e-12,2947,1,0,33487.3398752,13.2153749466,9243,0,0,0.150117227087,0.929926762845,0,0.1,0,0,13419.0900356,1,1,0,0,0,25,21,1,5,27,0,0,3,-1,5,4820,33.7556659584
54,0.0023862466974,88424,88424,0.797302171247,-0.000365895002433,0.0483362901927,7.05725584037e-12,1.4735372102e-12,2934,1,0,32273.0586252,13.2712078094,9428,0,0,0.154029850399,0.971923957805,0,0.1,0,0,13454.7929077,1,1,0,0,0,20,18,0,2,28,0,0,1,-6,5,4820,32.6005442501
55,0.00238616115189,88423,88423,0.79729315444,0.00270699036781,0.0483362901927,5.33366053624e-12,1.46355289202e-12,2931,1,0,36416.8808327,13.6287922859,9705,0,0,0.152959279889,0.934472953789,0,0.1,0,0,13578.2223088,1,1,0,0,0,21,19,0,2,29,0,0,1,0,5,4820,54.0401155832
56,0.00238607642829,88424,88424,0.797302171247,-0.000780288259605,0.0483362901927,3.77679038168e-12,1.47276371372e-12,2821,1,0,33381.6847091,13.8462080956,9106,0,0,0.154149346081,0.974028771202,0,0.1,0,0,13507.6239494,1,1,0,0,0,18,16,0,2,29,0,0,0,-3,5,4820,33.6602813751
57,0.00238587465773,88423,88423,0.79729315444,0.000226495253807,0.0483362901927,2.7540938379e-12,1.45579421731e-12,2770,1,0,33865.1075001,14.3771247864,9322,0,0,0.156381781933,0.97824069011,0,0.1,0,0,13635.9356683,1,1,0,0,0,19,13,0,6,30,0,0,2,-1,5,4820,34.1853588331
58,0.00238560641985,88424,88424,0.797302171247,-0.00085116473718,0.0483362901927,4.75528265255e-12,1.4493649013e-12,2751,1,0,32716.5204158,13.0992922783,9531,0,0,0.15927560969,0.951325273728,0,0.1,0,0,13676.9401786,1,1,0,0,0,19,12,0,7,31,0,0,1,-1,5,4820,33.0066082501
59,0.00238543934154,88423,88423,0.79729315444,0.000702345873167,0.0483362901927,6.60797939714e-12,1.44061854597e-12,2716,1,0,31212.768333,13.2286667824,9846,0,0,0.163115993237,0.940431239537,0,0.1,0,0,13832.4256057,1,1,0,0,0,19,13,0,6,32,0,0,1,-1,5,4820,31.6417490407
60,0.00238521676967,88424,88424,0.797302171247,-9.62824260083e-05,0.0483362901927,8.49963079087e-12,1.4169197972e-12,2720,1,0,32168.022542,13.8840417862,10819,0,0,0.143745698421,0.934934056561,0,0.1,0,0,14195.115155,1,1,0,0,0,21,15,0,6,33,0,0,2,0,6,5784,52.2589517911
