iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,iteration_wall_s
11,0.00469289965732,75414,75414,0.679993507899,0.00806558865846,0.0483362901927,5.48694741063e-10,3.39707386133e-11,2516,1,0,18324.9034581,12.9209170341,56383,0,0,0.342324280187,0.999594067449,0,0.1,0,0,75105.6253307,1,1,0,119996.450036,18.5356437908
12,0.00462303588213,75414,75414,0.679993507899,-0.00375711977783,0.0483362901927,5.22989929183e-10,3.28875776525e-11,2283,1,0,17122.1500826,12.1305422783,57480,0,0,0.343034013882,0.999594067449,0,0.1,0,0,75355.1561135,1,1,0,114211.857987,17.2831960842
13,0.004542431376,75414,75414,0.679993507899,-0.00419817821965,0.0483362901927,5.21034532545e-10,3.18467946895e-11,2354,1,0,17380.2018752,11.8774590492,58114,0,0,0.344074901347,0.999594067449,0,0.1,0,0,75585.566409,1,1,0,108770.085538,17.5942560406
14,0.00446460097769,75414,75414,0.679993507899,-0.00280861222674,0.0483362901927,5.60272980913e-10,3.08780154023e-11,2346,1,0,17463.7242918,12.7146248817,58672,0,0,0.345376243663,0.999594067449,0,0.1,0,0,75782.1993449,1,1,0,103643.76252,17.63972425
15,0.00438256643313,75414,75414,0.679993507899,-0.0024533757996,0.0483362901927,5.85202051155e-10,2.98377011526e-11,2341,1,0,17296.4083748,11.8759999275,59118,0,0,0.338237429281,0.999856984531,0,0.1,0,0,75904.872487,1,1,0,98771.7928952,33.8908541673
16,0.0043876338042,75414,75414,0.679993507899,0.00085106716662,0.0483362901927,7.74924215749e-10,3.03008115082e-11,2458,1,0,18333.9925842,12.1198329926,55992,0,0,0.339364723228,0.999856984531,0,0.1,0,0,74849.8494595,1,1,0,116935.774716,18.5221722499
17,0.00428875972744,75414,75414,0.679993507899,-0.00628934220186,0.0483362901927,7.19193782053e-10,2.86974573121e-11,2436,1,0,18064.0429173,12.3134999275,56766,0,0,0.340545328688,0.999856984531,0,0.1,0,0,75312.8242041,1,1,0,111611.251556,18.2389852921
18,0.00418093413115,75415,75415,0.680002524706,-0.00701930120541,0.0483362901927,6.53128987133e-10,2.71047156435e-11,2367,1,0,17725.8840003,12.1855826378,57484,0,0,0.342454171474,0.999856984531,0,0.1,0,0,75596.0461127,1,1,0,106684.094837,17.9118059999
19,0.00406048556004,75414,75414,0.679993507899,-0.00855012703369,0.0483362901927,6.07903789458e-10,2.54066139147e-11,2335,1,0,17276.8545003,12.8494586945,58220,0,0,0.344728390396,0.999856984531,0,0.1,0,0,75595.1921398,1,1,0,102033.135412,17.4733219589
20,0.00391781965144,75414,75414,0.679993507899,-0.0121443353858,0.0483362901927,5.46567519801e-10,2.34604761725e-11,2305,1,0,17086.1283331,11.9984579086,58935,0,0,0.332397871981,0.999644578602,0,0.1,0,0,75251.4235874,1,1,0,97676.8397078,33.5132698747
21,0.00386479251851,75414,75414,0.679993507899,-0.00184961622787,0.0483362901927,7.6022735807e-10,2.29797900994e-11,2387,1,0,17763.7129583,12.7914166451,55061,0,0,0.333359712176,0.999644578602,0,0.1,0,0,73933.3071116,1,1,0,115458.129873,17.9509638329
