iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
30,0.00359365269486,58591,58591,0.528303758205,-0.0018885506485,0.0483362901927,2.53834790898e-10,3.14963577855e-11,2773,1,0,20193.8501248,12.1458749771,11668,0,0,0.284766414321,0.999817505148,0,0.1,0,0,18057.7584919,0,1.02558401627,0,0,0,17,-7,3,27,9,0,0,0,-4,0,0,0,0,0,0,73.5894864998
31,0.00359256230296,58590,58590,0.528294741398,0.00214942251425,0.0483362901927,2.45293698444e-10,3.15448296742e-11,2714,1,0,23506.313292,13.5850000381,12528,0,0,0.282698952021,0.999817505148,0,0.1,0,0,17698.6394726,0,1.02746590722,0,0,0,10,-15,0,25,10,0,0,1,-8,0,0,0,0,0,0,63.142649584
32,0.00358365655093,58590,58590,0.528294741398,0.000891457679159,0.0483362901927,2.06946270546e-10,3.1378952879e-11,2717,1,0,19639.954,13.0574159622,12098,0,0,0.283062896326,0.999817505148,0,0.1,0,0,17658.3789779,0,1.02654654747,0,0,0,11,-13,0,24,10,0,0,0,1,0,0,0,0,0,0,63.4186363341
33,0.0035746498499,58591,58591,0.528303758205,0.000384183703164,0.0483362901927,1.65215194064e-10,3.12930076338e-11,2728,1,0,19651.2712078,12.4709591866,11665,0,0,0.284823364839,0.999817505148,0,0.1,0,0,17539.2489081,0,1.02556615205,0,0,0,9,-14,0,23,10,0,0,0,-2,0,0,0,0,0,0,63.9813636672
34,0.00356303213817,58590,58590,0.528294741398,-0.00178333221377,0.0483362901927,1.37436443817e-10,3.0984160516e-11,2733,1,0,20120.4047923,14.0494580269,11299,0,0,0.289741480713,0.999817505148,0,0.1,0,0,17500.4329279,0,1.02458570359,0,0,0,10,-12,0,22,11,0,0,1,0,0,0,0,0,0,0,59.7359679579
35,0.0035553313007,58591,58591,0.528303758205,7.94047697453e-05,0.0483362901927,1.21415573656e-10,3.1001434766e-11,2736,1,0,19998.0455422,13.8483748436,10963,0,0,0.291718513038,0.999582245113,0,0.1,0,0,17358.2959891,0,1.02377043447,0,0,0,8,-14,0,22,11,0,0,0,-2,0,0,0,0,0,0,77.3438639999
36,0.00355858788961,58591,58591,0.528303758205,0.0010346710168,0.0483362901927,1.02435985417e-10,3.10634531541e-11,2727,1,0,19664.0657091,13.22479105,12259,0,0,0.291465232632,0.999582245113,0,0.1,0,0,17344.7669024,0,1.02649406397,0,0,0,4,-18,0,22,12,0,0,1,-5,0,0,0,0,0,0,59.3018383337
37,0.00355221030821,58590,58590,0.528294741398,0.00133144906617,0.0483362901927,8.8246532428e-11,3.10042306141e-11,2725,1,0,19702.2764997,12.1538338661,11860,0,0,0.291637826406,0.999582245113,0,0.1,0,0,17322.9879773,0,1.02554625098,0,0,0,9,-18,0,27,12,0,0,0,5,0,0,0,0,0,0,64.280793584
38,0.00354509137385,58590,58590,0.528294741398,0.000424401824667,0.0483362901927,1.29849467024e-10,3.09264723001e-11,2733,1,0,19609.844583,12.7581672668,11414,0,0,0.293551640105,0.999582245113,0,0.1,0,0,17259.7420611,0,1.02452402538,0,0,0,10,-17,0,27,13,0,0,1,0,0,0,0,0,0,0,60.3178701252
39,0.00353641158159,58591,58591,0.528303758205,-0.00150153220064,0.0483362901927,1.64341515905e-10,3.07469484894e-11,2732,1,0,24412.478375,13.0104160309,11045,0,0,0.298465376672,0.999582245113,0,0.1,0,0,17237.1749119,0,1.02362497282,0,0,0,9,-18,0,27,13,0,0,0,-1,0,0,0,0,0,0,64.5274818749
