fixture,band_k,cadence,iter,active_frac,C_full,C_restricted,dC_rel,dSens_rel,mean_drho,max_drho,outside_band_rel,band_escapes,max_escaping_rho
dilute40_vf026,4,1,25,0.192682,46.43801835,46.43807158,1.407772e-06,4.331594e-04,2.635028e-07,3.203687e-04,1.848230e-05,0,0.001000
dilute40_vf026,4,1,26,0.192083,46.23544235,46.23549222,1.407876e-06,4.475952e-04,2.465047e-07,2.545331e-04,1.882604e-05,0,0.001000
dilute40_vf026,4,1,27,0.191797,46.06560369,46.06565395,1.407742e-06,4.549997e-04,2.417585e-07,2.432999e-04,1.901384e-05,0,0.001000
dilute40_vf026,4,1,28,0.191328,45.92472085,45.92479064,1.409330e-06,4.591029e-04,2.430679e-07,2.711315e-04,1.910306e-05,0,0.001000
dilute40_vf026,4,1,29,0.190885,45.80651637,45.80657198,1.413229e-06,4.627613e-04,2.465851e-07,3.001550e-04,1.917329e-05,0,0.001000
dilute40_vf026,4,1,30,0.190573,45.70376106,45.70379462,1.410633e-06,4.634988e-04,2.493869e-07,3.287201e-04,1.913895e-05,0,0.001000
dilute40_vf026,4,1,31,0.190417,45.61272382,45.61277137,1.408831e-06,4.647095e-04,2.560352e-07,3.567049e-04,1.912811e-05,0,0.001000
dilute40_vf026,4,1,32,0.190052,45.53010667,45.53014396,1.406154e-06,4.659524e-04,2.433830e-07,3.850355e-04,1.912560e-05,0,0.001000
dilute40_vf026,4,1,33,0.189740,45.45780018,45.45785664,1.408109e-06,4.682911e-04,2.284825e-07,2.688588e-04,1.916907e-05,0,0.001000
dilute40_vf026,4,1,34,0.189375,45.39390568,45.39396113,1.410530e-06,4.699187e-04,2.157308e-07,2.870503e-04,1.920735e-05,0,0.001000
dilute40_vf026,4,1,35,0.188958,45.34016478,45.34020622,1.413055e-06,4.713737e-04,2.119491e-07,3.151199e-04,1.922916e-05,0,0.001000
dilute40_vf026,4,1,36,0.188906,45.29207384,45.29211904,1.410848e-06,4.726699e-04,2.126542e-07,3.415507e-04,1.925677e-05,0,0.001000
dilute40_vf026,4,1,37,0.188750,45.24796504,45.24801905,1.409318e-06,4.743637e-04,2.143231e-07,3.677338e-04,1.929658e-05,0,0.001000
dilute40_vf026,4,1,38,0.188490,45.2073602,45.20740355,1.410825e-06,4.767400e-04,2.154861e-07,3.922478e-04,1.936590e-05,0,0.001000
dilute40_vf026,4,1,39,0.188490,45.16990185,45.16995052,1.409370e-06,4.789404e-04,2.158561e-07,4.186298e-04,1.943138e-05,0,0.001000
dilute40_vf026,4,1,40,0.188203,45.1351983,45.13523153,1.409279e-06,4.829419e-04,2.145575e-07,4.457137e-04,1.950605e-05,0,0.001000
dilute40_vf026,8,1,1,1.000000,1032925.457,1032925.457,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000
dilute40_vf026,8,1,2,1.000000,19081.70436,19081.70436,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000
dilute40_vf026,8,1,3,0.971120,7270.054348,7270.055275,1.275098e-07,2.360811e-06,1.250552e-08,1.452377e-06,3.665394e-06,0,0.001000
dilute40_vf026,8,1,4,0.771406,1515.08286,1515.107208,1.458528e-05,4.921834e-04,2.029683e-07,1.324220e-05,1.028420e-04,0,0.001000
dilute40_vf026,8,1,5,0.665052,641.7999621,641.8109944,1.188346e-06,2.603542e-04,1.262199e-07,1.612936e-05,9.666445e-06,0,0.001000
dilute40_vf026,8,1,6,0.591458,324.9564801,324.9587049,4.414471e-06,6.493802e-04,1.423259e-07,1.699321e-05,3.026999e-05,0,0.001000
dilute40_vf026,8,1,7,0.549740,190.4289924,190.4300917,8.906064e-07,1.884132e-04,1.161267e-07,1.993042e-05,5.150870e-06,0,0.001000
dilute40_vf026,8,1,8,0.513229,133.0187085,133.0197522,1.835287e-06,6.437872e-04,1.227838e-07,2.084356e-05,2.106817e-05,0,0.001000
dilute40_vf026,8,1,9,0.487891,98.7741649,98.77478089,7.997778e-07,1.835481e-04,1.118385e-07,2.087181e-05,4.818486e-06,0,0.001000
dilute40_vf026,8,1,10,0.477917,79.89994238,79.90047989,1.108387e-06,3.202836e-04,1.099459e-07,2.346411e-05,9.810856e-06,0,0.001000
dilute40_vf026,8,1,11,0.455130,68.95959108,68.95985341,7.160877e-07,2.158769e-04,1.049498e-07,2.618972e-05,5.194443e-06,0,0.001000
dilute40_vf026,8,1,12,0.451719,62.11641956,62.11670058,8.215115e-07,1.690103e-04,1.013899e-07,2.481639e-05,4.731493e-06,0,0.001000
dilute40_vf026,8,1,13,0.437839,58.0110399,58.01115792,6.745756e-07,2.122676e-04,9.590888e-08,2.592283e-05,4.409479e-06,0,0.001000
dilute40_vf026,8,1,14,0.433906,54.96338305,54.9634645,7.267640e-07,1.616240e-04,9.418289e-08,2.638219e-05,4.124500e-06,0,0.001000
dilute40_vf026,8,1,15,0.423750,52.92367048,52.9237401,6.587032e-07,2.168439e-04,9.087833e-08,2.891108e-05,3.846989e-06,0,0.001000
dilute40_vf026,8,1,16,0.422161,51.37509895,51.37514301,6.735767e-07,1.705555e-04,8.853834e-08,3.388533e-05,3.556764e-06,0,0.001000
dilute40_vf026,8,1,17,0.416615,50.22912229,50.22919022,6.299008e-07,2.060575e-04,8.657529e-08,3.567073e-05,3.408497e-06,0,0.001000
dilute40_vf026,8,1,18,0.415469,49.36984567,49.36990641,6.414027e-07,1.806247e-04,8.533812e-08,3.945845e-05,3.290787e-06,0,0.001000
dilute40_vf026,8,1,19,0.413151,48.67708626,48.67712025,6.225702e-07,2.079985e-04,8.511664e-08,4.380365e-05,3.313367e-06,0,0.001000
dilute40_vf026,8,1,20,0.412057,48.11663542,48.11666388,6.199998e-07,1.974195e-04,8.775014e-08,5.120411e-05,3.259024e-06,0,0.001000
dilute40_vf026,8,1,21,0.410911,47.64879306,47.64882691,6.138130e-07,2.145317e-04,8.575260e-08,5.409660e-05,3.288698e-06,0,0.001000
dilute40_vf026,8,1,22,0.409557,47.25761878,47.25764814,6.079405e-07,2.154162e-04,8.497703e-08,6.084080e-05,3.287566e-06,0,0.001000
dilute40_vf026,8,1,23,0.409193,46.93793415,46.9379504,6.010328e-07,2.213564e-04,8.212531e-08,6.740696e-05,3.302103e-06,0,0.001000
dilute40_vf026,8,1,24,0.408724,46.66997244,46.66997309,5.986342e-07,2.264202e-04,8.294792e-08,7.245543e-05,3.335695e-06,0,0.001000
dilute40_vf026,8,1,25,0.408385,46.43801835,46.43803728,5.977888e-07,2.332619e-04,7.943043e-08,7.947855e-05,3.392268e-06,0,0.001000
dilute40_vf026,8,1,26,0.407500,46.23544235,46.23546702,5.988769e-07,2.413395e-04,7.476403e-08,7.528333e-05,3.445501e-06,0,0.001000
dilute40_vf026,8,1,27,0.407422,46.06560369,46.0656277,5.977791e-07,2.449277e-04,7.387766e-08,7.463204e-05,3.475550e-06,0,0.001000
dilute40_vf026,8,1,28,0.406875,45.92472085,45.92475512,5.985346e-07,2.472401e-04,7.349170e-08,8.362718e-05,3.488590e-06,0,0.001000
dilute40_vf026,8,1,29,0.406745,45.80651637,45.80653576,5.990102e-07,2.489990e-04,7.526894e-08,9.252453e-05,3.497093e-06,0,0.001000
dilute40_vf026,8,1,30,0.406432,45.70376106,45.70378369,5.982897e-07,2.494205e-04,7.600201e-08,1.012573e-04,3.486696e-06,0,0.001000
