rung,iter,boundary,threshold,band_k,domain_elems,elem_frac,node_frac
0,17,0,0.01,2,39672,0.547187,0.590945
0,17,0,0.01,4,39672,0.786575,0.821529
0,17,0,0.01,8,39672,0.991732,0.993694
0,17,0,0.05,0,39672,0.006302,0.017787
0,17,0,0.05,2,39672,0.077460,0.108478
0,17,0,0.05,4,39672,0.234725,0.283322
0,17,0,0.05,8,39672,0.678463,0.708478
0,17,0,0.1,0,39672,0.000302,0.001386
0,17,0,0.1,2,39672,0.008066,0.011781
0,17,0,0.1,4,39672,0.026921,0.033472
0,17,0,0.1,8,39672,0.117463,0.129845
0,17,0,0.3,0,39672,0.000302,0.001386
0,17,0,0.3,2,39672,0.008066,0.011781
0,17,0,0.3,4,39672,0.026921,0.033472
0,17,0,0.3,8,39672,0.117463,0.129845
0,17,0,0.5,0,39672,0.000302,0.001386
0,17,0,0.5,2,39672,0.008066,0.011781
0,17,0,0.5,4,39672,0.026921,0.033472
0,17,0,0.5,8,39672,0.117463,0.129845
0,18,0,0.0015,0,39672,0.383066,0.406353
0,18,0,0.0015,2,39672,0.547792,0.563502
0,18,0,0.0015,4,39672,0.655147,0.666366
0,18,0,0.0015,8,39672,0.809589,0.815385
0,18,0,0.01,0,39672,0.141813,0.211180
0,18,0,0.01,2,39672,0.405929,0.438554
0,18,0,0.01,4,39672,0.552354,0.572626
0,18,0,0.01,8,39672,0.713929,0.723678
0,18,0,0.05,0,39672,0.012477,0.035228
0,18,0,0.05,2,39672,0.157844,0.200162
0,18,0,0.05,4,39672,0.352869,0.393994
0,18,0,0.05,8,39672,0.651215,0.668954
0,18,0,0.1,0,39672,0.000302,0.001386
0,18,0,0.1,2,39672,0.008066,0.011781
0,18,0,0.1,4,39672,0.026921,0.033472
0,18,0,0.1,8,39672,0.117463,0.129845
0,18,0,0.3,0,39672,0.000302,0.001386
0,18,0,0.3,2,39672,0.008066,0.011781
0,18,0,0.3,4,39672,0.026921,0.033472
0,18,0,0.3,8,39672,0.117463,0.129845
0,18,0,0.5,0,39672,0.000302,0.001386
0,18,0,0.5,2,39672,0.008066,0.011781
0,18,0,0.5,4,39672,0.026921,0.033472
0,18,0,0.5,8,39672,0.117463,0.129845
0,19,0,0.0015,0,39672,0.460073,0.519843
0,19,0,0.0015,2,39672,0.768703,0.815731
0,19,0,0.0015,4,39672,0.956997,0.964079
0,19,0,0.0015,8,39672,1.000000,1.000000
0,19,0,0.01,0,39672,0.271451,0.345161
0,19,0,0.01,2,39672,0.556186,0.599330
0,19,0,0.01,4,39672,0.788239,0.825664
0,19,0,0.01,8,39672,0.990119,0.992354
0,19,0,0.05,0,39672,0.002143,0.008547
0,19,0,0.05,2,39672,0.049077,0.071933
0,19,0,0.05,4,39672,0.161121,0.199977
0,19,0,0.05,8,39672,0.561051,0.602195
0,19,0,0.1,0,39672,0.000302,0.001386
0,19,0,0.1,2,39672,0.008066,0.011781
0,19,0,0.1,4,39672,0.026921,0.033472
0,19,0,0.1,8,39672,0.117463,0.129845
0,19,0,0.3,0,39672,0.000302,0.001386
0,19,0,0.3,2,39672,0.008066,0.011781
0,19,0,0.3,4,39672,0.026921,0.033472
0,19,0,0.3,8,39672,0.117463,0.129845
0,19,0,0.5,0,39672,0.000302,0.001386
0,19,0,0.5,2,39672,0.008066,0.011781
0,19,0,0.5,4,39672,0.026921,0.033472
0,19,0,0.5,8,39672,0.117463,0.129845
0,20,0,0.0015,0,39672,0.411525,0.435389
0,20,0,0.0015,2,39672,0.566067,0.581289
0,20,0,0.0015,4,39672,0.666944,0.678078
0,20,0,0.0015,8,39672,0.825797,0.831393
0,20,0,0.01,0,39672,0.128252,0.200416
0,20,0,0.01,2,39672,0.411323,0.450497
0,20,0,0.01,4,39672,0.560118,0.580665
0,20,0,0.01,8,39672,0.719147,0.727697
0,20,0,0.05,0,39672,0.011494,0.034535
0,20,0,0.05,2,39672,0.156786,0.202795
0,20,0,0.05,4,39672,0.355641,0.402079
0,20,0,0.05,8,39672,0.640401,0.658027
0,20,0,0.1,0,39672,0.000479,0.002218
0,20,0,0.1,2,39672,0.013158,0.019589
0,20,0,0.1,4,39672,0.046582,0.058559
0,20,0,0.1,8,39672,0.199335,0.217810
0,20,0,0.3,0,39672,0.000302,0.001386
0,20,0,0.3,2,39672,0.008066,0.011781
0,20,0,0.3,4,39672,0.026921,0.033472
0,20,0,0.3,8,39672,0.117463,0.129845
0,20,0,0.5,0,39672,0.000302,0.001386
0,20,0,0.5,2,39672,0.008066,0.011781
0,20,0,0.5,4,39672,0.026921,0.033472
0,20,0,0.5,8,39672,0.117463,0.129845
