fixture,rung,iter,boundary,domain_elems,domain_nodes,elem_frac_k0,elem_frac_k2,elem_frac_k4,elem_frac_k8,node_frac_k0,node_frac_k2,node_frac_k4,node_frac_k8
F1_lbracket_snug,0,119,0,4480,5643,0.999554,1.000000,1.000000,1.000000,0.999823,1.000000,1.000000,1.000000
F1_lbracket_snug,0,120,0,4480,5643,0.999554,1.000000,1.000000,1.000000,0.999823,1.000000,1.000000,1.000000
F1_lbracket_snug,0,121,0,4480,5643,0.999554,1.000000,1.000000,1.000000,0.999823,1.000000,1.000000,1.000000
F1_lbracket_snug,0,122,0,4480,5643,0.999554,1.000000,1.000000,1.000000,0.999823,1.000000,1.000000,1.000000
F1_lbracket_snug,0,123,0,4480,5643,0.998661,1.000000,1.000000,1.000000,0.999823,1.000000,1.000000,1.000000
F1_lbracket_snug,0,124,0,4480,5643,0.997768,1.000000,1.000000,1.000000,0.999823,1.000000,1.000000,1.000000
F1_lbracket_snug,0,125,0,4480,5643,0.997768,1.000000,1.000000,1.000000,0.999823,1.000000,1.000000,1.000000
F1_lbracket_snug,0,126,0,4480,5643,0.996429,1.000000,1.000000,1.000000,0.999468,1.000000,1.000000,1.000000
F1_lbracket_snug,0,127,0,4480,5643,0.996429,1.000000,1.000000,1.000000,0.999468,1.000000,1.000000,1.000000
F1_lbracket_snug,0,128,0,4480,5643,0.996429,1.000000,1.000000,1.000000,0.999468,1.000000,1.000000,1.000000
F1_lbracket_snug,0,129,0,4480,5643,0.996875,1.000000,1.000000,1.000000,0.999823,1.000000,1.000000,1.000000
F1_lbracket_snug,0,130,0,4480,5643,0.999554,1.000000,1.000000,1.000000,0.999823,1.000000,1.000000,1.000000
F1_lbracket_snug,0,131,0,4480,5643,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
F1_lbracket_snug,0,132,0,4480,5643,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
F1_lbracket_snug,0,133,0,4480,5643,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
F1_lbracket_snug,0,134,0,4480,5643,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
F1_lbracket_snug,0,135,0,4480,5643,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
F1_lbracket_snug,0,136,0,4480,5643,0.999554,1.000000,1.000000,1.000000,0.999823,1.000000,1.000000,1.000000
F1_lbracket_snug,0,137,0,4480,5643,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
F1_lbracket_snug,0,138,0,4480,5643,0.999554,1.000000,1.000000,1.000000,0.999823,1.000000,1.000000,1.000000
F1_lbracket_snug,0,139,0,4480,5643,0.999554,1.000000,1.000000,1.000000,0.999823,1.000000,1.000000,1.000000
F1_lbracket_snug,0,140,0,4480,5643,0.999554,1.000000,1.000000,1.000000,0.999823,1.000000,1.000000,1.000000
F1_lbracket_snug,0,140,1,4480,5643,0.720089,1.000000,1.000000,1.000000,0.858409,1.000000,1.000000,1.000000
F1_lbracket_snug,1,1,0,4480,5643,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
F1_lbracket_snug,1,2,0,4480,5643,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
F1_lbracket_snug,1,3,0,4480,5643,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
F1_lbracket_snug,1,4,0,4480,5643,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
F1_lbracket_snug,1,5,0,4480,5643,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
F1_lbracket_snug,1,6,0,4480,5643,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
F1_lbracket_snug,1,7,0,4480,5643,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
F1_lbracket_snug,1,8,0,4480,5643,0.999554,1.000000,1.000000,1.000000,0.999823,1.000000,1.000000,1.000000
F1_lbracket_snug,1,9,0,4480,5643,0.999107,1.000000,1.000000,1.000000,0.999468,1.000000,1.000000,1.000000
F1_lbracket_snug,1,10,0,4480,5643,0.999107,1.000000,1.000000,1.000000,0.999468,1.000000,1.000000,1.000000
F1_lbracket_snug,1,11,0,4480,5643,0.999107,1.000000,1.000000,1.000000,0.999468,1.000000,1.000000,1.000000
F1_lbracket_snug,1,12,0,4480,5643,0.999107,1.000000,1.000000,1.000000,0.999468,1.000000,1.000000,1.000000
F1_lbracket_snug,1,13,0,4480,5643,0.998214,1.000000,1.000000,1.000000,0.999468,1.000000,1.000000,1.000000
F1_lbracket_snug,1,14,0,4480,5643,0.996875,1.000000,1.000000,1.000000,0.999468,1.000000,1.000000,1.000000
F1_lbracket_snug,1,15,0,4480,5643,0.983036,1.000000,1.000000,1.000000,0.994861,1.000000,1.000000,1.000000
F1_lbracket_snug,1,16,0,4480,5643,0.978125,1.000000,1.000000,1.000000,0.992203,1.000000,1.000000,1.000000
F1_lbracket_snug,1,17,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.991494,1.000000,1.000000,1.000000
F1_lbracket_snug,1,18,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.991494,1.000000,1.000000,1.000000
F1_lbracket_snug,1,19,0,4480,5643,0.974554,1.000000,1.000000,1.000000,0.990785,1.000000,1.000000,1.000000
F1_lbracket_snug,1,20,0,4480,5643,0.973214,1.000000,1.000000,1.000000,0.990253,1.000000,1.000000,1.000000
F1_lbracket_snug,1,21,0,4480,5643,0.973214,1.000000,1.000000,1.000000,0.990253,1.000000,1.000000,1.000000
F1_lbracket_snug,1,22,0,4480,5643,0.972321,1.000000,1.000000,1.000000,0.989899,1.000000,1.000000,1.000000
F1_lbracket_snug,1,23,0,4480,5643,0.972321,1.000000,1.000000,1.000000,0.989899,1.000000,1.000000,1.000000
F1_lbracket_snug,1,24,0,4480,5643,0.969643,1.000000,1.000000,1.000000,0.989190,1.000000,1.000000,1.000000
F1_lbracket_snug,1,25,0,4480,5643,0.969196,1.000000,1.000000,1.000000,0.989190,1.000000,1.000000,1.000000
F1_lbracket_snug,1,26,0,4480,5643,0.969196,1.000000,1.000000,1.000000,0.989190,1.000000,1.000000,1.000000
F1_lbracket_snug,1,27,0,4480,5643,0.969196,1.000000,1.000000,1.000000,0.989190,1.000000,1.000000,1.000000
F1_lbracket_snug,1,28,0,4480,5643,0.969196,1.000000,1.000000,1.000000,0.989190,1.000000,1.000000,1.000000
F1_lbracket_snug,1,29,0,4480,5643,0.967411,1.000000,1.000000,1.000000,0.988127,1.000000,1.000000,1.000000
F1_lbracket_snug,1,30,0,4480,5643,0.966518,1.000000,1.000000,1.000000,0.987418,1.000000,1.000000,1.000000
F1_lbracket_snug,1,31,0,4480,5643,0.966071,1.000000,1.000000,1.000000,0.987241,1.000000,1.000000,1.000000
F1_lbracket_snug,1,32,0,4480,5643,0.966071,1.000000,1.000000,1.000000,0.987241,1.000000,1.000000,1.000000
F1_lbracket_snug,1,33,0,4480,5643,0.966071,1.000000,1.000000,1.000000,0.987241,1.000000,1.000000,1.000000
F1_lbracket_snug,1,34,0,4480,5643,0.965625,1.000000,1.000000,1.000000,0.987241,1.000000,1.000000,1.000000
F1_lbracket_snug,1,35,0,4480,5643,0.965179,1.000000,1.000000,1.000000,0.987064,1.000000,1.000000,1.000000
F1_lbracket_snug,1,36,0,4480,5643,0.965179,1.000000,1.000000,1.000000,0.987064,1.000000,1.000000,1.000000
F1_lbracket_snug,1,37,0,4480,5643,0.965179,1.000000,1.000000,1.000000,0.987064,1.000000,1.000000,1.000000
F1_lbracket_snug,1,38,0,4480,5643,0.964732,1.000000,1.000000,1.000000,0.987064,1.000000,1.000000,1.000000
F1_lbracket_snug,1,39,0,4480,5643,0.964732,1.000000,1.000000,1.000000,0.987064,1.000000,1.000000,1.000000
F1_lbracket_snug,1,40,0,4480,5643,0.964732,1.000000,1.000000,1.000000,0.987064,1.000000,1.000000,1.000000
F1_lbracket_snug,1,41,0,4480,5643,0.964732,1.000000,1.000000,1.000000,0.987064,1.000000,1.000000,1.000000
F1_lbracket_snug,1,42,0,4480,5643,0.964732,1.000000,1.000000,1.000000,0.987064,1.000000,1.000000,1.000000
F1_lbracket_snug,1,43,0,4480,5643,0.964286,1.000000,1.000000,1.000000,0.987064,1.000000,1.000000,1.000000
F1_lbracket_snug,1,44,0,4480,5643,0.963839,1.000000,1.000000,1.000000,0.987064,1.000000,1.000000,1.000000
F1_lbracket_snug,1,45,0,4480,5643,0.963393,1.000000,1.000000,1.000000,0.986886,1.000000,1.000000,1.000000
F1_lbracket_snug,1,46,0,4480,5643,0.963393,1.000000,1.000000,1.000000,0.986886,1.000000,1.000000,1.000000
F1_lbracket_snug,1,47,0,4480,5643,0.963393,1.000000,1.000000,1.000000,0.986886,1.000000,1.000000,1.000000
F1_lbracket_snug,1,48,0,4480,5643,0.963393,1.000000,1.000000,1.000000,0.986886,1.000000,1.000000,1.000000
F1_lbracket_snug,1,49,0,4480,5643,0.963393,1.000000,1.000000,1.000000,0.986886,1.000000,1.000000,1.000000
F1_lbracket_snug,1,50,0,4480,5643,0.962946,1.000000,1.000000,1.000000,0.986709,1.000000,1.000000,1.000000
F1_lbracket_snug,1,51,0,4480,5643,0.962946,1.000000,1.000000,1.000000,0.986709,1.000000,1.000000,1.000000
F1_lbracket_snug,1,52,0,4480,5643,0.962946,1.000000,1.000000,1.000000,0.986709,1.000000,1.000000,1.000000
F1_lbracket_snug,1,53,0,4480,5643,0.962946,1.000000,1.000000,1.000000,0.986709,1.000000,1.000000,1.000000
F1_lbracket_snug,1,54,0,4480,5643,0.962946,1.000000,1.000000,1.000000,0.986709,1.000000,1.000000,1.000000
F1_lbracket_snug,1,55,0,4480,5643,0.962500,1.000000,1.000000,1.000000,0.986709,1.000000,1.000000,1.000000
F1_lbracket_snug,1,56,0,4480,5643,0.962946,1.000000,1.000000,1.000000,0.986709,1.000000,1.000000,1.000000
F1_lbracket_snug,1,57,0,4480,5643,0.962946,1.000000,1.000000,1.000000,0.986709,1.000000,1.000000,1.000000
F1_lbracket_snug,1,58,0,4480,5643,0.962946,1.000000,1.000000,1.000000,0.986709,1.000000,1.000000,1.000000
F1_lbracket_snug,1,59,0,4480,5643,0.962946,1.000000,1.000000,1.000000,0.986709,1.000000,1.000000,1.000000
F1_lbracket_snug,1,60,0,4480,5643,0.963393,1.000000,1.000000,1.000000,0.986709,1.000000,1.000000,1.000000
F1_lbracket_snug,1,61,0,4480,5643,0.962946,1.000000,1.000000,1.000000,0.986709,1.000000,1.000000,1.000000
F1_lbracket_snug,1,62,0,4480,5643,0.963393,1.000000,1.000000,1.000000,0.987064,1.000000,1.000000,1.000000
F1_lbracket_snug,1,63,0,4480,5643,0.962500,1.000000,1.000000,1.000000,0.986886,1.000000,1.000000,1.000000
F1_lbracket_snug,1,64,0,4480,5643,0.962500,1.000000,1.000000,1.000000,0.986886,1.000000,1.000000,1.000000
F1_lbracket_snug,1,65,0,4480,5643,0.963393,1.000000,1.000000,1.000000,0.987241,1.000000,1.000000,1.000000
F1_lbracket_snug,1,66,0,4480,5643,0.962946,1.000000,1.000000,1.000000,0.987241,1.000000,1.000000,1.000000
F1_lbracket_snug,1,67,0,4480,5643,0.962500,1.000000,1.000000,1.000000,0.987241,1.000000,1.000000,1.000000
F1_lbracket_snug,1,68,0,4480,5643,0.962054,1.000000,1.000000,1.000000,0.987064,1.000000,1.000000,1.000000
F1_lbracket_snug,1,69,0,4480,5643,0.962054,1.000000,1.000000,1.000000,0.987418,1.000000,1.000000,1.000000
F1_lbracket_snug,1,70,0,4480,5643,0.962054,1.000000,1.000000,1.000000,0.987418,1.000000,1.000000,1.000000
F1_lbracket_snug,1,71,0,4480,5643,0.961607,1.000000,1.000000,1.000000,0.987418,1.000000,1.000000,1.000000
F1_lbracket_snug,1,72,0,4480,5643,0.960714,1.000000,1.000000,1.000000,0.987064,1.000000,1.000000,1.000000
F1_lbracket_snug,1,73,0,4480,5643,0.960268,1.000000,1.000000,1.000000,0.987064,1.000000,1.000000,1.000000
F1_lbracket_snug,1,74,0,4480,5643,0.960268,1.000000,1.000000,1.000000,0.987064,1.000000,1.000000,1.000000
F1_lbracket_snug,1,75,0,4480,5643,0.960268,1.000000,1.000000,1.000000,0.987064,1.000000,1.000000,1.000000
F1_lbracket_snug,1,76,0,4480,5643,0.960268,1.000000,1.000000,1.000000,0.987064,1.000000,1.000000,1.000000
