
===== [CORRECTNESS] dilute box 40x24x40 = 38400 elements, part 1512 voxels (3.94% fill, 25.4x dilution) =====

[MECHANICS] mask determinism (pure function, fixed traversal): PASS (bit-identical across re-derivations)

----- [TRAJECTORY] dilute40_vf026  rung_vf=0.26 -> domain vf=0.0102  rmin=2.50 k=2 cadence=1 tol=1e-10 iters=40 -----
  it | active% | C_full         C_rest       dC/C     | max|dSens|/|Sens| (band) | mean|drho|  max|drho| | outside-band want | band escapes
  26 |  40.75% | 46.235442      46.235467    5.99e-07 | 2.41e-04              |  7.476e-08 7.528e-05 | 3.45e-06 |      0 (max rho 0.0010)
  27 |  40.74% | 46.065604      46.065628    5.98e-07 | 2.45e-04              |  7.388e-08 7.463e-05 | 3.48e-06 |      0 (max rho 0.0010)
  28 |  40.69% | 45.924721      45.924755    5.99e-07 | 2.47e-04              |  7.349e-08 8.363e-05 | 3.49e-06 |      0 (max rho 0.0010)
  29 |  40.67% | 45.806516      45.806536    5.99e-07 | 2.49e-04              |  7.527e-08 9.252e-05 | 3.50e-06 |      0 (max rho 0.0010)
  30 |  40.64% | 45.703761      45.703784    5.98e-07 | 2.49e-04              |  7.600e-08 1.013e-04 | 3.49e-06 |      0 (max rho 0.0010)
  31 |  40.64% | 45.612724      45.61275     5.97e-07 | 2.50e-04              |  7.811e-08 1.098e-04 | 3.48e-06 |      0 (max rho 0.0010)
  32 |  40.58% | 45.530107      45.530129    5.96e-07 | 2.51e-04              |  7.461e-08 1.191e-04 | 3.47e-06 |      0 (max rho 0.0010)
  33 |  40.55% | 45.4578        45.457818    5.96e-07 | 2.52e-04              |  6.976e-08 8.592e-05 | 3.48e-06 |      0 (max rho 0.0010)
  34 |  40.52% | 45.393906      45.393931    5.97e-07 | 2.53e-04              |  6.565e-08 9.138e-05 | 3.49e-06 |      0 (max rho 0.0010)
  35 |  40.48% | 45.340165      45.340178    5.97e-07 | 2.54e-04              |  6.472e-08 1.001e-04 | 3.49e-06 |      0 (max rho 0.0010)
  36 |  40.47% | 45.292074      45.292093    5.97e-07 | 2.55e-04              |  6.482e-08 1.080e-04 | 3.49e-06 |      0 (max rho 0.0010)
  37 |  40.46% | 45.247965      45.247996    5.96e-07 | 2.56e-04              |  6.530e-08 1.166e-04 | 3.50e-06 |      0 (max rho 0.0010)
  38 |  40.43% | 45.20736       45.207377    5.97e-07 | 2.57e-04              |  6.539e-08 1.243e-04 | 3.50e-06 |      0 (max rho 0.0010)
  39 |  40.43% | 45.169902      45.169918    5.97e-07 | 2.59e-04              |  6.563e-08 1.327e-04 | 3.51e-06 |      0 (max rho 0.0010)
  40 |  40.38% | 45.135198      45.135208    5.97e-07 | 2.61e-04              |  6.556e-08 1.415e-04 | 3.63e-06 |      0 (max rho 0.0010)
  WORST over 40 iters: dC/C=1.46e-05  max|dSens|/|Sens|=6.49e-04  mean|drho|=2.030e-07  max|drho|=1.415e-04  outside-band want=1.03e-04  band escapes=0 (max escaping rho 0.0010)

----- [TRAJECTORY] dilute40_vf068  rung_vf=0.68 -> domain vf=0.0268  rmin=2.50 k=4 cadence=1 tol=1e-10 iters=40 -----
  it | active% | C_full         C_rest       dC/C     | max|dSens|/|Sens| (band) | mean|drho|  max|drho| | outside-band want | band escapes
   1 | 100.00% | 57738.073      57738.073    0.00e+00 | 0.00e+00              |  0.000e+00 0.000e+00 | 0.00e+00 |      0 (max rho 0.0000)
   2 | 100.00% | 693.83374      693.83374    0.00e+00 | 0.00e+00              |  0.000e+00 0.000e+00 | 0.00e+00 |      0 (max rho 0.0000)
   3 |  90.36% | 142.54474      142.54478    2.34e-07 | 2.60e-05              |  3.502e-08 5.720e-06 | 1.97e-05 |      0 (max rho 0.0010)
   4 |  60.86% | 42.650272      42.650366    6.31e-07 | 8.28e-05              |  4.268e-08 2.538e-06 | 3.05e-05 |      0 (max rho 0.0010)
   5 |  45.22% | 21.787314      21.787333    2.70e-07 | 1.69e-04              |  3.297e-08 3.555e-06 | 1.77e-05 |      0 (max rho 0.0010)
   6 |  37.29% | 13.7207        13.720715    2.76e-07 | 1.66e-04              |  3.440e-08 3.484e-06 | 1.84e-05 |      0 (max rho 0.0010)
   7 |  32.83% | 9.965638       9.965648     1.75e-07 | 1.26e-04              |  2.855e-08 3.907e-06 | 9.91e-06 |      0 (max rho 0.0010)
   8 |  30.43% | 8.2018601      8.2018653    1.43e-07 | 7.70e-05              |  2.625e-08 5.108e-06 | 5.34e-06 |      0 (max rho 0.0010)
   9 |  28.44% | 7.4440491      7.4440542    1.19e-07 | 6.35e-05              |  2.200e-08 5.744e-06 | 3.64e-06 |      0 (max rho 0.0010)
  10 |  27.45% | 7.0756354      7.0756385    1.07e-07 | 5.16e-05              |  1.865e-08 5.695e-06 | 2.87e-06 |      0 (max rho 0.0010)
  11 |  26.55% | 6.8713199      6.8713209    1.00e-07 | 4.85e-05              |  1.679e-08 4.728e-06 | 2.89e-06 |      0 (max rho 0.0010)
  12 |  26.10% | 6.7433361      6.7433367    9.57e-08 | 4.60e-05              |  1.593e-08 5.720e-06 | 2.69e-06 |      0 (max rho 0.0010)
  13 |  25.84% | 6.6581308      6.6581332    9.17e-08 | 4.21e-05              |  1.490e-08 5.819e-06 | 2.52e-06 |      0 (max rho 0.0010)
  14 |  25.55% | 6.6008491      6.6008505    8.99e-08 | 3.81e-05              |  1.341e-08 5.011e-06 | 2.40e-06 |      0 (max rho 0.0010)
  15 |  25.31% | 6.5607009      6.5607017    8.85e-08 | 3.69e-05              |  1.284e-08 6.005e-06 | 2.65e-06 |      0 (max rho 0.0010)
  16 |  24.89% | 6.5307245      6.5307251    8.78e-08 | 3.76e-05              |  1.298e-08 6.100e-06 | 2.56e-06 |      0 (max rho 0.0010)
  17 |  24.74% | 6.5067558      6.5067576    8.67e-08 | 3.84e-05              |  1.222e-08 6.572e-06 | 2.56e-06 |      0 (max rho 0.0010)
  18 |  24.51% | 6.4871982      6.487198     8.59e-08 | 3.96e-05              |  1.174e-08 6.822e-06 | 2.92e-06 |      0 (max rho 0.0010)
  19 |  24.40% | 6.4712798      6.471281     8.48e-08 | 4.03e-05              |  1.107e-08 6.956e-06 | 3.00e-06 |      0 (max rho 0.0010)
