# sdf_geometry_probe port, evaluated at the reference's own grid points
x y z port_sdf reference_sdf diff
5 15 -3 -8.69782565 -1e+10 9.99999999e+09
6 15 -3 -8.64715357 -1e+10 9.99999999e+09
7 15 -3 -8.69782565 -1e+10 9.99999999e+09
8 15 -3 -8.81844614 -1e+10 9.99999999e+09
9 15 -3 -8.99402891 -1e+10 9.99999999e+09
10 15 -3 -9.26333687 -1e+10 9.99999999e+09
11 15 -3 -9.61532053 -1e+10 9.99999999e+09
12 15 -3 -10.0058125 -1e+10 9.99999999e+09
13 15 -3 -10.4494503 -1e+10 9.99999999e+09
14 15 -3 -10.9562983 -1e+10 9.99999999e+09
15 15 -3 -11.5135676 -1e+10 9.99999999e+09
-3 -3 -2 -10.9562983 -1e+10 9.99999999e+09
-2 -3 -2 -10.3794432 -1e+10 9.99999999e+09
-1 -3 -2 -9.84688301 -1e+10 9.99999999e+09
0 -3 -2 -9.37910763 -1e+10 9.99999999e+09
1 -3 -2 -8.97237976 -1e+10 9.99999999e+09
2 -3 -2 -8.60282287 -1e+10 9.99999999e+09
3 -3 -2 -8.31451695 -1e+10 9.99999999e+09
4 -3 -2 -8.12485667 -1e+10 9.99999999e+09
5 -3 -2 -8.00414046 -1e+10 9.99999999e+09
6 -3 -2 -7.94904763 -1e+10 9.99999999e+09
7 -3 -2 -8.00413903 -1e+10 9.99999999e+09
8 -3 -2 -8.12485667 -1e+10 9.99999999e+09
9 -3 -2 -8.31451695 -1e+10 9.99999999e+09
10 -3 -2 -8.60282287 -1e+10 9.99999999e+09
11 -3 -2 -8.97238005 -1e+10 9.99999999e+09
12 -3 -2 -9.37910763 -1e+10 9.99999999e+09
13 -3 -2 -9.84688301 -1e+10 9.99999999e+09
14 -3 -2 -10.3794432 -1e+10 9.99999999e+09
15 -3 -2 -10.9562983 -1e+10 9.99999999e+09
-3 -2 -2 -10.3794432 -1e+10 9.99999999e+09
-2 -2 -2 -9.78151675 -1e+10 9.99999999e+09
-1 -2 -2 -9.22708784 -1e+10 9.99999999e+09
0 -2 -2 -8.73229714 -1e+10 9.99999999e+09
1 -2 -2 -8.31000279 -1e+10 9.99999999e+09
2 -2 -2 -7.93341573 -1e+10 9.99999999e+09
3 -2 -2 -7.62141647 -1e+10 9.99999999e+09
4 -2 -2 -7.4166401 -1e+10 9.99999999e+09
5 -2 -2 -7.29291521 -1e+10 9.99999999e+09
6 -2 -2 -7.23294001 -1e+10 9.99999999e+09
7 -2 -2 -7.29291521 -1e+10 9.99999999e+09
8 -2 -2 -7.4166401 -1e+10 9.99999999e+09
9 -2 -2 -7.62141647 -1e+10 9.99999999e+09
10 -2 -2 -7.93341573 -1e+10 9.99999999e+09
11 -2 -2 -8.31000279 -1e+10 9.99999999e+09
12 -2 -2 -8.73229714 -1e+10 9.99999999e+09
13 -2 -2 -9.22708784 -1e+10 9.99999999e+09
14 -2 -2 -9.78151675 -1e+10 9.99999999e+09
15 -2 -2 -10.3794432 -1e+10 9.99999999e+09
-3 -1 -2 -9.84688301 -1e+10 9.99999999e+09
-2 -1 -2 -9.22708784 -1e+10 9.99999999e+09
-1 -1 -2 -8.64954218 -1e+10 9.99999999e+09
0 -1 -2 -8.12516358 -1e+10 9.99999999e+09
1 -1 -2 -7.67783895 -1e+10 9.99999999e+09
2 -1 -2 -7.28385578 -1e+10 9.99999999e+09
3 -1 -2 -6.94846571 -1e+10 9.99999999e+09
4 -1 -2 -6.72692485 -1e+10 9.99999999e+09
5 -1 -2 -6.6005447 -1e+10 9.99999999e+09
6 -1 -2 -6.53592753 -1e+10 9.99999999e+09
7 -1 -2 -6.6005447 -1e+10 9.99999999e+09
8 -1 -2 -6.72692485 -1e+10 9.99999999e+09
9 -1 -2 -6.94846571 -1e+10 9.99999999e+09
10 -1 -2 -7.28385578 -1e+10 9.99999999e+09
11 -1 -2 -7.67783895 -1e+10 9.99999999e+09
12 -1 -2 -8.12516358 -1e+10 9.99999999e+09
13 -1 -2 -8.64954218 -1e+10 9.99999999e+09
14 -1 -2 -9.22708784 -1e+10 9.99999999e+09
15 -1 -2 -9.84688301 -1e+10 9.99999999e+09
-3 0 -2 -9.37910763 -1e+10 9.99999999e+09
-2 0 -2 -8.73228947 -1e+10 9.99999999e+09
-1 0 -2 -8.12516358 -1e+10 9.99999999e+09
0 0 -2 -7.56945284 -1e+10 9.99999999e+09
1 0 -2 -7.09003664 -1e+10 9.99999999e+09
