
=== 96^3 design-box run, rung 0 (146 iterations) ===
 iter       compliance    c[i]/c[0]  c[i]/c[i-1]        cg  cg/cg[0]     ms/ms[0]
 iter       compliance    c[i]/c[0]  c[i]/c[i-1]        cg  cg/cg[0]     ms/ms[0]
    1           167427            1            1     43681         1           -1
    2           167427            1            1     43394     0.993           -1
    3           167427            1            1     43332     0.992           -1
    4           167427            1            1     43029     0.985           -1
    5           167427            1            1     43880         1           -1
    6           167427            1            1     43818         1           -1
    7           167427            1            1     43516     0.996           -1
    8           167427            1            1     43628     0.999           -1
    9           167427            1            1     43676         1           -1
   10           167427            1            1     43592     0.998           -1
   11           167427            1            1     43286     0.991           -1
   12           167427            1            1     43675         1           -1
   13           167427            1            1     43413     0.994           -1
   14           167427            1            1     43330     0.992           -1
   15           167427            1            1     43795         1           -1
   16           167427            1            1     43492     0.996           -1
   17           167427            1            1     43711         1           -1
   18           167427            1            1     43608     0.998           -1
   19           167427            1            1     43675         1           -1
   20           167427            1            1     43721         1           -1
   21           167427            1            1     43408     0.994           -1
   22           167427            1            1     43472     0.995           -1
   23           167427            1            1     43749         1           -1
   24           167427            1            1     43997      1.01           -1
   25           167427            1            1     43239      0.99           -1
   26           167427            1            1     43341     0.992           -1
   27           167427            1            1     43703         1           -1
-> peak LEVEL ratio 1, peak STEP ratio 1

=== evidence/2026-08-03-preflight-feasibility-and-divergence/maintainer-job/iterations.csv, rung 0 (3 iterations) ===
 iter       compliance    c[i]/c[0]  c[i]/c[i-1]        cg  cg/cg[0]     ms/ms[0]
    1          4276.99            1            1       298         1            1
    2      7.22166e+06         1688         1688      3755      12.6        77.22
    3      3.19984e+07         7482        4.431     67094       225        850.6
-> peak LEVEL ratio 7481.53, peak STEP ratio 1688.49

=== LIVE cantilever vf{0.6,0.03}, rung 0 (38 iterations) ===
 iter       compliance    c[i]/c[0]  c[i]/c[i-1]        cg  cg/cg[0]     ms/ms[0]
    1            70199            1            1       321         1            1
    2          51026.9       0.7269       0.7269       363      1.13        1.136
    3          38538.4        0.549       0.7553       396      1.23        1.243
    4          33738.2       0.4806       0.8754       414      1.29        1.286
    5            32260       0.4596       0.9562       424      1.32        1.323
    6          31554.1       0.4495       0.9781       427      1.33        1.342
    7          31089.6       0.4429       0.9853       435      1.36        1.362
    8          30728.5       0.4377       0.9884       440      1.37        1.362
    9          30410.2       0.4332       0.9896       436      1.36        1.351
   10          30159.7       0.4296       0.9918       435      1.36        1.349
   11          29949.6       0.4266        0.993       436      1.36         1.36
   12          29718.5       0.4233       0.9923       436      1.36         1.35
   13          29372.3       0.4184       0.9884       440      1.37        1.364
   14            28754       0.4096       0.9789       446      1.39        1.401
   15          27743.3       0.3952       0.9648       447      1.39        1.401
   16          26771.4       0.3814        0.965       456      1.42        1.418
   17          26085.4       0.3716       0.9744       460      1.43        1.417
   18          25682.9       0.3659       0.9846       455      1.42        1.414
   19          25434.5       0.3623       0.9903       454      1.41        1.405
   20          25263.1       0.3599       0.9933       456      1.42        1.443
   21          25157.9       0.3584       0.9958       452      1.41         1.42
   22          25083.6       0.3573        0.997       452      1.41        1.428
   23          25031.3       0.3566       0.9979       450       1.4        1.429
   24          25001.9       0.3562       0.9988       449       1.4        1.418
   25          24987.2       0.3559       0.9994       447      1.39        1.408
   26          24974.8       0.3558       0.9995       444      1.38        1.386
   27          24961.3       0.3556       0.9995       446      1.39        1.394
   28            24952       0.3554       0.9996       447      1.39        1.403
   29          24944.5       0.3553       0.9997       447      1.39        1.391
   30          24940.2       0.3553       0.9998       444      1.38        1.382
   31          24937.3       0.3552       0.9999       445      1.39        1.402
   32          24934.9       0.3552       0.9999       446      1.39        1.403
   33          24933.3       0.3552       0.9999       445      1.39        1.397
   34          24932.4       0.3552            1       444      1.38          1.4
   35          24931.7       0.3552            1       444      1.38        1.379
   36          24931.2       0.3551            1       443      1.38        1.391
   37          24930.7       0.3551            1       443      1.38        1.377
   38          24930.3       0.3551            1       441      1.37        1.391
-> peak LEVEL ratio 1, peak STEP ratio 1

=== LIVE cantilever vf{0.6,0.03}, rung 1 (40 iterations) ===
 iter       compliance    c[i]/c[0]  c[i]/c[i-1]        cg  cg/cg[0]     ms/ms[0]
    1      2.33771e+08            1            1       989         1            1
    2      5.75093e+08         2.46         2.46      1952      1.97         1.97
    3      2.05032e+12         8771         3565      9956      10.1        10.06
    4      8.45341e+12    3.616e+04        4.123      2026      2.05        2.043
    5      4.15993e+12    1.779e+04       0.4921     10737      10.9        10.55
    6      6.89041e+12    2.947e+04        1.656     10378      10.5        10.48
    7      3.49268e+12    1.494e+04       0.5069      9446      9.55        9.484
    8      6.10363e+12    2.611e+04        1.748     14014      14.2        14.07
    9      3.11917e+12    1.334e+04        0.511      6688      6.76        6.794
   10       6.2038e+12    2.654e+04        1.989      5948      6.01        6.056
   11      1.20199e+12         5142       0.1938      4413      4.46        4.445
   12      7.17949e+12    3.071e+04        5.973      4884      4.94        4.899
   13      1.59699e+12         6831       0.2224      4896      4.95        4.821
   14      5.02135e+12    2.148e+04        3.144      4169      4.22        4.101
   15      1.35292e+12         5787       0.2694      5523      5.58        5.596
   16      3.76505e+12    1.611e+04        2.783      4052       4.1        4.208
   17      7.80817e+11         3340       0.2074      4655      4.71        4.751
   18       1.1043e+12         4724        1.414      3268       3.3        3.292
   19      2.10896e+11        902.1        0.191      3461       3.5        3.448
   20      3.19059e+10        136.5       0.1513      2275       2.3        2.326
   21      3.63983e+09        15.57       0.1141      1453      1.47        1.461
   22      1.15909e+09        4.958       0.3184      1175      1.19        1.171
   23      5.65337e+08        2.418       0.4877       999      1.01       0.9927
   24      3.70175e+08        1.583       0.6548      1007      1.02        1.002
   25      2.85187e+08         1.22       0.7704      1042      1.05        1.037
   26      2.34849e+08        1.005       0.8235       933     0.943       0.9278
   27      1.98749e+08       0.8502       0.8463       955     0.966       0.9512
   28      1.72423e+08       0.7376       0.8675       980     0.991       0.9737
   29       1.5128e+08       0.6471       0.8774      1034      1.05        1.027
   30      1.31809e+08       0.5638       0.8713      1049      1.06        1.126
   31      1.13549e+08       0.4857       0.8615      1080      1.09        1.114
   32      9.69633e+07       0.4148       0.8539      1118      1.13        1.171
   33      8.01642e+07       0.3429       0.8267      1138      1.15        1.175
   34      6.62869e+07       0.2836       0.8269      1183       1.2        1.207
   35      5.61198e+07       0.2401       0.8466      1218      1.23        1.225
   36      4.79821e+07       0.2053        0.855      1251      1.26        1.253
   37      4.19397e+07       0.1794       0.8741      1258      1.27        1.269
   38      3.76925e+07       0.1612       0.8987      1270      1.28        1.271
   39      3.42305e+07       0.1464       0.9082      1373      1.39        1.365
   40      3.14223e+07       0.1344        0.918      1297      1.31        1.292
-> peak LEVEL ratio 36161, peak STEP ratio 3565.2
