iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
35,0.00250967671337,75414,75414,0.679993507899,-0.00180063562803,0.0483362901927,2.90935338145e-12,5.29399322753e-12,2555,1,0,24942.7528749,19.3505001068,27204,0,0,0.406230993123,0.999869269159,0,0.1,0,0,19964.3947712,1,1,0,0,0,0,0,43.0671568341
36,0.00251325427741,75414,75414,0.679993507899,-0.0102901158908,0.0483362901927,3.38964175207e-12,5.55580157402e-12,2563,1,0,25349.0965834,16.0835418701,27180,0,0,0.40569838361,0.999869269159,0,0.1,0,0,19836.3102231,1,1,0,0,0,0,0,25.5860047922
37,0.00251232702581,75414,75414,0.679993507899,0.00357960851385,0.0483362901927,3.35696443411e-12,5.40295892262e-12,2556,1,0,25417.7380843,13.5412077904,27260,0,0,0.406656026558,0.999869269159,0,0.1,0,0,20041.9913935,1,1,0,0,0,0,0,25.6536477092
38,0.0025111349617,75414,75414,0.679993507899,6.22144476699e-05,0.0483362901927,3.32368989311e-12,5.34652791963e-12,2566,1,0,25335.5840421,16.4615001678,27234,0,0,0.407261272469,0.999869269159,0,0.1,0,0,20045.4458901,1,1,0,0,0,0,0,25.5365964589
39,0.00251005228967,75414,75414,0.679993507899,-0.000845919425303,0.0483362901927,3.02115586276e-12,5.28253969342e-12,2565,1,0,28738.2965832,12.7297501564,27239,0,0,0.407628233,0.999869269159,0,0.1,0,0,20043.5912172,1,1,0,0,0,0,0,28.8597582499
40,0.00250869626535,75414,75414,0.679993507899,-0.00138005048429,0.0483362901927,2.92315770777e-12,5.24715293904e-12,2562,1,0,25441.7635412,14.079750061,27178,0,0,0.398548981262,0.999732360203,0,0.1,0,0,20005.4110301,1,1,0,0,0,0,0,43.905309875
41,0.00251340329537,75415,75415,0.680002524706,-0.00803565957276,0.0483362901927,2.9342191966e-12,5.53507567247e-12,2563,1,0,25554.8035002,54.4397916794,27144,0,0,0.398439262709,0.999732360203,0,0.1,0,0,19944.1740913,1,1,0,0,0,0,0,25.8742410839
42,0.00251252802833,75414,75414,0.679993507899,0.00351537922363,0.0483362901927,2.74021808192e-12,5.41443990974e-12,2570,1,0,28318.355917,14.626083374,27200,0,0,0.399188288559,0.999732360203,0,0.1,0,0,20121.1341624,1,1,0,0,0,0,0,28.5350355841
43,0.00251139767936,75414,75414,0.679993507899,6.12641589121e-05,0.0483362901927,2.55589429754e-12,5.30547246533e-12,2569,1,0,25609.2080417,14.3725423813,27323,0,0,0.39984232676,0.999732360203,0,0.1,0,0,20237.4168758,1,1,0,0,0,0,0,25.8328266661
44,0.00251022613487,75415,75415,0.680002524706,-0.0013490387392,0.0483362901927,2.41590724833e-12,5.29826066326e-12,2564,1,0,28898.1395841,13.0211658478,27238,0,0,0.400449154823,0.999732360203,0,0.1,0,0,20128.2330378,1,1,0,0,0,0,0,29.114753583
