iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,iteration_wall_s
36,0.00264046010711,75415,75415,0.680002524706,-0.0209156423807,0.0483362901927,3.88326741699e-12,7.91943983785e-12,2434,1,0,17650.8301673,13.3313751221,25550,0,0,0.315865998642,0.999477111722,0,0.1,0,0,35281.2751915,1,1,0,28.1737632919
37,0.00266392330544,75415,75415,0.680002524706,0.0270370393991,0.0483362901927,4.93404651112e-12,9.80991372968e-12,2432,1,0,17573.2932501,14.2179999352,26986,0,0,0.324204465066,0.999477111722,0,0.1,0,0,36488.8510722,1,1,0,28.216298583
38,0.00264715034263,75415,75415,0.680002524706,-0.0175405293703,0.0483362901927,2.47889649453e-12,8.4794253833e-12,2436,1,0,17487.4750829,13.0282092094,26148,0,0,0.318041503583,0.999477111722,0,0.1,0,0,35866.595132,1,1,0,27.8822639161
39,0.00267507642981,75414,75414,0.679993507899,0.0258628278971,0.0483362901927,4.56889555803e-12,1.07824993008e-11,2433,1,0,17549.2810411,11.7374167442,27088,0,0,0.327534702986,0.999477111722,0,0.1,0,0,36965.6581358,1,1,0,27.9141402091
40,0.00264612176804,75415,75415,0.680002524706,-0.0283505767584,0.0483362901927,2.53597904401e-12,8.36803022751e-12,2437,1,0,17450.6354589,11.7435002327,26026,0,0,0.296579204381,0.999748748719,0,0.1,0,0,35845.9045281,1,1,0,44.4331686664
41,0.00266910417699,75415,75415,0.680002524706,0.0361490994692,0.0483362901927,4.35472511668e-12,1.01179445785e-11,2433,1,0,17526.5747499,11.7889580727,26674,0,0,0.299416144963,0.999748748719,0,0.1,0,0,36201.77659,1,1,0,28.0543669998
42,0.00264409938253,75414,75414,0.679993507899,-0.0278394669294,0.0483362901927,2.72994279682e-12,8.08654860678e-12,2437,1,0,17740.7730827,15.6681251526,25195,0,0,0.295342438304,0.999748748719,0,0.1,0,0,35210.7377112,1,1,0,28.1567525002
43,0.00267040171764,75414,75414,0.679993507899,0.0278178602457,0.0483362901927,4.44643939428e-12,1.02170504965e-11,2433,1,0,17485.0236669,11.6851658821,26611,0,0,0.299588192916,0.999748748719,0,0.1,0,0,36275.4238931,1,1,0,27.9095618748
44,0.00264405632601,75414,75414,0.679993507899,-0.0292930752039,0.0483362901927,2.70509285866e-12,8.07309208954e-12,2437,1,0,17411.9752913,11.6430840492,25106,0,0,0.295752495159,0.999748748719,0,0.1,0,0,35233.9733118,1,1,0,27.9393702922
45,0.00266969816787,75415,75415,0.680002524706,0.0273678451777,0.0483362901927,4.38191847485e-12,1.01439940238e-11,2433,1,0,17502.0336671,12.1921672821,26534,0,0,0.303917685133,0.999487400329,0,0.1,0,0,36280.5245449,1,1,0,44.2913703327
46,0.00264102860922,75415,75415,0.680002524706,-0.0223096460104,0.0483362901927,3.01730973917e-12,7.75933570042e-12,2437,1,0,17601.2445002,13.0138750076,24429,0,0,0.30036305916,0.999487400329,0,0.1,0,0,34490.0220338,1,1,0,28.251992208
47,0.00266652599272,75414,75414,0.679993507899,0.0304851680994,0.0483362901927,3.50925007411e-12,9.82032150255e-12,2435,1,0,17379.2547078,11.7724170685,26089,0,0,0.305860023457,0.999487400329,0,0.1,0,0,35719.2058229,1,1,0,27.8517290414
48,0.00264608288239,75414,75414,0.679993507899,-0.0227246433496,0.0483362901927,2.44586713099e-12,8.20801735126e-12,2434,1,0,17533.657125,12.7334170341,25098,0,0,0.302791075572,0.999487400329,0,0.1,0,0,35071.7500959,1,1,0,28.1026366251
49,0.00267449084565,75414,75414,0.679993507899,0.0278260558844,0.0483362901927,4.92730313393e-12,1.06179262623e-11,2433,1,0,17418.6031251,12.0907082558,26126,0,0,0.306509738647,0.999487400329,0,0.1,0,0,36142.7457281,1,1,0,28.1781570418
50,0.00264662168153,75415,75415,0.680002524706,-0.0288132578135,0.0483362901927,2.55062815554e-12,8.25846151311e-12,2436,1,0,17415.776,11.8677501678,24970,0,0,0.306845722954,0.99936222488,0,0.1,0,0,35078.2882511,1,1,0,44.2419741252
51,0.00266632158938,75415,75415,0.680002524706,0.034150108695,0.0483362901927,3.32715130169e-12,9.77916488752e-12,2432,1,0,17474.4414577,12.4542498589,25686,0,0,0.312842258621,0.99936222488,0,0.1,0,0,35440.325397,1,1,0,27.9097397919
52,0.00264466661977,75415,75415,0.680002524706,-0.0256773084402,0.0483362901927,2.92275331043e-12,8.03506812654e-12,2434,1,0,17463.8439589,11.9029579163,24440,0,0,0.308914722704,0.99936222488,0,0.1,0,0,34592.1569922,1,1,0,27.9023692082
53,0.002668464964,75414,75414,0.679993507899,0.0262055546045,0.0483362901927,3.56459956323e-12,1.00094225091e-11,2431,1,0,17656.2514162,12.4285001755,25688,0,0,0.313180772483,0.99936222488,0,0.1,0,0,35590.8606335,1,1,0,28.092043166
54,0.00264439254745,75415,75415,0.680002524706,-0.0280816107988,0.0483362901927,2.98560344407e-12,8.00820794393e-12,2435,1,0,17503.9667497,11.8263750076,24377,0,0,0.308905841146,0.99936222488,0,0.1,0,0,34628.1868305,1,1,0,27.9048392908
55,0.00266900070452,75414,75414,0.679993507899,0.0272694975138,0.0483362901927,3.53651340743e-12,1.00223247852e-11,2431,1,0,17442.467083,12.1748752594,25657,0,0,0.300141011971,0.999559866009,0,0.1,0,0,35678.3781813,1,1,0,44.3502933751
56,0.00264096996703,75414,75414,0.679993507899,-0.0231962651014,0.0483362901927,3.61180689035e-12,7.68732081951e-12,2436,1,0,17660.5057092,11.704957962,23809,0,0,0.30370619959,0.999559866009,0,0.1,0,0,33974.7306747,1,1,0,28.1051942082
57,0.00266475208751,75414,75414,0.679993507899,0.0300507992506,0.0483362901927,2.98459661488e-12,9.6319884258e-12,2433,1,0,17746.6731672,11.7455410957,25201,0,0,0.300359161615,0.999559866009,0,0.1,0,0,35178.4524435,1,1,0,28.2027017912
58,0.00264635290871,75414,75414,0.679993507899,-0.0214632600546,0.0483362901927,2.2764733957e-12,8.1617904734e-12,2435,1,0,17595.243084,12.3443751335,24364,0,0,0.303533674373,0.999559866009,0,0.1,0,0,34610.9071122,1,1,0,27.9693242908
59,0.00267365627424,75415,75415,0.680002524706,0.027583912015,0.0483362901927,3.83314624122e-12,1.04653332548e-11,2431,1,0,17447.8482499,11.8426656723,25419,0,0,0.300360114285,0.999559866009,0,0.1,0,0,35693.0001753,1,1,0,27.8395370417
60,0.00264689252731,75415,75415,0.680002524706,-0.0286620110273,0.0483362901927,2.72752099618e-12,8.21540140096e-12,2435,1,0,17571.0686669,11.7926249504,24291,0,0,0.280183569706,0.999325973279,0,0.1,0,0,34655.1256143,1,1,0,44.353783417
