gap,sub,n,ref_below_a,ref_below_b,subspace_change,rho_L2_change
iter20->30,88,3630,6,6,0.00000,0.02031
iter20->30,90,2700,0,0,0.03314,0.02031
iter20->30,92,3300,6,6,0.00000,0.02031
iter20->30,94,3300,6,6,0.00000,0.02031
iter20->30,96,2970,0,0,0.00002,0.02031
iter20->30,98,3630,6,6,0.00002,0.02031
iter20->30,100,3630,6,6,0.00000,0.02031
iter20->30,102,2700,0,0,0.03636,0.02031
iter20->30,104,3300,6,6,0.00000,0.02031
iter20->30,106,3300,6,6,0.00000,0.02031
