tag,rung,iter,compliance,change,beta,move,osc_fraction,plateau
fixed,0,46,12.102594,0.104405,1,0.2,-1,0
fixed,0,47,12.100707,0.0974006,1,0.2,-1,0
fixed,0,48,12.099362,0.128474,1,0.2,-1,0
fixed,0,49,12.098094,0.0829823,1,0.2,-1,0
fixed,0,50,12.097021,0.0876428,1,0.2,-1,0
fixed,0,51,12.096208,0.110626,1,0.2,-1,0
fixed,0,52,12.095318,0.168517,1,0.2,-1,0
fixed,0,53,12.094077,0.131511,1,0.2,-1,0
fixed,0,54,12.09311,0.1998,1,0.2,-1,0
fixed,0,55,12.091853,0.1998,1,0.2,-1,0
fixed,0,56,12.090165,0.192263,1,0.2,-1,0
fixed,0,57,12.088948,0.153859,1,0.2,-1,1
fixed,0,58,11.808494,0.0464398,2,0.2,-1,0
fixed,0,59,11.833653,0.0213061,2,0.2,-1,0
fixed,0,60,11.83133,0.0211213,2,0.2,-1,0
fixed,0,61,11.830856,0.0232741,2,0.2,-1,0
fixed,0,62,11.830539,0.0272988,2,0.2,-1,0
fixed,0,63,11.830235,0.0321705,2,0.2,-1,0
fixed,0,64,11.829931,0.0391943,2,0.2,-1,0
fixed,0,65,11.829589,0.0498503,2,0.2,-1,0
fixed,0,66,11.829165,0.0656357,2,0.2,-1,0
fixed,0,67,11.828603,0.093779,2,0.2,-1,0
fixed,0,68,11.827906,0.114677,2,0.2,-1,1
fixed,0,69,11.268221,0.118397,4,0.2,-1,0
fixed,0,70,11.300967,0.0933238,4,0.2,-1,0
fixed,0,71,11.295479,0.114689,4,0.2,-1,0
fixed,0,72,11.293692,0.0385134,4,0.2,-1,0
fixed,0,73,11.292639,0.044473,4,0.2,-1,0
fixed,0,74,11.292057,0.0507013,4,0.2,-1,0
fixed,0,75,11.291485,0.0582789,4,0.2,-1,0
fixed,0,76,11.29088,0.0689498,4,0.2,-1,0
fixed,0,77,11.290217,0.0844069,4,0.2,-1,0
fixed,0,78,11.289483,0.111412,4,0.2,-1,0
fixed,0,79,11.28854,0.157208,4,0.2,-1,1
fixed,0,80,10.898672,0.15078,8,0.2,-1,0
fixed,0,81,10.895886,0.0985894,8,0.2,-1,0
fixed,0,82,10.893469,0.0616905,8,0.2,-1,0
fixed,0,83,10.892211,0.113145,8,0.2,-1,0
fixed,0,84,10.891169,0.10608,8,0.2,-1,0
fixed,0,85,10.890499,0.0419199,8,0.2,-1,0
fixed,0,86,10.890263,0.0460865,8,0.2,-1,0
fixed,0,87,10.890077,0.0516418,8,0.2,-1,0
fixed,0,88,10.88995,0.0499759,8,0.2,-1,0
fixed,0,89,10.889862,0.0402646,8,0.2,-1,0
fixed,0,90,10.889806,0.0274113,8,0.2,-1,1
fixed,0,91,10.827674,0.0999,16,0.1,-1,0
fixed,0,92,10.825614,0.0999,16,0.1,-1,0
fixed,0,93,10.825157,0.0999,16,0.1,-1,0
fixed,0,94,10.821882,0.0999,16,0.1,-1,0
fixed,0,95,10.822803,0.0999,16,0.1,-1,0
fixed,0,96,10.82197,0.0850856,16,0.1,-1,0
fixed,0,97,10.821568,0.0651676,16,0.1,-1,0
fixed,0,98,10.821368,0.0731764,16,0.1,-1,0
fixed,0,99,10.821247,0.0802297,16,0.1,-1,0
fixed,0,100,10.821156,0.0829803,16,0.1,-1,0
fixed,0,101,10.821104,0.0799405,16,0.1,-1,1
fixed,0,102,10.817146,0.04995,32,0.05,-1,1
fixed,0,103,10.818587,0.04995,32,0.05,-1,1
fixed,0,104,10.819182,0.04995,32,0.05,-1,1
fixed,0,105,10.818921,0.04995,32,0.05,-1,1
fixed,0,106,10.818906,0.04995,32,0.05,-1,1
fixed,0,107,10.818896,0.0261574,32,0.05,-1,1
