angle_deg,radius_mm
-19.808,19.5208
-18.5566,19.9272
-17.1542,20.1859
-164.758,20.1723
-15.2406,20.172
-167.036,19.9919
-12.9621,19.9916
-169.379,19.7929
-10.6196,19.7927
-171.71,19.644
-8.28945,19.6439
-174.055,19.5436
-5.94422,19.5436
-176.424,19.4782
-3.57611,19.4783
-178.806,19.445
-1.1937,19.445
178.806,19.445
1.19346,19.445
176.423,19.4783
3.57644,19.4783
174.055,19.5439
5.94541,19.5438
171.709,19.6446
8.29105,19.6446
169.379,19.7938
10.6211,19.7938
167.036,19.9928
12.9637,19.9927
164.758,20.1728
15.2423,20.1728
162.847,20.1857
17.1558,20.1859
161.445,19.9273
160.192,19.5211
158.71,19.3037
19.8098,19.52
21.291,19.3034
18.5577,19.9265
156.692,19.4256
23.3096,19.4253
154.441,19.7311
25.5604,19.7311
152.501,19.902
27.5024,19.9024
150.978,19.7526
149.523,19.432
147.939,19.3103
30.4783,19.4301
32.0611,19.3101
29.025,19.7518
146.032,19.5568
33.9714,19.5574
144.011,19.9994
35.9873,19.9992
142.204,20.2992
37.7598,20.292
140.648,20.2537
139.082,20.0638
137.457,20.0139
40.8955,20.0785
42.5199,20.0129
39.3012,20.2605
135.799,20.0979
44.186,20.0943
134.192,20.0937
132.522,20.0123
130.915,20.0668
47.4587,20.0131
49.0857,20.0632
45.8109,20.0926
129.326,20.2653
50.6492,20.2535
127.758,20.292
125.983,19.9997
123.971,19.5581
122.062,19.3105
120.477,19.431
57.9203,19.3192
59.5234,19.4316
56.0014,19.5721
53.9747,20.0131
52.1845,20.2966
119.025,19.7515
60.9795,19.7522
117.503,19.9025
115.561,19.7312
113.31,19.4256
111.291,19.3036
109.809,19.521
68.712,19.3028
70.1912,19.521
66.6928,19.4247
64.4428,19.7306
62.502,19.9022
108.556,19.9263
71.4448,19.9272
107.156,20.1858
105.243,20.1727
102.964,19.9927
100.621,19.7937
98.291,19.6446
95.9454,19.5438
93.5764,19.4783
91.1935,19.445
88.8063,19.445
86.4239,19.4783
84.0558,19.5436
81.7106,19.6439
79.3807,19.7928
77.0386,19.9918
74.7607,20.1722
72.8474,20.186
