config,phase,iter,compliance,cg_iters,used_mg,geneo_action,geneo_dim,recycle_dim
plain,p6,101,1.34635689e+02,589,0,0,0,0
plain,p6,102,1.34626586e+02,589,0,0,0,0
plain,p6,103,1.34619264e+02,589,0,0,0,0
plain,p6,104,1.34608316e+02,561,0,0,0,0
plain,p6,105,1.34595884e+02,560,0,0,0,0
plain,p6,106,1.34583157e+02,588,0,0,0,0
plain,p6,107,1.34567780e+02,588,0,0,0,0
plain,p6,108,1.34547405e+02,562,0,0,0,0
plain,p6,109,1.34523194e+02,590,0,0,0,0
plain,p6,110,1.34491905e+02,590,0,0,0,0
plain,p6,111,1.34463978e+02,563,0,0,0,0
plain,p6,112,1.34453367e+02,561,0,0,0,0
plain,p6,113,1.34444410e+02,590,0,0,0,0
plain,p6,114,1.34434785e+02,590,0,0,0,0
plain,p6,115,1.34425719e+02,591,0,0,0,0
