case,nx,ny,nz,on_cube_axis,support_voxels,macro_il_tension_mpa,macro_il_margin,macro_worst_margin,strut_in_plane,strut_interlayer,strut_il_bound_mpa,il_cross_factor,horiz_len_frac,horiz_count_frac,min_phi_deg,mean_phi_deg,build_height_voxels,footprint_voxels,min_feature_violations
B,0.577350269,0.577350269,0.577350269,0,83,13.270635489,2.279468834,1.603818656,0.754249948,0.203861714,148.384899901,1.154700538,0.500000000,0.500000000,0.000000,27.367805,22,9,0
C,-0.577350269,-0.577350269,-0.577350269,0,131,13.303247613,2.273880851,1.328530722,0.461644855,0.124782667,242.421489932,1.154700538,0.500000000,0.500000000,0.000000,27.367805,32,4,0
C,0.000000000,-0.707106781,-0.707106781,0,23,23.472755929,1.288728094,1.288728094,0.461644855,0.174214584,173.636439198,0.577350269,0.166666667,0.166666667,0.000000,35.000000,40,18,0
C,0.577350269,-0.577350269,-0.577350269,0,131,29.266916977,1.033590249,1.033590249,0.461644855,0.124782667,242.421489932,1.154700538,0.500000000,0.500000000,0.000000,27.367805,44,4,0
C,-0.707106781,0.000000000,-0.707106781,0,52,16.708656236,1.810438827,1.328530722,0.461644855,0.174214584,173.636439198,0.577350269,0.166666667,0.166666667,0.000000,35.000000,26,53,0
C,0.000000000,0.000000000,-1.000000000,1,0,4.764197100,6.349443436,1.328530722,0.461644855,0.288503571,104.851388464,0.000000000,0.333333333,0.333333333,0.000000,30.000000,8,1002,0
C,0.707106781,0.000000000,-0.707106781,0,32,16.708656236,1.810438827,1.328530722,0.461644855,0.174214584,173.636439198,0.577350269,0.166666667,0.166666667,0.000000,35.000000,26,114,0
C,-0.577350269,0.577350269,-0.577350269,0,141,29.266916977,1.033590249,1.033590249,0.461644855,0.124782667,242.421489932,1.154700538,0.500000000,0.500000000,0.000000,27.367805,44,18,0
C,0.000000000,0.707106781,-0.707106781,0,22,23.472755929,1.288728094,1.288728094,0.461644855,0.174214584,173.636439198,0.577350269,0.166666667,0.166666667,0.000000,35.000000,40,27,0
C,0.577350269,0.577350269,-0.577350269,0,141,13.303247613,2.273880851,1.328530722,0.461644855,0.124782667,242.421489932,1.154700538,0.500000000,0.500000000,0.000000,27.367805,32,18,0
C,-0.707106781,-0.707106781,0.000000000,0,48,16.725962472,1.808565579,1.328530722,0.461644855,0.174214584,173.636439198,0.577350269,0.166666667,0.166666667,0.000000,35.000000,34,24,0
C,0.000000000,-1.000000000,0.000000000,1,88,43.415142187,0.696761509,0.696761509,0.461644855,0.288503571,104.851388464,0.000000000,0.333333333,0.333333333,0.000000,30.000000,48,96,0
C,0.707106781,-0.707106781,0.000000000,0,48,40.763596241,0.742083692,0.742083692,0.461644855,0.174214584,173.636439198,0.577350269,0.166666667,0.166666667,0.000000,35.000000,49,24,0
C,-1.000000000,0.000000000,0.000000000,1,304,27.376285109,1.104970959,1.104970959,0.461644855,0.288503571,104.851388464,0.000000000,0.333333333,0.333333333,0.000000,30.000000,29,288,0
C,1.000000000,0.000000000,0.000000000,1,144,27.376285109,1.104970959,1.104970959,0.461644855,0.288503571,104.851388464,0.000000000,0.333333333,0.333333333,0.000000,30.000000,29,616,0
C,-0.707106781,0.707106781,0.000000000,0,32,40.763596241,0.742083692,0.742083692,0.461644855,0.174214584,173.636439198,0.577350269,0.166666667,0.166666667,0.000000,35.000000,49,104,0
C,0.000000000,1.000000000,0.000000000,1,48,43.415142187,0.696761509,0.696761509,0.461644855,0.288503571,104.851388464,0.000000000,0.333333333,0.333333333,0.000000,30.000000,48,160,0
C,0.707106781,0.707106781,0.000000000,0,32,16.725962472,1.808565579,1.328530722,0.461644855,0.174214584,173.636439198,0.577350269,0.166666667,0.166666667,0.000000,35.000000,34,104,0
C,-0.577350269,-0.577350269,0.577350269,0,131,13.303247613,2.273880851,1.328530722,0.461644855,0.124782667,242.421489932,1.154700538,0.500000000,0.500000000,0.000000,27.367805,32,4,0
C,0.000000000,-0.707106781,0.707106781,0,23,23.472755929,1.288728094,1.288728094,0.461644855,0.174214584,173.636439198,0.577350269,0.166666667,0.166666667,0.000000,35.000000,40,18,0
C,0.577350269,-0.577350269,0.577350269,0,131,29.266916977,1.033590249,1.033590249,0.461644855,0.124782667,242.421489932,1.154700538,0.500000000,0.500000000,0.000000,27.367805,44,4,0
C,-0.707106781,0.000000000,0.707106781,0,52,16.708656236,1.810438827,1.328530722,0.461644855,0.174214584,173.636439198,0.577350269,0.166666667,0.166666667,0.000000,35.000000,26,53,0
C,0.000000000,0.000000000,1.000000000,1,0,4.764197100,6.349443436,1.328530722,0.461644855,0.288503571,104.851388464,0.000000000,0.333333333,0.333333333,0.000000,30.000000,8,1002,0
C,0.707106781,0.000000000,0.707106781,0,32,16.708656236,1.810438827,1.328530722,0.461644855,0.174214584,173.636439198,0.577350269,0.166666667,0.166666667,0.000000,35.000000,26,114,0
C,-0.577350269,0.577350269,0.577350269,0,141,29.266916977,1.033590249,1.033590249,0.461644855,0.124782667,242.421489932,1.154700538,0.500000000,0.500000000,0.000000,27.367805,44,18,0
C,0.000000000,0.707106781,0.707106781,0,22,23.472755929,1.288728094,1.288728094,0.461644855,0.174214584,173.636439198,0.577350269,0.166666667,0.166666667,0.000000,35.000000,40,27,0
C,0.577350269,0.577350269,0.577350269,0,141,13.303247613,2.273880851,1.328530722,0.461644855,0.124782667,242.421489932,1.154700538,0.500000000,0.500000000,0.000000,27.367805,32,18,0
