source,C11,C12,C44,h,rel_err,integrator_bitmatch
bcc,302.78293565990265,212.69667446167142,189.13413214899202,0.5,3.756e-16,1
bcc,0.10573227611121051,0.069967440519860494,0.062491206739377893,0.5,2.030e-16,1
bcc,370.06296638923675,244.88604181951169,218.7192235878226,0.5,1.980e-16,1
bcc,0.12495514203387738,0.07916440262210056,0.070944090007615201,0.5,2.340e-16,1
bcc,437.34299711857079,277.07540917735196,248.30431502665317,0.5,2.739e-16,1
bcc,0.15126266869453106,0.089527760390720787,0.080527191167755821,0.5,3.999e-16,1
bcc,529.41934043085871,313.34716136752274,281.84516908714534,0.5,3.510e-16,1
bcc,0.17876345606495023,0.10008757274936383,0.09030065353978213,0.5,1.738e-16,1
bcc,625.67209622732571,350.30650462277339,316.05228738923745,0.5,2.034e-16,1
bcc,0.20626424343536934,0.1106473851080069,0.10007411591180845,0.5,4.610e-16,1
bcc,721.9248520237926,387.26584787802409,350.25940569132956,0.5,1.798e-16,1
bcc,0.2419239028133143,0.12292510869364275,0.11111659241232535,0.5,3.027e-16,1
bcc,846.73365984659995,430.23788042774959,388.90807344313873,0.5,1.575e-16,1
bcc,0.28179547997808568,0.13608968291824994,0.12281418192044838,0.5,2.368e-16,1
bcc,986.2841799232998,476.31389021387474,429.84963672156931,0.5,2.771e-16,1
bcc,0.3216670571428572,0.14925425714285714,0.13451177142857143,0.5,4.229e-16,1
bcc,1125.8347000000001,522.38990000000001,470.7912,0.5,2.475e-16,1
fcc,0.022608542857142859,0.010901057142857143,0.0097432285714285725,0.5,3.709e-16,1
fcc,79.129900000000006,38.153700000000001,34.101300000000002,0.5,2.170e-16,1
fcc,0.037190033868938849,0.017258842555716428,0.015264509448650704,0.5,2.305e-16,1
fcc,130.16511854128595,60.405948945007488,53.425783070277461,0.5,2.698e-16,1
fcc,0.054221574008179237,0.024092472690412106,0.021167907315879617,0.5,4.851e-16,1
fcc,189.77550902862731,84.323654416442366,74.087675605578653,0.5,3.785e-16,1
fcc,0.074943679294184065,0.031753275522303781,0.028027204297007339,0.5,3.575e-16,1
fcc,262.30287752964421,111.13646432806323,98.095215039525684,0.5,4.184e-16,1
fcc,0.09644878656691136,0.039601357340485602,0.035129900660643712,0.5,3.746e-16,1
fcc,337.57075298418971,138.60475069169959,122.95465231225297,0.5,2.192e-16,1
fcc,0.12291316376846634,0.0483216326330657,0.043147151339245959,0.5,2.985e-16,1
fcc,430.19607318963216,169.12571421572994,151.01502968736085,0.5,3.493e-16,1
fcc,0.15407963181870238,0.057868870969219624,0.052031529142755356,0.5,3.629e-16,1
fcc,539.27871136545832,202.54104839226866,182.11035199964374,0.5,2.123e-16,1
fcc,0.18549942551694948,0.067474918971637002,0.060967006890488146,0.5,6.094e-16,1
fcc,649.24798930932309,236.16221640072948,213.38452411670849,0.5,2.377e-16,1
fcc,0.22775319474421185,0.079596079400175865,0.072087875456706516,0.5,3.358e-16,1
fcc,797.13618160474141,278.58627790061553,252.3075640984728,0.5,3.930e-16,1
